key,value,reference value,description
page_url_length_exceed,"Je nám ľúto, ale túto stránku sme nenašli","Sorry, we couldn''t find that page","Sorry, we couldn''t find that page"
should_be_unauth,"Ľutujeme, na zobrazenie tejto stránky musíte byť odhlásení z aktuálnej relácie","Sorry, you must be logged out of current session to view this page","Sorry, you must be logged out of current session to view this page"
web.param_not_unique,Drž sa! Už ste sa prihlásili na odber.,Hold up! You have subscribed already.,Hold up! You have subscribed already.
bad_request_need_refresh,"Ľutujeme, žiadosť obsahuje údaje, ktoré nie sú správne naformátované","Sorry, the request contains data that are not formatted properly","Sorry, the request contains data that are not formatted properly"
operation_not_supported,{0},{0},{0}
not_authorized_post,"Ľutujeme, na vykonanie tejto akcie nemáte povolenie","Sorry, you don''t have the permission to do this action","Sorry, you don''t have the permission to do this action"
limit_exceeds,"Ľutujeme, povolený limit pre {0} je {1}.","Sorry, the allowed limit for {0} is {1}.","Sorry, the allowed limit for {0} is {1}."
user_already_exists,Email už existuje,email already exists,email already exists
hosted_page_null,URL objednávky je neplatná. Skontrolujte adresu URL a skúste to znova.,The order URL is invalid. Please check the URL and try again.,The order URL is invalid. Please check the URL and try again.
hp_resource_not_found,Táto adresa URL už nie je platná.,This URL is no longer valid.,This URL is no longer valid.
update_card_succeeded,Vaša kreditná karta už bola úspešne aktualizovaná.,Your credit card has been already updated successfully.,Your credit card has been already updated successfully.
should_be_auth,"Ľutujeme, pre zobrazenie tejto stránky musíte byť prihlásení","Sorry, you must be logged in to view this page","Sorry, you must be logged in to view this page"
hosted_page_canceled,Táto objednávka bola zrušená. Prosím skúste znova.,This order has been canceled. Please try again.,This order has been canceled. Please try again.
lock_timeout,"Ľutujeme, vyskytla sa dočasná chyba. Skúste to znova","Sorry, a temporary error occured. Please retry","Sorry, a temporary error occured. Please retry"
service_unavailable,"Je nám ľúto, ale túto operáciu nie je možné vykonať z dôvodu veľkého zaťaženia. Skúste to znova o niekoľko minút",Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes
cannot_be_empty_or_null,Hodnota kľúča nemôže byť prázdna alebo nulová,Key value cannot be empty or null,Key value cannot be empty or null
update_card_cancelled,Táto adresa URL už nie je platná.,This URL is no longer valid.,This URL is no longer valid.
suffix_not_allowed,Prípona „{0}“ nie je povolená,"""{0}"" suffix is not allowed","""{0}"" suffix is not allowed"
currency_error,Nepodarilo sa načítať informácie o mene,Unable fetch currency info,Unable fetch currency info
not_authorized_get,"Ospravedlňujeme sa, ale nemáte povolenie na prezeranie tejto stránky","Sorry, you don''t have the permission to view this page","Sorry, you don''t have the permission to view this page"
hosted_page_expired,Platnosť vašej adresy URL vypršala. Prosím skúste znova.,Your order URL has expired. Please try again.,Your order URL has expired. Please try again.
session_timeout,Ste odhlásený z portálu. Prihláste sa znova.,You are logged out of the portal. Please login again.,You are logged out of the portal. Please login again.
hosted_page_succeeded,Vaša objednávka už bola úspešne odoslaná.,Your order has already been submitted successfully.,Your order has already been submitted successfully.
not_ajax_request,Vyskytla sa dočasná chyba. Skúste to znova,A temporary error occurred. Try again,A temporary error occurred. Try again
web.mul_sub_entry,[object Object],Hold up! You have subscribed already,Hold up! You have subscribed already
resource_not_found,"Ľutujeme, tento zdroj sa nepodarilo nájsť","Sorry, we couldn''t find that resource","Sorry, we couldn''t find that resource"
size_exceeds,"Je nám ľúto, veľkosť nahraného súboru nesmie prekročiť {0}","Sorry, uploaded file size cannot exceed {0}","Sorry, uploaded file size cannot exceed {0}"
bad_request,"Ľutujeme, adresa URL alebo niektoré parametre nie sú platné","Sorry,the URL or the some of the parameters are not valid","Sorry,the URL or the some of the parameters are not valid"
record_not_found,{0} s {1} {2} nie je prítomný.,{0} with {1} {2} is not present.,{0} with {1} {2} is not present.
bad_data,"Je nám ľúto, niektoré parametre chýbajú alebo nie sú správne naformátované","Sorry, some of the parameters are missing or not formatted properly","Sorry, some of the parameters are missing or not formatted properly"
communication_failure,"Je nám ľúto, nemôžem komunikovať s používateľom {0}. Skúste to znova po nejakom čase","Sorry, Unable to communicate with {0}. Please retry after some time","Sorry, Unable to communicate with {0}. Please retry after some time"
site_already_exists,stránka už existuje,site already exists,site already exists
invalid_state,{0},{0},{0}
db_lock_error,Operáciu sa nepodarilo uzamknúť,Unable to lock the operation,Unable to lock the operation
invalid_request_refresh_browser,Vaša požiadavka nie je platná. Obnovte prehľadávač a skúste to znova.,Your request is not valid. Please refresh the browser and try again.,Your request is not valid. Please refresh the browser and try again.
round_off_not_supported,Zaokrúhlenie sumy na faktúre nie je pre meny s desatinnými miestami podporované,Rounding off of invoice amount is not supported for zero-decimal currencies,Rounding off of invoice amount is not supported for zero-decimal currencies
update_card_null,Zadaná adresa URL na aktualizáciu vašej kreditnej karty je neplatná. Skontrolujte adresu URL a skúste to znova.,The URL entered to update your credit card is invalid. Please check the URL and try again.,The URL entered to update your credit card is invalid. Please check the URL and try again.
hosted_page_failed,Počas spracovania sa vyskytla chyba. Skúste neskôr prosím.,An error occurred during processing. Please try again later.,An error occurred during processing. Please try again later.
not_authorized_ip,"Ospravedlňujeme sa, ale nemáte povolenie na prezeranie tejto stránky","Sorry, you don''t have the permission to view this page","Sorry, you don''t have the permission to view this page"
code_not_compatible,"Prepáčte, niečo sa pokazilo. Skúste to znova po nejakom čase",Sorry something went wrong. Please retry after some time,Sorry something went wrong. Please retry after some time
content_type_is_not_application_json,"Ľutujeme, typ obsahu žiadosti ({0}) je nesprávny. Musí to byť application / json.","Sorry, the request''s content type ({0}) is wrong. It must be application/json.","Sorry, the request''s content type ({0}) is wrong. It must be application/json."
web.invalid_credential,Skontrolujte zadané poverenia.,Please check the submitted credentials.,Please check the submitted credentials.
update_card_expired,Platnosť vašej požadovanej adresy URL uplynula. Prosím skúste znova.,Your requested URL has expired. Please try again. ,Your requested URL has expired. Please try again. 
tos_not_selected,Na dokončenie platby je povinný súhlas s podmienkami.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
connection_time_out,"Ľutujeme, operáciu nie je možné dokončiť z dôvodu zlyhania komunikácie db. Skúste to prosím po nejakom čase","Sorry, unable to complete the operation due to db communication failure. Please try after some time","Sorry, unable to complete the operation due to db communication failure. Please try after some time"
request_charset_error,"Je nám ľúto, kódovanie žiadosti by malo byť UTF-8. Je to {0}","Sorry, the request encoding should be utf-8. It is {0}","Sorry, the request encoding should be utf-8. It is {0}"
csrf_tok_invalid,Token CSRF (používaný na zabezpečenie) je neplatný. Obnovte prehľadávač a skúste to znova.,The csrf token (used for security) is invalid. Please refresh the browser and try again.,The csrf token (used for security) is invalid. Please refresh the browser and try again.
hosted_page_error,{0},{0},{0}
update_card_failed,Pri spracovaní informácií o vašej kreditnej karte sa vyskytla chyba. Skúste neskôr prosím.,There was an error processing your credit card information. Please try again later.,There was an error processing your credit card information. Please try again later.
site_not_provided,"Je nám ľúto, ale na prístup k tejto adrese URL musíte poskytnúť svoju stránku ako subdoménu","Sorry, you need to provide your site as a subdomain to access this URL","Sorry, you need to provide your site as a subdomain to access this URL"
configuration_failure,{0},{0},{0}
