key,value,reference value,description
account.first_name.label,Krstné meno,First Name,
account.first_name.help,,,
account.last_name.label,Priezvisko,Last Name,
account.last_name.help,,,
account.email.label,Email,Email,
account.email.help,,,
account.company.label,Spoločnosť,Company,
account.company.help,,,
account.phone.label,Telefón,Phone,
account.phone.help,,,
billing.first_name.label,Krstné meno,First Name,
billing.first_name.help,,,
billing.last_name.label,Priezvisko,Last Name,
billing.last_name.help,,,
billing.email.label,Email,Email,
billing.email.help,,,
billing.phone.label,Telefón,Phone,
billing.phone.help,,,
billing.company.label,Spoločnosť,Company,
billing.company.help,,,
billing.line1.label,Riadok adresy 1,Address Line1,
billing.line1.help,,,
billing.line2.label,2. riadok adresy,Address Line2,
billing.line2.help,,,
billing.line3.label,3. riadok adresy,Address Line3,
billing.line3.help,,,
billing.city.label,Mesto,City,
billing.city.help,,,
billing.zip.label,PSČ,Zip,
billing.zip.help,,,
billing.country.label,Krajina,Country,
billing.country.help,,,
billing.region.label,Štát,State,
billing.region.help,,,
billing.state_code.label,Štát,State,
billing.state_code.help,,,
tax.vat_number.label,Identifikačné číslo DPH,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,Zaregistroval som sa na GST,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Krstné meno,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Priezvisko,Last Name,
shipping.last_name.help,,,
shipping.email.label,Email,Email,
shipping.email.help,,,
shipping.phone.label,Telefón,Phone,
shipping.phone.help,,,
shipping.company.label,Spoločnosť,Company,
shipping.company.help,,,
shipping.line1.label,Riadok adresy 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,2. riadok adresy,Address Line2,
shipping.line2.help,,,
shipping.line3.label,3. riadok adresy,Address Line3,
shipping.line3.help,,,
shipping.city.label,Mesto,City,
shipping.city.help,,,
shipping.zip.label,PSČ,Zip,
shipping.zip.help,,,
shipping.country.label,Krajina,Country,
shipping.country.help,,,
shipping.region.label,Štát,State,
shipping.region.help,,,
shipping.state_code.label,Štát,State,
shipping.state_code.help,,,
gift.first_name.label,Krstné meno,First Name,
gift.first_name.help,,,
gift.last_name.label,Priezvisko,Last Name,
gift.last_name.help,,,
gift.email.label,Email,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,"Od koho by sme mali povedať, že je to od",Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Dátum,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Čas,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Krstné meno,First Name,
card.first_name.help,,,
card.last_name.label,Priezvisko,Last Name,
card.last_name.help,,,
card.number.label,Číslo,Number,
card.number.help,,,
card.expiry.label,Vypršanie platnosti,Expiry,
card.expiry.help,,,
card.expiry_year.label,Vypršanie platnosti,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,Riadok adresy 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,2. riadok adresy,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Mesto,City,
card.billing_city.help,,,
card.billing_zip.label,PSČ,Zip,
card.billing_zip.help,,,
card.billing_country.label,Krajina,Country,
card.billing_country.help,,,
card.billing_region.label,Štát,State,
card.billing_region.help,,,
card.billing_state_code.label,Štát,State,
card.billing_state_code.help,,,
