key,value,reference value,description
cbjs_grp.bank,breh,Bank,Bank
cbjs_grp.select_bank,Vyberte Banka,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Načítava sa zoznam podporovaných bánk,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Pridajte podrobnosti o svojom účte,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Úpravy podrobností účtu,Editing account details,Editing account details
inapp_checkout.customer.update,Aktualizácia,Update,Update
inapp_checkout.customer.next,Ďalšie,Next,Next
inapp_checkout.billing_address.header,Pridajte svoju fakturačnú adresu,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Úprava fakturačnej adresy,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Aktualizácia,Update,Update
inapp_checkout.billing_address.next,Ďalšie,Next,Next
inapp_checkout.shipping_address.header,Pridajte svoju dodaciu adresu,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Úprava dodacej adresy,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Aktualizácia,Update,Update
inapp_checkout.shipping_address.next,Ďalšie,Next,Next
inapp_checkout.choose_sa.header,Vyberte dodaciu adresu,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Doručiť na moju fakturačnú adresu,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Pridať nové,Add New,Add New
inapp_checkout.payment_method.choose.add,Pridajte spôsob platby,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Pridajte svoje platobné podrobnosti,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Úpravy platobných údajov,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Vyberte spôsob platby,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Vyberte iný spôsob platby,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Aktualizácia,Update,Update
inapp_checkout.payment_method.next,Ďalšie,Next,Next
inapp_checkout.subscription.header,Pridajte podrobnosti o odbere,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Pridajte podrobnosti o nákupe,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Úpravy podrobností o odbere,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Úpravy podrobností o nákupe,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Aktualizácia,Update,Update
inapp_checkout.invoice.update,Aktualizácia,Update,Update
inapp_checkout.subscription.next,Ďalšie,Next,Next
inapp_checkout.invoice.next,Ďalšie,Next,Next
inapp_checkout.review.header,Vyplňte svoju objednávku,Complete your order,Complete your order
inapp_checkout.pay_review.header,Vyplňte svoju objednávku,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Zaplaťte %{amount} a prihláste sa na odber,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Prihlásiť sa na odber,Subscribe,Subscribe
inapp_checkout.review.order.header,Zhrnutie objednávky,Order summary,Order summary
inapp_checkout.review.account.header,Účet,Account,Account
inapp_checkout.review.billing.header,Fakturácia,Billing,Billing
inapp_checkout.review.shipping.header,Doprava,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,Fakturácia a preprava,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,Podrobnosti o odbere,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,Podrobnosti o nákupe,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,Platba,Payment,Payment
inapp_checkout.review.more,Skontrolujte podrobnosti,Review Details,Review Details
inapp_checkout.shipping_address.header.choose,Vyberte dodaciu adresu,Choose Shipping Address,Choose Shipping Address
inapp_checkout.choose_pm.header,Vyberte si metódu platby,Choose Payment Method,Choose Payment Method
inapp_checkout.coupon.apply,Podať žiadosť,Apply,Apply
inapp_checkout.coupon.label,Použiť kupón,Apply coupon,Apply coupon
inapp_checkout.coupon.placeholder,Zadajte kód kupónu,Enter coupon code,Enter coupon code
inapp_checkout.cart.header.edit,Upraviť objednávku,Edit order,Edit order
inapp_checkout.cart.header,Vaša objednávka,Your order,Your order
inapp_checkout.cart.next,Pokračujte k pokladni,Proceed To Checkout,Proceed To Checkout
inapp_checkout.cart.remove,Odstrániť,Remove,Remove
inapp_checkout.cart.recommended_addon_title,Odporúčané doplnky,Recommended addons,Recommended addons
inapp_checkout.payment_method.card.display_name,Card,Card,Card
inapp_checkout.payment_method.paypal.display_name,PayPal,PayPal,PayPal
inapp_checkout.thankyou.header,,,
inapp_checkout.thankyou.body,,,
inapp_checkout.thankyou.close,ZAVRIEŤ,CLOSE,CLOSE
inapp_checkout.otp.enter,Zadajte svoje šesťciferné jednorazové heslo,Enter your six-digit one time password,Enter your six-digit one time password
inapp_checkout.password.enter,Zadajte svoje heslo,Enter your password,Enter your password
inapp_checkout.otp.resend,Znova odošlite jednorazové heslo,Resend the one time password,Resend the one time password
inapp_checkout.login.via_otp,Prihláste sa pomocou jednorazového hesla,Login via one time password,Login via one time password
inapp_checkout.otp.enter_password,Namiesto toho zadajte heslo,Enter password instead,Enter password instead
inapp_checkout.otp_resend.notify,Nové jednorazové heslo pošlite na svoju e-mailovú adresu,New one time password send to your email address,New one time password send to your email address
inapp_checkout.checkuser.error.multiple_subscriptions_not_allowed,U nás už máte predplatné,You already have a subscription with us,You already have a subscription with us
inapp_checkout.otp.guest,Pokračujte ako hosť,Proceed as guest,Proceed as guest
inapp_checkout.checkuser.email,Pokračujte zadaním e-mailu,Enter email to proceed,Enter email to proceed
inapp_checkout.checkuser.next,Ďalšie,Next,Next
inapp_checkout.modal_button.confirm,Potvrdiť,Confirm,Confirm
inapp_checkout.modal_button.cancel,Zrušiť,Cancel,Cancel
inapp_checkout.po_number.label,číslo objednávky,PO Number,PO Number
inapp_checkout.items_in_total.custom_label,,,
inapp_checkout.discounts_applied.label,,,
inapp_checkout.payment_method.bacs.guarantee.header,Späť na platbu,Back to Payment,Back to Payment
inapp_checkout.payment_method.bank_account.btn.proceed_to_review,Prejsť na kontrolu,Proceed to Review,Proceed to Review
inapp_checkout.payment_method.bank_account.btn.enter_iban,Zadajte IBAN,Enter IBAN,Enter IBAN
inapp_checkout.payment_method.bank_account.btn.enter_local_details,Zadajte podrobnosti o miestnej banke,Enter local bank details,Enter local bank details
inapp_checkout.payment_method.bank_account.btn.enter_your_name,Zadajte svoje meno,Enter your name,Enter your name
inapp_checkout.payment_method.bank_account.btn.enter_company_name,Zadajte názov spoločnosti,Enter company name,Enter company name
inapp_checkout.card.billing_address,Ako adresu karty použite moju fakturačnú adresu,Use my billing address as card address,Use my billing address as card address
inapp_checkout.card.shipping_address,Ako adresu karty použite moju dodaciu adresu,Use my shipping address as card address,Use my shipping address as card address
inapp_checkout.item.breakdown.show,Pozri detaily,See Details,See Details
inapp_checkout.item.breakdown.hide,Skryť detaily,Hide Details,Hide Details
inapp_checkout.cart.trial.info,Poplatok vám bude zaúčtovaný po skúške %{plan_trial_period}.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.cart.note.plan.trial,Poplatok vám bude zaúčtovaný po skúške %{plan_trial_period}.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.review.note.plan.trial,,,
inapp_checkout.payment_method.note.plan.trial,,,
inapp_checkout.cart.note.plan.no_trial,,,
inapp_checkout.review.note.plan.no_trial,,,
inapp_checkout.payment_method.note.plan.no_trial,,,
inapp_checkout.customer.note,,,
inapp_checkout.subscription.note,,,
inapp_checkout.shipping_address.note,,,
inapp_checkout.billing_address.note,,,
inapp_checkout.cart.pay_now.label,Zaplatiť teraz,Pay now,Pay now
inapp_checkout.cart.next_charge.label,Ďalšia platba v %{date},Next charge on %{date},Next charge on %{date}
inapp_checkout.order_summary.charge_now.label,Spoplatnené teraz,Chargeable now,Chargeable now
inapp_checkout.order_summary.next_charge.label,Poplatky za %{date},Charges on %{date},Charges on %{date}
inapp_checkout.order.edit.link,Upraviť objednávku,Edit order,Edit order
inapp_checkout.estimate_display_screen.header,Súhrn objednávky,Your order summary,Your order summary
inapp_checkout.credits_applied.label,Použili sa kredity,Credits applied,Credits applied
inapp_checkout.non_rec_addon.tag,RAZ,ONE-TIME,ONE-TIME
inapp_checkout.coupon.description,Bol uplatnený kupón %{amount},%{amount} coupon applied,%{amount} coupon applied
inapp_checkout.free_quantity.description, %{units} jednotiek zadarmo,%{units} units free,%{units} units free
inapp_checkout.referral.title,Odkážte svojich priateľov,Refer your friends,Refer your friends
inapp_checkout.referral.cb_reward,Odporučte svojich priateľov a my vám pri zakúpení prvého predplatného dáme %{referral_credits}.,Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.,Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.
inapp_checkout.referral.custom_reward,"Odkážte svojich priateľov a my vám odmeníme, keď si zakúpia svoje prvé predplatné.",Refer your friends and we will reward you when they purchase their first subscription.,Refer your friends and we will reward you when they purchase their first subscription.
inapp_checkout.referral.friend_discount,Váš priateľ získa zľavu %{referral_friend_discount}.,Your friend will get %{referral_friend_discount} discount.,Your friend will get %{referral_friend_discount} discount.
inapp_checkout.referral.link_label,Váš odkaz,Your referral link,Your referral link
inapp_checkout.review.threedsWarning.non_trial,"Môže vás presmerovať na stránku vašej banky, aby ste overili zabezpečené 3D.",You may be redirected to your bank page for 3D secure verification.,You may be redirected to your bank page for 3D secure verification.
inapp_checkout.review.threedsWarning.trial,"Môže vás presmerovať na stránku vašej banky, aby ste zabezpečili 3D bezpečné overenie, za ktoré vám môže byť účtovaná čiastka tokenu, ktorá vám bude automaticky vrátená v plnej výške.","You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically.","You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically."
inapp_checkout.3ds.auth.txt,"Povoľujem organizácii %{organisation_name} uložiť tento spôsob platby a automaticky účtovať tento spôsob platby vždy, keď je k nemu priradený odber.",I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.
inapp_checkout.otp_email.subject,Vaše jednorazové heslo (OTP),Your One Time Password (OTP),Your One Time Password (OTP)
inapp_checkout.otp_email.salutation,"Ahoj,","Hi there,","Hi there,"
inapp_checkout.otp_email.otp_line, %{otp} je vaše jednorazové heslo,%{otp} is your one time password,%{otp} is your one time password
inapp_checkout.otp_email.desc,Jednorazové heslo je platné 5 minút od jeho vygenerovania.,The one time password is valid for 5 minutes from the time it is generated.,The one time password is valid for 5 minutes from the time it is generated.
inapp_checkout.otp_sms.body, %{otp} je vaše jednorazové heslo. Jednorazové heslo je platné 5 minút od jeho vygenerovania.,%{otp} is your one time password. The one time password is valid for 5 minutes from the time it is generated.,%{otp} is your one time password. The one time password is valid for 5 minutes from the time it is generated.
inapp_checkout.multi_decimal.quantity.error,Zadajte platné množstvo,Enter valid quantity,Enter valid quantity
inapp_checkout.qty,Množstvo,Qty,Qty
inapp_checkout.review.opm.cash.desc,Platbu môžete uskutočniť v hotovosti,You can make the payment by cash,You can make the payment by cash
inapp_checkout.review.opm.check.desc,Podrobnosti o prevode platby nájdete ako súčasť faktúry,You can find the payment transfer details as part of the invoice,You can find the payment transfer details as part of the invoice
inapp_checkout.review.opm.bank_transfer.desc,Platbu môžete vykonať na údaje o bankovom účte uvedené vo faktúre,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.review.opm.ach_credit.desc,Platbu môžete vykonať na údaje o bankovom účte uvedené vo faktúre,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.review.opm.sepa_credit.desc,Platbu môžete vykonať na údaje o bankovom účte uvedené vo faktúre,You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.pm.consent.txt,Autorizujem %{organisation_name} na uloženie tohto spôsobu platby a automaticky účtujem z tohto spôsobu platby akékoľvek ďalšie súvisiace transakcie.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method for any future transactions associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method for any future transactions associated with it.
inapp_checkout.pm.never.save.txt,Vaše platobné údaje nebudú uložené v našom systéme.,Your payment information will not be saved in our system.,Your payment information will not be saved in our system.
inapp_portal.recommended.addon.tag,ODPORÚČAME,RECOMMENDED,RECOMMENDED
inapp_portal.home.header,Spravovať predplatné,Manage Subscriptions,Manage Subscriptions
inapp_portal.locale.label,Miestne nastavenie,Locale,Locale
inapp_portal.home.footer,Máte otázky? Náš tím podpory by rád pomohol,Questions? Our Support Team would be glad to help,Questions? Our Support Team would be glad to help
inapp_portal.home.account.link_text,Informácie o účte,Account Information,Account Information
inapp_portal.home.address.link_text,Fakturačné a dodacie adresy,Billing & Shipping Addresses,Billing & Shipping Addresses
inapp_portal.home.payment_methods.link_text,spôsob platby,Payment Methods,Payment Methods
inapp_portal.home.billing_history.link_text,História fakturácie,Billing History,Billing History
inapp_portal.back,späť,Back,Back
inapp_portal.subscription.header,Podrobnosti o odbere,Subscription Details,Subscription Details
inapp_portal.subscription.header.edit,Upravte podrobnosti predplatného,Edit Subscription Details,Edit Subscription Details
inapp_portal.subscription.header.review,Skontrolujte zmeny predplatného,Review subscription changes,Review subscription changes
inapp_portal.account.header,detaily účtu,Account Details,Account Details
inapp_portal.account.edit.txt,Úpravy podrobností účtu,Editing account details,Editing account details
inapp_portal.account.header.edit,Aktualizujte podrobnosti svojho účtu,Update your account details,Update your account details
inapp_portal.account.header.edit.submit,Aktualizácia,Update,Update
inapp_portal.address.header,Fakturačné a dodacie adresy,Billing & Shipping Addresses,Billing & Shipping Addresses
inapp_portal.address.billing.txt,Fakturácia,Billing,Billing
inapp_portal.address.billing.edit.txt,Úpravy fakturačných údajov,Editing billing details,Editing billing details
inapp_portal.address.billing.add.txt,Pridajte svoje fakturačné údaje,Add your billing details,Add your billing details
inapp_portal.address.shipping.txt,Doprava,Shipping,Shipping
inapp_portal.address.shipping.edit.txt,Úpravy podrobností o preprave,Editing shipping details,Editing shipping details
inapp_portal.address.billing.header.edit,Aktualizujte svoje fakturačné údaje,Update your billing details,Update your billing details
inapp_portal.address.billing.header.edit.submit,Aktualizácia,Update,Update
inapp_portal.address.shipping.header.edit,Aktualizujte svoje dodacie údaje,Update your shipping details,Update your shipping details
inapp_portal.address.shipping.header.edit.submit,Aktualizácia,Update,Update
inapp_portal.payment_method.header,spôsob platby,Payment Methods,Payment Methods
inapp_portal.payment_method.link.add,Pridať nové,Add New,Add New
inapp_portal.payment_method.link.add_new,Pridajte spôsob platby,Add a payment method,Add a payment method
inapp_portal.payment_method.header.add,Pridajte spôsob platby,Add a payment method,Add a payment method
inapp_portal.payment_method.header.select,Vyberte spôsob platby,Select a payment method,Select a payment method
inapp_portal.payment_method.footer.choose,Vyberte iný spôsob platby,Choose a different payment method,Choose a different payment method
inapp_portal.payment_method.header.add.submit,Pridať,Add,Add
inapp_portal.payment_method.header.edit,Aktualizujte svoj spôsob platby,Update your payment method,Update your payment method
inapp_portal.payment_method.header.edit.submit,Aktualizácia,Update,Update
inapp_portal.payment_method.header.verify,Overte spôsob platby,Verify payment method,Verify payment method
inapp_portal.payment_method.header.verify.submit,Overiť,Verify,Verify
inapp_portal.billing_history.header,História fakturácie,Billing history,Billing history
inapp_portal.billing_history.download,Stiahnuť ▼,Download,Download
inapp_portal.billing_history.none,Žiadna alebo viac faktúr na zobrazenie,No invoices to display,No invoices to display
inapp_portal.subscription.header.edit.submit,Preskúmanie,Review,Review
inapp_portal.subscription.header.review.submit,Aktualizovať predplatné,Update Subscription,Update Subscription
inapp_portal.subscription.header.choose_pm,Vyberte si pre tento odber spôsob platby,Choose your payment method for this subscription,Choose your payment method for this subscription
inapp_portal.subscription.update_sub_pm,Aktualizácia,Update,Update
inapp_portal.subscription.cancel.link.txt,Zrušiť predplatné,Cancel Subscription,Cancel Subscription
inapp_portal.subscription.next.renewing_estimate.now,Bude vám účtovaná čiastka %{amount} za rozdelené poplatky prostredníctvom,You will be charged %{amount} for prorated charges via,You will be charged %{amount} for prorated charges via
inapp_portal.subscription.next.renewing_estimate.eot.non_recurring,Bude vám účtovaných %{amount} prostredníctvom,You will be charged %{amount} via,You will be charged %{amount} via
inapp_portal.subscription.next.renewing_estimate.eot,Bude vám účtované %{amount} každé %{billing_period} prostredníctvom,You will be charged %{amount} every %{billing_period} via,You will be charged %{amount} every %{billing_period} via
inapp_portal.subscription.next.renewing_estimate.eot.with_date,Vaša ďalšia platba %{amount} bude %{date} prostredníctvom,Your next charge %{amount} will be on %{date} via,Your next charge %{amount} will be on %{date} via
inapp_portal.subscription.next.credits_created.now,Za túto zmenu vám nebude účtovaný poplatok a ako vrátiteľné kredity sa pridá %{amount},You will not be charged for this change and %{amount} will be added as refundable credits,You will not be charged for this change and %{amount} will be added as refundable credits
inapp_portal.subscription.details.trial.info,Zostáva vám %{remaining_trial_period} na vyskúšanie. Po vypršaní skúšobnej verzie sa presuniete do plánu %{plan_name},"You have %{remaining_trial_period} of trial left. After your trial expires, you’ll be moved to the %{plan_name} plan","You have %{remaining_trial_period} of trial left. After your trial expires, you’ll be moved to the %{plan_name} plan"
inapp_portal.subscription.details.cancellation_scheduled.info,Váš odber bude zrušený dňa %{date},Your subscription will be canceled on %{date},Your subscription will be canceled on %{date}
inapp_portal.subscription.next.renewing_estimate.now_zero, %{amount} zaúčtovaná z dostupných kreditov., %{amount} charged from available credits., %{amount} charged from available credits.
inapp_portal.subscription.details.trial.info_today,Vyskúšanie sa skončí dnes a budete presunutí do plánu %{plan_name},You trial will end today and you’ll be moved to the %{plan_name} plan,You trial will end today and you’ll be moved to the %{plan_name} plan
inapp_portal.subscription.details.active.info,,,
inapp_portal.subscription.details.non_renewing.info,Vaše predplatné sa skončí %{date},Your subscription will end on %{date},Your subscription will end on %{date}
inapp_portal.subscription.details.cancelled.info,"ZRUŠENÉ. Vaše predplatné bolo zrušené. Ak chcete predplatné znova aktivovať, kontaktujte nás",CANCELED. Your subscription has been canceled. Contact us to reactivate your subscription,CANCELED. Your subscription has been canceled. Contact us to reactivate your subscription
inapp_portal.subscription.details.paused.info,Vaše predplatné je momentálne pozastavené.,Your subscription is currently paused.,Your subscription is currently paused.
inapp_portal.subscription.details.future.info,Vaše predplatné sa začne %{date},Your subscription will start on %{date},Your subscription will start on %{date}
inapp_portal.subscription.edit.txt,Upraviť predplatné,Edit Subscription,Edit Subscription
inapp_portal.choose_change_subscription.header,Zmeniť predplatné,Change subscription,Change subscription
inapp_portal.subscription.edit.chooser_question,Kedy chcete zmeniť predplatné?,When do you want to change the subscription?,When do you want to change the subscription?
inapp_portal.subscription.change.immediately.option,Okamžite zmeniť,Change immediately,Change immediately
inapp_portal.subscription.change.eot.option,Zmena pri ďalšom obnovení ( %{date}),Change on next renewal(%{date}),Change on next renewal(%{date})
inapp_portal.subscription.change.specific_date.option,Zmena ku konkrétnemu dátumu,Change on a specific date,Change on a specific date
inapp_portal.subscription.change.option.submit,Zmeniť predplatné,Change subscription,Change subscription
