key,value,reference value,description
not_supported_for_moved_out_resource,"Operacije posodabljanja niso podprte, saj smo to stranko preselili na spletno mesto {0}",The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,Žal preverjanje pristnosti ni uspelo. Parameter _jsapi_key v zahtevi ni prisoten,"Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,{0} vir z identifikatorjem {1} ne obstaja.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} ni mogoče najti,{0} not found,When resource is not found.
tos_not_agreed,Za dokončanje plačila je obvezno strinjanje s pogoji.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,{0} vir z identifikatorjem {1} že obstaja.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,Žal preverjanje pristnosti ni uspelo. Neveljaven ključ api,"Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,Žal preverjanje pristnosti ni uspelo. Osnovna glava za preverjanje pristnosti ima neveljavno obliko.,"Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Ta API ni dovoljen za to stranko,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,Vir {0} je že prisoten,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,Operacija ni podprta za stranke z nepreklicanimi naročninami.,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,"Vrednost, ki je že prisotna v {0}",The value already present in {0},The value already present in {0}
api_disabled,Spletno mesto ni omogočeno,The site is not enabled,The site is not enabled
param_not_supported_in_browser,Žal brskalnik ne podpira parametra.,"Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,{0} Naveden v parametru {1} ni prisoten,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,Žal preverjanje pristnosti ni uspelo. Glava avtorizacije za osnovno overjanje ni prisotna v zahtevi,"Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"Oprostite, za uporabo tega API omogočite nastavitev spletnega mesta za upravljanje naročil.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,Žal je dosežena omejitev zahtev za API. Poskusite po {0} min.,"Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,Žal je dosežena omejitev zahtev za knjižnico js. Poskusite čez nekaj časa.,"Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,Ta URL ni več veljaven. Za pomoč se obrnite na nas.,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,Postopek posodabljanja za ta vir ni več mogoč. Za pomoč se obrnite na nas.,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,Žal je {0} vir {1} že načrtovan za brisanje,"Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,"Operacija ni podprta za stranke, ki so že načrtovane za PII clear.",The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
