key,value,reference value,description
not_supported_for_moving_out_resource,,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.,Sorry this operation is not possible now. Please try again after some time or contact us for assistance.
login_mismatch_error,,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
recaptcha_verification_failed,,Recaptcha verification failed. Try again,Recaptcha verification failed. Try again
password_too_short,,Your password must have atleast 8 characters,Your password must have atleast 8 characters
invalid_url,,Oops! This URL appears to be either expired or invalid.,Oops! This URL appears to be either expired or invalid.
portal_access_disabled_for,,Customer portal access is disabled.,Customer portal access is disabled.
invalid_return_cancel_url,,Oops! The return or cancel URL is invalid.,Oops! The return or cancel URL is invalid.
portal_access_disabled_for_api,,Customer portal access via API is disabled.,Customer portal access via API is disabled.
login_site_mismatch_error,,"Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service.","Please verify the email id. This signup works only if you are already a ""Subscriber"" of this service."
same_password_error,,New password should not be the current password,New password should not be the current password
"subscription_canceled ",,This is a cancelled subscription. Please contact us for more details.,This is a cancelled subscription. Please contact us for more details.
portal_session_status_not_supported,,Activating a portal session is not supported for this request.,Activating a portal session is not supported for this request.
password_not_valid,,"Your password must have atleast one uppercase character, lowercase character and a number","Your password must have atleast one uppercase character, lowercase character and a number"
setup_not_completed,,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.,You have not setup your customer portal account yet. Use the ''Sign Up'' option to get started.
invalid_otp_error,,Login failed due to incorrect credentials.,Login failed due to incorrect credentials.
email_not_verified,,You have not verified your email. Use the ''Sign Up'' option to get started.,You have not verified your email. Use the ''Sign Up'' option to get started.
otp_mismatch_error,,Invalid one time password,Invalid one time password
account_locked_error,,Your account has been locked due to security reasons.,Your account has been locked due to security reasons.
portal_token_invalid,,Portal token has been expired or invalid.,Portal token has been expired or invalid.
email_should_not_be_sent,,Email address is not allowed to be updated.,Email address is not allowed to be updated.
