key,value,reference value,description
account.first_name.label,Ime,First Name,
account.first_name.help,,,
account.last_name.label,Priimek,Last Name,
account.last_name.help,,,
account.email.label,E-naslov,Email,
account.email.help,,,
account.company.label,Podjetje,Company,
account.company.help,,,
account.phone.label,Telefon,Phone,
account.phone.help,,,
billing.first_name.label,Ime,First Name,
billing.first_name.help,,,
billing.last_name.label,Priimek,Last Name,
billing.last_name.help,,,
billing.email.label,E-naslov,Email,
billing.email.help,,,
billing.phone.label,Telefon,Phone,
billing.phone.help,,,
billing.company.label,Podjetje,Company,
billing.company.help,,,
billing.line1.label,Naslovna vrstica1,Address Line1,
billing.line1.help,,,
billing.line2.label,Naslovna vrstica2,Address Line2,
billing.line2.help,,,
billing.line3.label,Naslovna vrstica3,Address Line3,
billing.line3.help,,,
billing.city.label,Mesto,City,
billing.city.help,,,
billing.zip.label,Zadrgo,Zip,
billing.zip.help,,,
billing.country.label,Država,Country,
billing.country.help,,,
billing.region.label,Država,State,
billing.region.help,,,
billing.state_code.label,Država,State,
billing.state_code.help,,,
tax.vat_number.label,Davčna številka,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,Registriral sem se za GST,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Ime,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Priimek,Last Name,
shipping.last_name.help,,,
shipping.email.label,E-naslov,Email,
shipping.email.help,,,
shipping.phone.label,Telefon,Phone,
shipping.phone.help,,,
shipping.company.label,Podjetje,Company,
shipping.company.help,,,
shipping.line1.label,Naslovna vrstica1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Naslovna vrstica2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Naslovna vrstica3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Mesto,City,
shipping.city.help,,,
shipping.zip.label,Zadrgo,Zip,
shipping.zip.help,,,
shipping.country.label,Država,Country,
shipping.country.help,,,
shipping.region.label,Država,State,
shipping.region.help,,,
shipping.state_code.label,Država,State,
shipping.state_code.help,,,
gift.first_name.label,Ime,First Name,
gift.first_name.help,,,
gift.last_name.label,Priimek,Last Name,
gift.last_name.help,,,
gift.email.label,E-naslov,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,"Od koga naj rečemo, da je",Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Datum,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Čas,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Ime,First Name,
card.first_name.help,,,
card.last_name.label,Priimek,Last Name,
card.last_name.help,,,
card.number.label,Številka,Number,
card.number.help,,,
card.expiry.label,Iztek,Expiry,
card.expiry.help,,,
card.expiry_year.label,Iztek,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,Naslovna vrstica1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Naslovna vrstica2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Mesto,City,
card.billing_city.help,,,
card.billing_zip.label,Zadrgo,Zip,
card.billing_zip.help,,,
card.billing_country.label,Država,Country,
card.billing_country.help,,,
card.billing_region.label,Država,State,
card.billing_region.help,,,
card.billing_state_code.label,Država,State,
card.billing_state_code.help,,,
