key,value,reference value,description
cbjs_grp.bank,Banka,Bank,Bank
cbjs_grp.select_bank,Izberite Bank,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Pridobivanje seznama podprtih bank,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Dodajte podatke o svojem računu,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Urejanje podrobnosti računa,Editing account details,Editing account details
inapp_checkout.customer.update,Nadgradnja,Update,Update
inapp_checkout.customer.next,Naslednji,Next,Next
inapp_checkout.billing_address.header,Dodajte svoj naslov za izstavitev računa,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Urejanje naslova za izstavitev računa,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Nadgradnja,Update,Update
inapp_checkout.billing_address.next,Naslednji,Next,Next
inapp_checkout.shipping_address.header,Dodajte naslov za dostavo,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Urejanje naslova za dostavo,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Nadgradnja,Update,Update
inapp_checkout.shipping_address.next,Naslednji,Next,Next
inapp_checkout.choose_sa.header,Izberite naslov za dostavo,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Pošljite na moj naslov za izstavitev računa,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Dodaj novo,Add New,Add New
inapp_checkout.payment_method.choose.add,Dodajte način plačila,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Dodajte podatke za plačilo,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Urejanje podrobnosti o plačilu,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Izberite način plačila,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Izberite drug način plačila,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Nadgradnja,Update,Update
inapp_checkout.payment_method.next,Naslednji,Next,Next
inapp_checkout.subscription.header,Dodajte podrobnosti o naročnini,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Dodajte podrobnosti o nakupu,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Urejanje podrobnosti o naročnini,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Urejanje podrobnosti nakupa,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Nadgradnja,Update,Update
inapp_checkout.invoice.update,Nadgradnja,Update,Update
inapp_checkout.subscription.next,Naslednji,Next,Next
inapp_checkout.invoice.next,Naslednji,Next,Next
inapp_checkout.review.header,Izpolnite svoje naročilo,Complete your order,Complete your order
inapp_checkout.pay_review.header,Izpolnite svoje naročilo,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Plačajte %{amount} in se naročite,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Naročite se,Subscribe,Subscribe
inapp_checkout.review.order.header,Povzetek naročila,Order summary,Order summary
inapp_checkout.review.account.header,račun,Account,Account
inapp_checkout.review.billing.header,Obračun,Billing,Billing
inapp_checkout.review.shipping.header,Dostava,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,Obračun in dostava,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,Podrobnosti o naročnini,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,Podrobnosti o nakupu,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,Plačilo,Payment,Payment
inapp_checkout.review.more,Podrobnosti o pregledu,Review Details,Review Details
inapp_checkout.shipping_address.header.choose,Izberite naslov za dostavo,Choose Shipping Address,Choose Shipping Address
inapp_checkout.choose_pm.header,Izberite način plačila,Choose Payment Method,Choose Payment Method
inapp_checkout.coupon.apply,Prijavite se,Apply,Apply
