key,value,reference value,description
card_orders.order.id,Beställnings-ID,Order ID,
button.update_payment_method,Uppdatera betalningsmetod,Update Payment Method,
button.extend_subscription,Förläng prenumerationen,Extend Subscription,
card_orders_shipping_address.address.orders_shipping_address,leveransadress,Shipping Address,
button.retarget_hp_url,Slutför ditt köp,Complete Your Purchase,
button.reset_password,Återställ lösenord,Reset Password,
card_contract_terms.contract_term.current_billing_cycle,Nuvarande cykel,Current Cycle,
button.portal_verify_email,Verifiera e-postadressen,Verify Email Address,
card_invoices.title,Dina fakturor,Your Invoices,
card_addresses.billing_address.full_billing_address,Fakturaadress,Billing Address,
button.pay_now,Betala nu,Pay Now,
button.claim_gift,Gör anspråk på gåva,Claim Gift,
card_orders.order.shipment_carrier,Transportör,Shipment carrier,
button.click_here,Klicka här,Click Here,
card_contract_terms.contract_term.billing_cycle,Totala faktureringscykler,Total Billing Cycles,
card_offline_pm.subscriptions.selected_offline_pm,Vald betalningsmetod,Selected payment method,
card_orders.order.batch_id,Parti-ID,Batchid,
card_offline_pm.subscriptions.offline_pm_instruction,Ytterligare detaljer,Additional details,
card_recurring_items.title,Ditt prenumeration,Your Subscription,
card_contract_terms.contract_term.termination_fee,Uppsägningsavgift,Termination fee,
card_customer.title,Dina detaljer,Your details,
card_recurring_items.subscription.id,ID,ID,
card_addresses.shipping_address.full_shipping_address,leveransadress,Shipping Address,
card_gift_message.title,Här är ett personligt meddelande till dig,Here's a personal message for you,
card_orders.order.amount,Beställningssumma,Order Amount,
card_orders.order.shipping_date,Leveransdatum,Shipment date,
card_hp_order_items.title,Objekt i din beställning:,Items in your order:,
card_contract_terms.contract_term.action_at_term_end,Vid terminens slut,At Term-End,
card_orders.order.tracking_id,SpårningsID,Tracking id,
card_recurring_items.subscription.po_number,PO-nummer,PO Number,
card_orders.order.note,Notera,Note,
card_contract_terms.title,Kontraktsdetaljer,Contract details,
card_contract_terms.contract_term.total_contract_value,Totalt kontraktsvärde,Total Contract Value,
card_contract_terms.contract_term.contract_period,Avtalsperiod,Contract Period,
card_orders.title,Du beställer,Your order,
card_customer.customer.id,ID,ID,
