key,value,reference value,description
sub_details_card.metered_item.footnote,Kvantiteten kan variera beroende på användning under faktureringsperioden.,Quantity may vary based on usage during the billing period.,
account_hierarchy.forwarded.note,Du får det här e-postmeddelandet eftersom du betalar för kundens prenumerationer och avgifter,You're receiving this email because you are paying for this customer's subscriptions and charges,
invoice_details_card.download_link.warning_msg,Den här länken upphör att gälla om sju dagar.,This link will expire in 7 days.,
sub_details_card.metered_item.units,Enheter,Units,
card_offline_pm.instruction.text,Se till att du är redo med det exakta beloppet när vår serviceagent anländer.,Please make sure you are ready with the exact amount upon the arrival of our service agent.,
download_attachments_note.message,Du kan ladda ner och se detaljerna här. Den här länken upphör att gälla om sju dagar.,You can download and view the details here. This link will expire in 7 days.,
account_hierarchy.parent_email.forwarded.note,Du får detta e-postmeddelande eftersom du är förälder till den här kunden.,You are receiving this email as you are the parent of this customer.,
account_hierarchy.child_email.forwarded.note,Denna faktura betalades av ditt föräldrakonto,This invoice was paid by your parent account,
download_attachments_note.link_text,Ladda ner,Download,
invoice_details_card.download_link.text,Ladda ner och visa alla en eller flera fakturor,Download and view all invoices,
