key,value,reference value,description
not_supported_for_moved_out_resource,Uppdateringsfunktionerna stöds inte eftersom vi har flyttat den här kunden till webbplatsen {0},The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,"Tyvärr, autentiseringen misslyckades. Parametern _jsapi_key finns inte på begäran","Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,{0} resurs med identifierare {1} finns inte.,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,{0} hittades inte,{0} not found,When resource is not found.
tos_not_agreed,Att godkänna villkoren är obligatoriskt för att slutföra kassan.,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,{0} resurs med identifierare {1} finns redan.,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,"Tyvärr, autentiseringen misslyckades. Ogiltig API-nyckel","Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,"Tyvärr, autentisering misslyckades. Grundläggande autentiseringshuvud har ogiltigt format.","Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,Denna API är inte tillåten för denna kund,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0} resurs redan närvarande,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,Operationen stöds inte för kunder med icke-avbrutna prenumerationer.,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,Värdet som redan finns i {0},The value already present in {0},The value already present in {0}
api_disabled,Webbplatsen är inte aktiverad,The site is not enabled,The site is not enabled
param_not_supported_in_browser,"Tyvärr, parametern stöds inte från webbläsaren.","Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,Den {0} refererade i parametern {1} finns inte,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,"Tyvärr, autentiseringen misslyckades. Auktoriseringshuvudet för grundläggande autentisering finns inte på begäran","Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,"Tyvärr, aktivera inställningen för orderhantering för att använda detta API.","Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,"Tyvärr, gränsen för API-begäran har uppnåtts. Försök efter {0} min.","Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,"Tyvärr, gränsen för begäran om js-bibliotek har uppnåtts. Försök efter någon gång.","Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,Denna URL är inte längre giltig. Kontakta oss för hjälp.,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,Uppdateringsåtgärderna är inte längre möjliga för den här resursen. Kontakta oss för hjälp.,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,"Tyvärr, men {0} resursen {1} är redan planerad att tas bort","Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,Åtgärden stöds inte för kunder som redan har schemalagts för PII-rensning.,The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
