key,value,reference value,description
page_url_length_exceed,Vi kunde tyvärr inte hitta den sidan,"Sorry, we couldn''t find that page","Sorry, we couldn''t find that page"
should_be_unauth,"Tyvärr, du måste vara utloggad från den aktuella sessionen för att kunna se den här sidan","Sorry, you must be logged out of current session to view this page","Sorry, you must be logged out of current session to view this page"
web.param_not_unique,Vänta! Du har redan prenumererat.,Hold up! You have subscribed already.,Hold up! You have subscribed already.
bad_request_need_refresh,"Tyvärr, begäran innehåller data som inte är korrekt formaterade","Sorry, the request contains data that are not formatted properly","Sorry, the request contains data that are not formatted properly"
operation_not_supported,{0},{0},{0}
not_authorized_post,Tyvärr har du inte behörighet att utföra den här åtgärden,"Sorry, you don''t have the permission to do this action","Sorry, you don''t have the permission to do this action"
limit_exceeds,Tyvärr är den tillåtna gränsen för {0} {1}.,"Sorry, the allowed limit for {0} is {1}.","Sorry, the allowed limit for {0} is {1}."
user_already_exists,E-post finns redan,email already exists,email already exists
hosted_page_null,Beställnings-URL: en är ogiltig. Kontrollera webbadressen och försök igen.,The order URL is invalid. Please check the URL and try again.,The order URL is invalid. Please check the URL and try again.
hp_resource_not_found,Denna URL är inte längre giltig.,This URL is no longer valid.,This URL is no longer valid.
update_card_succeeded,Ditt kreditkort har redan uppdaterats.,Your credit card has been already updated successfully.,Your credit card has been already updated successfully.
should_be_auth,"Tyvärr, du måste vara inloggad för att se den här sidan","Sorry, you must be logged in to view this page","Sorry, you must be logged in to view this page"
hosted_page_canceled,Denna beställning har annullerats. Var god försök igen.,This order has been canceled. Please try again.,This order has been canceled. Please try again.
lock_timeout,Tyvärr uppstod ett tillfälligt fel. Försök igen,"Sorry, a temporary error occured. Please retry","Sorry, a temporary error occured. Please retry"
service_unavailable,Tyvärr kan denna åtgärd inte utföras på grund av tung belastning. Försök igen om några minuter,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes
cannot_be_empty_or_null,Nyckelvärdet kan inte vara tomt eller null,Key value cannot be empty or null,Key value cannot be empty or null
update_card_cancelled,Denna URL är inte längre giltig.,This URL is no longer valid.,This URL is no longer valid.
suffix_not_allowed,"Suffixet ""{0}"" är inte tillåtet","""{0}"" suffix is not allowed","""{0}"" suffix is not allowed"
currency_error,Det gick inte att hämta valutainformation,Unable fetch currency info,Unable fetch currency info
not_authorized_get,Du har tyvärr inte behörighet att visa den här sidan,"Sorry, you don''t have the permission to view this page","Sorry, you don''t have the permission to view this page"
hosted_page_expired,Din beställnings-URL har upphört att gälla. Var god försök igen.,Your order URL has expired. Please try again.,Your order URL has expired. Please try again.
session_timeout,Du är utloggad från portalen. Logga in igen.,You are logged out of the portal. Please login again.,You are logged out of the portal. Please login again.
