key,value,reference value,description
invoice.transaction.credit_applied,En kredit på %{amount} tillämpades på %{date}.,A credit of %{amount} was applied on %{date}.,A credit of amount was applied on date
constants.taxes.avalara_partial_tax_desc,* Detta belopp beräknas baserat på det beskattningsbara beloppet som kan variera beroende på skattelagstiftningen i ditt land.,*This amount is calculated based on the taxable amount which may vary based on the taxation laws in your country.,avalara partial tax descirption text
invoice.transaction.voided_on,Ogiltig den %{date}.,Voided on %{date}.,Voided on date
transaction.payment_method.by_card_null, med kort., by Card.,payment with card
transaction.payment_method.via_pm, via %{payment_method}., via %{payment_method}.,via payment method type
invoice.footer.title.adjustments,Justeringar,Adjustments,Adjustments footer title
invoice.transaction.written_off, %{amount} avskrevs på %{date}.,%{amount} was written-off on %{date}.,Amount was writted off on date
transaction.payment_method.by_card, med %{card_type} kort som slutar %{last4_digits}., by %{card_type} card ending %{last4_digits}.,payment with card
invoice.transaction.refunded_initiated, %{amount} återbetalning initierades den %{date},%{amount} refund was initiated on %{date},Amount refund was initiated on date
constants.invoice_customization.reverse_charge_msg,Moms är inte tillämplig på denna faktura eftersom ett giltigt momsregistreringsnummer har angetts och omvänd avgiftsmekanism har tillämpats.,VAT is not applicable on this invoice because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.refunded_completed, %{amount} återbetalades %{date},%{amount} was refunded on %{date},Amount refunded on date
invoice.footer.title.payments,Betalningar,Payments,Payment footer title
constants.invoice_customization.cn_reverse_charge_msg,Moms är inte tillämplig på denna kreditnota eftersom ett giltigt momsregistreringsnummer har angetts och omvänd avgiftsmekanism har tillämpats.,VAT is not applicable on this credit note because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge mesage for credit note
transaction.payment_method.offline_payment,Offline betalning,Offline Payment,Payment through other channels
transaction.payment_method.to_card_null, till kort., to Card.,payment with card
constants.invoice_customization.vat_exemption_note_export_uk,"Observera att eftersom Storbritannien inte längre ingår i EU, omfattas våra tjänster inte av moms.","Please note that as the UK is no longer part of the EU, our services are outside the scope of UK VAT.",VAT Export Note for UK
transaction.payment_method.to_card, till %{card_type} -kort som slutar %{last4_digits}., to %{card_type} card ending %{last4_digits}.,payment with card
invoice.footer.title.credits,Krediter,Credits,Credits footer title
invoice.transaction.adjustment,En justering av %{amount} gjordes på %{date}.,An adjustment of %{amount} was made on %{date}.,Adjustment of amount was made on date
constants.invoice_customization.quote_reverse_charge_msg,Moms är inte tillämpligt på detta %{quote_title} eftersom ett giltigt momsregistreringsnummer har angetts och omvänd avgiftsmekanism har tillämpats.,VAT is not applicable on this %{quote_title} because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.chargeback_text,En återbetalning på %{amount} har registrerats som återbetalning på %{date},A chargeback of %{amount} has been recorded as refund on %{date},A chargeback recorded on a date
constants.invoice_customization.vat_exemption_note_export,Denna exporttransaktion är undantagen från moms enligt artikel 146 i EU: s momsdirektiv.,This export transaction is exempt from VAT as per Article 146 of the EU VAT Directive., VAT Exemption for Export
transaction.payment_method.direct_debit,ACH,ACH,Direct Debit heading
transaction.payment_method.via_card_wallet_pm, via %{payment_method} ( %{card_type} kort som slutar %{last4_digits})., via  %{payment_method} ( %{card_type} card ending %{last4_digits} ).,via payment method type
transaction.payment_method.by_pm, av %{payment_method}., by %{payment_method}.,by payment method type
