key,value,reference value,description
quote.label.quote_amount,,Quote Amount,Quote amount label
quote.label.recurring_charges,,Recurring charges,Recurring charges
quote.label.tax.inclusive,,"Incl. ",Inclusive -  inclusive of all taxes
quote.header.label.unit_price,,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,,Subscription,Subscription sub heading
quote.label.billing_cycle,,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,,No of billing cycles,No of billing cycles
quote.term.month,,month,month
quote.header.label.sub_total,,Sub Total,Sub total
quote.term.months,,months,months
quote.label.quote_date,,Quote Date,quote date label
quote.label.chargeable_on_trial_start,,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,,year,year
quote.title.subscription_detail,,Subscription Details,Subscription Detail section heading
quote.label.include,,"Includes ",includes
quote.customer_email.request_card,,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,,VAT,VAT -  is the tax description
quote.header.label.price,,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,,Proforma Invoice Date," proforma invoice data label"
quote.label.adjustments,,Adjustments,"The adjustments made to the quote "
quote.billing_cycle.12,,12th billing cycle,12th billing cycle
quote.billing_cycle.11,,11th billing cycle,11th billing cycle
quote.billing_cycle.10,,10th billing cycle,10th billing cycle
quote.term.weeks,,weeks,weeks
quote.billing_cycle.23,,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,,21st billing cycle,21st billing cycle
quote.billing_cycle.20,,20th billing cycle,20th billing cycle
quote.label.billing_frequency,,Billing Frequency,Billing Frequency
quote.billing_cycle.16,,16th billing cycle,16th billing cycle
