key,value,reference value,description
account.first_name.label,Förnamn,First Name,
account.first_name.help,,,
account.last_name.label,Efternamn,Last Name,
account.last_name.help,,,
account.email.label,E-post,Email,
account.email.help,,,
account.company.label,Företag,Company,
account.company.help,,,
account.phone.label,Telefon,Phone,
account.phone.help,,,
billing.first_name.label,Förnamn,First Name,
billing.first_name.help,,,
billing.last_name.label,Efternamn,Last Name,
billing.last_name.help,,,
billing.email.label,E-post,Email,
billing.email.help,,,
billing.phone.label,Telefon,Phone,
billing.phone.help,,,
billing.company.label,Företag,Company,
billing.company.help,,,
billing.line1.label,Adressrad1,Address Line1,
billing.line1.help,,,
billing.line2.label,Adress Linje 2,Address Line2,
billing.line2.help,,,
billing.line3.label,Adressrad3,Address Line3,
billing.line3.help,,,
billing.city.label,Stad,City,
billing.city.help,,,
billing.zip.label,Blixtlås,Zip,
billing.zip.help,,,
billing.country.label,Land,Country,
billing.country.help,,,
billing.region.label,stat,State,
billing.region.help,,,
billing.state_code.label,stat,State,
billing.state_code.help,,,
tax.vat_number.label,Momsregistreringsnummer,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,Jag har registrerat mig för GST,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,Förnamn,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Efternamn,Last Name,
shipping.last_name.help,,,
shipping.email.label,E-post,Email,
shipping.email.help,,,
shipping.phone.label,Telefon,Phone,
shipping.phone.help,,,
shipping.company.label,Företag,Company,
shipping.company.help,,,
shipping.line1.label,Adressrad1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Adress Linje 2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Adressrad3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Stad,City,
shipping.city.help,,,
shipping.zip.label,Blixtlås,Zip,
shipping.zip.help,,,
shipping.country.label,Land,Country,
shipping.country.help,,,
shipping.region.label,stat,State,
shipping.region.help,,,
shipping.state_code.label,stat,State,
shipping.state_code.help,,,
gift.first_name.label,Förnamn,First Name,
gift.first_name.help,,,
gift.last_name.label,Efternamn,Last Name,
gift.last_name.help,,,
gift.email.label,E-post,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,Vem ska vi säga att det kommer ifrån,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Datum,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Tid,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,Förnamn,First Name,
card.first_name.help,,,
card.last_name.label,Efternamn,Last Name,
card.last_name.help,,,
card.number.label,siffra,Number,
card.number.help,,,
card.expiry.label,Upphörande,Expiry,
card.expiry.help,,,
card.expiry_year.label,Upphörande,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,Adressrad1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Adress Linje 2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Stad,City,
card.billing_city.help,,,
card.billing_zip.label,Blixtlås,Zip,
card.billing_zip.help,,,
card.billing_country.label,Land,Country,
card.billing_country.help,,,
card.billing_region.label,stat,State,
card.billing_region.help,,,
card.billing_state_code.label,stat,State,
card.billing_state_code.help,,,
