key,value,reference value,description
credit_note.label.credit_note,ใบลดหนี้,Credit Note,The title credit note
credit_note.header.label.units,หน่วย,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.title.refunds,การคืนเงิน,Refunds,Refunds
credit_note.label.sub_total,ผลรวมย่อย,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.branding.test_label,นี่คือตัวอย่างใบลดหนี้ที่ Chargebee สร้างขึ้น,This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.title.refunds_and_allocations,การคืนเงินและการจัดสรร,Refunds & Allocations, Refunds and Allocations
credit_note.label.shipped_to,ส่งไปที่,Shipped To,Label - The customer's shipping address follows this label
credit_note.header.label.unit_price,ราคาต่อหน่วย,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.fractional_correction,การแก้ไขเศษส่วน,Fractional Correction,Fractional Correction
credit_note.label.reason_code,รหัสเหตุผล,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text,คืนเงิน %{amount} เมื่อ %{date},%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,รวม,incl. ,short form for inclusive as in tax inclusive
credit_note.label.date,วันที่,Date,Label date
credit_note.label.tax.vat,VAT,VAT,VAT
credit_note.label.tax.exclusive,พิเศษ,excl. ,short form for exclusive as in tax exclusive
credit_note.header.label.price,ราคา,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,รวม,Total,Total - label the net amount of the invoice/credit note
credit_note.title.allocations,การจัดสรร,Allocations,Allocations
credit_note.label.round_off,หมดยก,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.label.refunds,การคืนเงิน,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.ref_invoice,ใบแจ้งหนี้,Ref Invoice,testing
credit_note.label.due,จำนวนที่มี,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.tax.inclusive_of_vat,รวมภาษีมูลค่าเพิ่มแล้ว,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,เรียกเก็บเงินถึง,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,การจัดสรร,Allocations,Credit note label indicating the allocations
credit_note.label.amount,จำนวน,Amount,Label amount
credit_note.header.label.amount,จำนวน,Amount,Amount label
credit_note.applied_transaction.text,"มีการจัดสรร %{amount} สำหรับใบแจ้งหนี้ "" %{invoice_number}"" ที่ %{date}",%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,รหัสลูกค้า,Customer ID,Label customer id
credit_note.header.label.sub_total,ผลรวมย่อย,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,ภาษี,Tax,Tax
credit_note.header.label.discounts,ส่วนลด,Discount,Label that lists the discounts issued
credit_note.label.tax.exclusive_of_vat,ไม่รวมภาษีมูลค่าเพิ่ม,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,คำอธิบาย,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,การสมัครสมาชิก,Subscription,The label subscription - All the subscription details follow the label
