key,value,reference value,description
gift_order_confirmed.gift_receiver.email,อีเมลผู้รับ,Recipient email,
contract_is_renewed.contract_term.contract_period,ระยะเวลาของสัญญา,Contract Period,
subscription_pause_reminder.subscription.resume_date,วันที่ดำเนินการต่อ,Resume date,
welcome_mails_in_active_state.subscriptions.subscribed_to,สรุปการสมัครสมาชิก,Subscription summary,
subscription_changed_all_other_changes.subscription.next_estimate_amount,ค่าใช้จ่ายโดยประมาณในการต่ออายุ,Estimated charge on renewal,
credit_note_updated.credit_note.id,เลขที่ใบลดหนี้,Credit note number,
welcome_mails_in_future_state.subscriptions.subscribed_to,สรุปการสมัครสมาชิก,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,วิธีการชำระเงิน,Payment method,
contract_ends_and_subscription_continues.contract_term.contract_period,ระยะเวลาของสัญญา,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,สรุปการสมัครสมาชิก,Subscription summary,
payments_and_credits_successful_recurring_payments.transaction.date,วันจ่าย,Payment date,
payment_one_time_failures.transaction.amount,จำนวนเงินที่ออกใบแจ้งหนี้,Invoiced amount,
subscription_paused.subscription.resume_date,วันที่ดำเนินการต่อ,Resume date,
payments_and_credits_refunded.transaction.date,คืนเงินเมื่อ,Refunded on,
subscription_changed_all_other_changes.subscriptions.subscribed_to,สรุปการสมัครสมาชิก,Subscription summary,
payments_and_credits_successful_payment.transaction.amount,จำนวนเงินที่ออกใบแจ้งหนี้,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,สรุปการสมัครสมาชิก,Subscription summary,
gift_order_confirmed.gift.scheduled_at,แจ้งเตือนเมื่อ,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,สรุปการสมัครสมาชิก,Subscription summary,
gift_cancelled.gift.scheduled_at,แจ้งเตือนเมื่อ,Notify on,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,ค่าใช้จ่ายโดยประมาณเมื่อเปิดใช้งาน,Estimated charge on activation,
payments_and_credits_payment_initiated.transaction.date,วันจ่าย,Payment date,
welcome_mails_in_active_state.subscription.next_renewal_on,การต่ออายุครั้งต่อไปใน,Next renewal on,
subscription_changed_all_other_changes.customer_balance.unused_payments,การชำระเงินส่วนเกิน,Excess payments,
credit_note_adjustment_created.credit_note.status,สถานะใบลดหนี้,Credit note status,
contract_is_renewed.contract_term.total_contract_value,มูลค่าสัญญาทั้งหมด,Total Contract Value,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,จำนวนเงินที่ออกใบแจ้งหนี้,Invoiced amount,
payments_and_credits_refund_initiated.transaction.date,คืนเงินเมื่อ,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,เครดิตที่ขอคืนได้,Refundable credits,
future_subscription_reminders.subscriptions.subscribed_to,สรุปการสมัครสมาชิก,Subscription summary,
order_shipment_reminder.order.shipping_date,วันที่จัดส่ง,Shipment date,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,เหตุผลในการยกเลิก,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,มูลค่าสัญญาทั้งหมด,Total Contract Value,
welcome_mails_in_non_renewal_state.customer_payment_method.info,วิธีการชำระเงิน,Payment method,
welcome_mails_in_trial_state.subscription.next_estimate_amount,ค่าใช้จ่ายโดยประมาณเมื่อเปิดใช้งาน,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,วันที่ดำเนินการต่อ,Resume date,
subscription_renewal_reminders.subscriptions.subscribed_to,สรุปการสมัครสมาชิก,Subscription summary,
payment_terms_netd_reminders.invoice.amount,จำนวนเงินที่ออกใบแจ้งหนี้,Invoiced amount,
payment_one_time_failures.invoice.due_date,ครบกำหนดตั้งแต่,Due since,
welcome_mails_in_future_state.subscription.start_date,การสมัครสมาชิกเริ่มเมื่อ,Subscription starts on,
payment_dunning_profiles_for_one_time_invoices.transaction.date,พยายามเรียกเก็บเงินก่อนหน้านี้,Previous charge attempted on,
subscription_expiry_and_cancellations_expired.subscriptions.subscribed_to,สรุปการสมัครสมาชิก,Subscription summary,
payment_dunning_profile_for_initial_attempt.transaction.payment_failure_reason,เหตุผลความล้มเหลว,Failure reason,
subscription_activated_from_future_state.subscription.next_renewal_on,การต่ออายุครั้งต่อไปใน,Next renewal on,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_invoice_count,ใบแจ้งหนี้ที่ยังไม่ได้ชำระอย่างน้อยหนึ่งใบ,Unpaid invoices,
payment_terms_netd_invoice_posted.invoice.amount,จำนวนเงินที่ออกใบแจ้งหนี้,Invoiced amount,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.unused_payments,การชำระเงินส่วนเกิน,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.customer_payment_method.info,วิธีการชำระเงิน,Payment method,
contract_is_terminated.contract_term.total_contract_value,มูลค่าสัญญาทั้งหมด,Total Contract Value,
subscription_reactivation.subscription.next_estimate_amount,ค่าใช้จ่ายโดยประมาณในการต่ออายุครั้งต่อไป,Estimated charge on next renewal,
payment_dunning_profiles_for_one_time_invoices.transaction.amount,จำนวนเงินที่ออกใบแจ้งหนี้,Invoiced amount,
subscription_pause_reminder.subscription.pause_date,วันที่หยุดชั่วคราว,Pause date,
payment_authorization_succeeded.transaction.amount,จำนวนเงินที่ได้รับอนุญาต,Authorized amount,
payment_dunning_profile_for_initial_attempt.transaction.amount,จำนวนเงินที่ออกใบแจ้งหนี้,Invoiced amount,
payment_one_time_failures.customer_payment_method.info,วิธีการชำระเงิน,Payment method,
subscription_paused.subscription.pause_date,วันที่หยุดชั่วคราว,Pause date,
payment_authorization_succeeded.customer_payment_method.info,วิธีการชำระเงิน,Payment method,
credit_note_updated.credit_note.status,สถานะใบลดหนี้,Credit note status,
