key,value,reference value,description
error.column.base_money.numeric,ควรเป็นตัวเลข,should be a number,
error.invalid_expiry_info,ข้อมูลการหมดอายุไม่ถูกต้อง,invalid expiry info,
error.column.number.allow_negative,ไม่ควรเป็นลบ,should not be negative,
error.column.email.main, ควรเป็นอีเมลที่ถูกต้อง, should be a valid email,
error.column.number.range.min_max,ควรอยู่ในช่วง %{min} & %{max},should be in the range %{min} & %{max},
error.column.base_money.range.max,ไม่ควรเกิน %{max},should not exceed %{max},
error.column.number.range.max,ไม่ควรเกิน %{max},should not exceed %{max},
error.column.string.length.min, ควรมีอักขระอย่างน้อย %{min}, should have atleast %{min} characters,
error.atleast_today,ควรจะอย่างน้อยวันนี้,Should be atleast today,
error.column.base_money.range.min,ควรมีค่าอย่างน้อย %{min},should be atleast %{min},
error.invalid_cvv,CVV ไม่ถูกต้อง,invalid CVV,
error.column.base_money.main, รูปแบบสกุลเงินไม่ถูกต้อง, invalid currency format,
error.column.number.range.min,ควรมีค่าอย่างน้อย %{min},should be atleast %{min},
error.column.string.length.max, ไม่ควรมีอักขระเกิน %{max} ตัว, should not have more than %{max} characters,
error.presence,ต้องไม่ว่างเปล่า,cannot be blank,
error.wrong_format,ควรอยู่ในรูปแบบ %{regex},Should be in %{regex} format,
error.column.string.length.fixed_length, ควรมีความยาว %{min} อักขระ, should be of %{min} characters,
error.date_format,รูปแบบวันที่ไม่ถูกต้อง,invalid date format,
error.column.string.length.min_max, ควรมีความยาวระหว่าง %{min} ถึง %{max} อักขระ, should be between %{min} and %{max} characters,
error.column.color.main,รหัสสีฐานสิบหกไม่ถูกต้อง,invalid hex color code,
error.password.format,รหัสผ่านของคุณต้องมีความยาวอย่างน้อย 8 อักขระและประกอบด้วยจำนวนเต็มตัวอักษรและอักขระพิเศษ,"Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,ไม่อนุญาตให้ใช้ค่าทศนิยม,decimal values are not allowed,
error.column.data.format_spaces, รูปแบบวันที่ไม่ถูกต้อง, Invalid date format,
error.card_number,หมายเลขบัตรเครดิตไม่ถูกต้อง,invalid credit card number,
error.register_for_gst_should_be_enabled,นี่เป็นข้อบังคับ,This is mandatory,
error.column.uniqueness,มี %{column_name} อยู่แล้ว,%{column_name} already exists,
error.column.base_money.range.min_max,ควรอยู่ในช่วง %{min} & %{max},should be in the range %{min} & %{max},
error.column.number.main,ควรเป็นตัวเลข,should be a number,
error.vat_number_cannot_be_blank,ต้องระบุหมายเลข VAT,VAT Number cannot be empty,
