key,value,reference value,description
not_supported_for_moved_out_resource,ไม่รองรับการดำเนินการอัปเดตเนื่องจากเราได้ย้ายลูกค้ารายนี้ไปที่ไซต์ {0},The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,ขออภัยการตรวจสอบสิทธิ์ล้มเหลว ไม่มีพารามิเตอร์ _jsapi_key ในคำขอ,"Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,ไม่มีทรัพยากร {0} ที่มีตัวระบุ {1},{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,ไม่พบ {0},{0} not found,When resource is not found.
tos_not_agreed,การยอมรับเงื่อนไขเป็นสิ่งที่จำเป็นในการชำระเงินให้เสร็จสมบูรณ์,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,มีทรัพยากร {0} ที่มีตัวระบุ {1} อยู่แล้ว,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,ขออภัยการรับรองความถูกต้องล้มเหลว คีย์ API ไม่ถูกต้อง,"Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,ขออภัยการรับรองความถูกต้องล้มเหลวส่วนหัวการรับรองความถูกต้องพื้นฐานมีรูปแบบที่ไม่ถูกต้อง,"Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,ไม่อนุญาตให้ใช้ API นี้สำหรับลูกค้ารายนี้,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,มีทรัพยากร {0} อยู่แล้ว,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,ไม่รองรับการดำเนินการสำหรับลูกค้าที่มีการสมัครสมาชิกแบบไม่ยกเลิก,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,มีค่าอยู่แล้วใน {0},The value already present in {0},The value already present in {0}
api_disabled,ไซต์ไม่ได้เปิดใช้งาน,The site is not enabled,The site is not enabled
param_not_supported_in_browser,ขออภัยไม่รองรับพารามิเตอร์จากเบราว์เซอร์,"Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,ไม่มี {0} ที่อ้างถึงในพารามิเตอร์ {1},The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,ขออภัยการตรวจสอบสิทธิ์ล้มเหลว ส่วนหัวการอนุญาตสำหรับการพิสูจน์ตัวตนพื้นฐานไม่มีอยู่ในคำขอ,"Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,ขออภัยโปรดเปิดใช้งานการตั้งค่าไซต์การจัดการคำสั่งซื้อเพื่อใช้ API นี้,"Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,ขออภัยถึงขีด จำกัด คำขอ api แล้ว โปรดลองหลังจาก {0} นาที,"Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,ขออภัยถึงขีด จำกัด คำขอไลบรารี js แล้ว โปรดลองอีกสักครู่,"Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,URL นี้ใช้ไม่ได้อีกต่อไป โปรดติดต่อเราเพื่อขอความช่วยเหลือ,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,ไม่สามารถดำเนินการอัปเดตสำหรับทรัพยากรนี้ได้อีกต่อไปโปรดติดต่อเราเพื่อขอความช่วยเหลือ,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,ขออภัย {0} ทรัพยากร {1} ถูกกำหนดเวลาสำหรับการลบแล้ว,"Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,ไม่รองรับการดำเนินการสำหรับลูกค้าที่กำหนดเวลาให้ PII ชัดเจน,The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
