key,value,reference value,description
zero_decimal_update_gateway,ไม่อนุญาตให้ใช้เกตเวย์ {0} กับสกุลเงินที่กำหนดค่าไว้,Using {0} gateway with the configured currency is not allowed.,Using {0} gateway with the configured currency is not allowed.
paypal_not_supported,ไม่รองรับสกุลเงินที่เลือกเนื่องจากคุณได้กำหนดค่า PayPal Express Checkout,Selected currency is not supported since you have configured PayPal Express Checkout.,Selected currency is not supported since you have configured PayPal Express Checkout.
paypal_setup_error,เกิดข้อผิดพลาดขณะเปลี่ยนเส้นทางไปยัง PayPal,An error occured while redirecting to PayPal.,An error occured while redirecting to PayPal.
currency_not_supported,สกุลเงินที่กำหนดค่าใน Chargebee ไม่ได้รับการสนับสนุนโดย {0},Currency configured in Chargebee is not supported by {0}.,Currency configured in Chargebee is not supported by {0}.
invalid_credential_with_message,{0},{0},{0}
gateway_credential_missing,ปัญหาในการประมวลผลการชำระเงินของคุณ โปรดลองอีกสักครู่,Problem in processing your payment. Please try after some time.,Problem in processing your payment. Please try after some time.
gw_credential_verification_failed,{0},{0},{0}
gateway_down_with_message,ความล้มเหลวในการสื่อสารเกิดขึ้นเมื่อพยายามติดต่อเกตเวย์ โปรดลองอีกสักครู่ เหตุผลที่เป็นไปได้: {0},Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0},Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0}
wepay_not_supported,ไม่รองรับเกตเวย์ wepay สำหรับการดำเนินการนี้,wepay gateway is not supported for this operation.,wepay gateway is not supported for this operation.
delete_card_error,เกิดปัญหาขณะลบวิธีการชำระเงิน โปรดลองอีกสักครู่,Problem occurred while deleting the payment method. Please try after some time.,Problem occurred while deleting the payment method. Please try after some time.
gateway_in_active_state,เกตเวย์การชำระเงินอยู่ในสถานะใช้งานได้แล้ว,Payment gateway is already in active state,Payment gateway is already in active state
zero_decimal_update_site,Chargebee ไม่รองรับสกุลเงินที่เลือกกับเกตเวย์ {0},Chargebee doesn''t support the selected currency with {0} gateway.,Chargebee doesn''t support the selected currency with {0} gateway.
default_gateway_not_configured,ไม่ได้กำหนดค่าเกตเวย์การชำระเงินเริ่มต้น,Default payment gateway not configured.,Default payment gateway not configured.
remove_archived_gw_not_supported,ไม่สามารถลบเกตเวย์การชำระเงินได้เนื่องจากถูกเก็บถาวร,Payment gateway cannot be removed as it is archived.,Payment gateway cannot be removed as it is archived.
bank_account_payment_gateway_not_configured,ไม่รองรับการดำเนินการนี้เนื่องจากไม่มีการกำหนดค่าเกตเวย์การชำระเงินสำหรับบัญชีธนาคาร,This operation is not supported as there is no payment gateway configured for bank account.,This operation is not supported as there is no payment gateway configured for bank account.
empty_card_type_list,ประเภทบัตรที่ยอมรับต้องไม่ว่างเปล่า,Accepted Card types cannot not be empty,Accepted Card types cannot not be empty
default_gateway_not_supported,ไม่รองรับตัวเลือกเริ่มต้นสำหรับเกตเวย์นี้,Default option is not supported for this gateway.,Default option is not supported for this gateway.
gateway_not_supported,ไม่รองรับสกุลเงินที่เลือกเนื่องจากคุณได้กำหนดค่า {0},Selected currency is not supported since you have configured {0}.,Selected currency is not supported since you have configured {0}.
payment_gateway_not_configured,ไม่รองรับการดำเนินการนี้เนื่องจากไม่มีการกำหนดค่าเกตเวย์การชำระเงิน,This operation is not supported as there is no payment gateway configured.,This operation is not supported as there is no payment gateway configured.
gateway_not_supported_for_mcp,Chargebee ไม่รองรับคุณลักษณะหลายสกุลเงินสำหรับเกตเวย์ {0},Chargebee doesn''t support multicurrency feature for {0} gateway.,Chargebee doesn''t support multicurrency feature for {0} gateway.
gateway_configuration_failed,{0},{0}.,{0}.
forbidden_to_remove,ไม่สามารถลบเกตเวย์การชำระเงินได้เนื่องจากมีการสมัครสมาชิกที่ใช้งานอยู่,Payment gateway cannot be removed as there are active subscriptions.,Payment gateway cannot be removed as there are active subscriptions.
gateway_down,[object Object],Communication failure occurred when trying to contact the gateway. Please try after some time,Communication failure occurred when trying to contact the gateway. Please try after some time
gocardless_redirect_error,เกิดข้อผิดพลาดขณะเปลี่ยนเส้นทางไปยัง GoCardless,An error occured while redirecting to GoCardless.,An error occured while redirecting to GoCardless.
invalid_credential,โปรดตรวจสอบข้อมูลรับรองที่ส่งมา ไม่สามารถเข้าถึงเกตเวย์,Please check the submitted credentials. Not able to access the gateway.,Please check the submitted credentials. Not able to access the gateway.
gateway_already_configured,เกตเวย์นี้ได้รับการกำหนดค่าสำหรับไซต์แล้ว เหตุผลที่เป็นไปได้: {0},This gateway is already configured for the site. Probable reason: {0},This gateway is already configured for the site. Probable reason: {0}
