key,value,reference value,description
sub_start_outside_plan_term,วันที่เริ่มต้นการสมัครสมาชิกต้องไม่อยู่ก่อนช่วงเวลาที่เรียกเก็บเงิน,Subscription start date cannot be before the billing period.,Subscription start date cannot be before the billing period.
old_operation_failed,{0},{0},{0}
subscription.invalid_scheduled_date,ต้องไม่อยู่หลังวันที่ยกเลิก _at ({0}),cannot be after cancelled_at date ({0}).,cannot be after cancelled_at date ({0}).
line_discount_load_err,ปัญหาเกี่ยวกับส่วนลด โปรดติดต่อฝ่ายสนับสนุนสำหรับรายละเอียดเพิ่มเติม,Problem with discounts. Please contact support for further details.,Problem with discounts. Please contact support for further details.
trial_end_before_start_date,สิ้นสุดการทดลองใช้ไม่ได้ก่อนวันที่เริ่มต้น,Trial end cannot be before start date,Trial end cannot be before start date
scheduled_for_cancellation,ไม่สามารถอัปเดตการสมัครสมาชิกได้เนื่องจากมีกำหนดยกเลิกเมื่อสิ้นสุดระยะเวลาปัจจุบัน,Subscription cannot be updated as it is scheduled for cancellation at end of current term,Subscription cannot be updated as it is scheduled for cancellation at end of current term
invalid_state_for_update,การสมัครสมาชิกสามารถอัปเดตได้เฉพาะในสถานะ Trial & Active,Subscription can be updated only in Trial & Active states,Subscription can be updated only in Trial & Active states
required_input_for_status,ต้องไม่เว้นว่างสำหรับการสมัครสมาชิก {0},cannot be blank for {0} subscription,cannot be blank for {0} subscription
pause-subscription.cancel_end_of_term_not_supported,ไม่สามารถกำหนดเวลาการยกเลิกได้หากการสมัครถูกหยุดชั่วคราวหรือถูกกำหนดให้หยุดชั่วคราว,Cannot schedule cancellation if subscription is paused or scheduled to pause.,Cannot schedule cancellation if subscription is paused or scheduled to pause.
direct_debit_require_field_validation,{0} จำเป็นต้องใช้ {1} การตัดบัญชีโดยตรงผ่าน {2},{0} is mandatory to use {1} Direct Debit via {2},{0} is mandatory to use {1} Direct Debit via {2}
addon_not_applicable,{0},{0},Plan billing period and addon billing period are incompatible
card_already_exists,{0},{0},{0}
no_charge_item_present,อย่างน้อยควรมีรายการเพิ่มหรือเรียกเก็บเงินที่ไม่เกิดขึ้นประจำหนึ่งรายการ,Atleast one non recurring addon or charge item should be present,Atleast one non recurring addon or charge item should be present
tmp_token_not_supported,ไม่สนับสนุนวิธีโทเค็นชั่วคราวของการ์ดสำหรับเกตเวย์นี้,Card temporary token approach not supported for this gateway,Card temporary token approach not supported for this gateway
