key,value,reference value,description
page_url_length_exceed,ขออภัยเราไม่พบหน้านั้น,"Sorry, we couldn''t find that page","Sorry, we couldn''t find that page"
should_be_unauth,ขออภัยคุณต้องออกจากเซสชันปัจจุบันเพื่อดูหน้านี้,"Sorry, you must be logged out of current session to view this page","Sorry, you must be logged out of current session to view this page"
web.param_not_unique,เดี๋ยวก่อน! คุณได้สมัครสมาชิกแล้ว,Hold up! You have subscribed already.,Hold up! You have subscribed already.
bad_request_need_refresh,ขออภัยคำขอมีข้อมูลที่จัดรูปแบบไม่ถูกต้อง,"Sorry, the request contains data that are not formatted properly","Sorry, the request contains data that are not formatted properly"
operation_not_supported,{0},{0},{0}
not_authorized_post,ขออภัยคุณไม่มีสิทธิ์ดำเนินการนี้,"Sorry, you don''t have the permission to do this action","Sorry, you don''t have the permission to do this action"
limit_exceeds,ขออภัยขีด จำกัด ที่อนุญาตสำหรับ {0} คือ {1},"Sorry, the allowed limit for {0} is {1}.","Sorry, the allowed limit for {0} is {1}."
user_already_exists,มีอีเมลอยู่แล้ว,email already exists,email already exists
hosted_page_null,URL คำสั่งซื้อไม่ถูกต้อง โปรดตรวจสอบ URL และลองอีกครั้ง,The order URL is invalid. Please check the URL and try again.,The order URL is invalid. Please check the URL and try again.
hp_resource_not_found,URL นี้ใช้ไม่ได้อีกต่อไป,This URL is no longer valid.,This URL is no longer valid.
update_card_succeeded,บัตรเครดิตของคุณได้รับการอัปเดตเรียบร้อยแล้ว,Your credit card has been already updated successfully.,Your credit card has been already updated successfully.
should_be_auth,ขออภัยคุณต้องเข้าสู่ระบบเพื่อดูหน้านี้,"Sorry, you must be logged in to view this page","Sorry, you must be logged in to view this page"
hosted_page_canceled,คำสั่งซื้อนี้ถูกยกเลิก กรุณาลองอีกครั้ง.,This order has been canceled. Please try again.,This order has been canceled. Please try again.
lock_timeout,ขออภัยเกิดข้อผิดพลาดชั่วคราว โปรดลองอีกครั้ง,"Sorry, a temporary error occured. Please retry","Sorry, a temporary error occured. Please retry"
service_unavailable,ขออภัยไม่สามารถดำเนินการนี้ได้เนื่องจากมีน้ำหนักมาก โปรดลองอีกครั้งในอีกสักครู่,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes
cannot_be_empty_or_null,ค่าคีย์ต้องไม่ว่างเปล่าหรือเป็นโมฆะ,Key value cannot be empty or null,Key value cannot be empty or null
update_card_cancelled,URL นี้ใช้ไม่ได้อีกต่อไป,This URL is no longer valid.,This URL is no longer valid.
suffix_not_allowed,"ไม่อนุญาตให้ใช้คำต่อท้าย ""{0}""","""{0}"" suffix is not allowed","""{0}"" suffix is not allowed"
currency_error,ไม่สามารถดึงข้อมูลสกุลเงิน,Unable fetch currency info,Unable fetch currency info
not_authorized_get,ขออภัยคุณไม่มีสิทธิ์ดูหน้านี้,"Sorry, you don''t have the permission to view this page","Sorry, you don''t have the permission to view this page"
hosted_page_expired,URL คำสั่งซื้อของคุณหมดอายุแล้ว กรุณาลองอีกครั้ง.,Your order URL has expired. Please try again.,Your order URL has expired. Please try again.
session_timeout,คุณออกจากระบบพอร์ทัล กรุณาเข้าสู่ระบบอีกครั้ง,You are logged out of the portal. Please login again.,You are logged out of the portal. Please login again.
hosted_page_succeeded,ส่งคำสั่งซื้อของคุณเรียบร้อยแล้ว,Your order has already been submitted successfully.,Your order has already been submitted successfully.
not_ajax_request,เกิดข้อผิดพลาดชั่วคราว ลองอีกครั้ง,A temporary error occurred. Try again,A temporary error occurred. Try again
web.mul_sub_entry,[object Object],Hold up! You have subscribed already,Hold up! You have subscribed already
