key,value,reference value,description
account.first_name.label,ชื่อจริง,First Name,
account.first_name.help,,,
account.last_name.label,นามสกุล,Last Name,
account.last_name.help,,,
account.email.label,อีเมล์,Email,
account.email.help,,,
account.company.label,บริษัท,Company,
account.company.help,,,
account.phone.label,โทรศัพท์,Phone,
account.phone.help,,,
billing.first_name.label,ชื่อจริง,First Name,
billing.first_name.help,,,
billing.last_name.label,นามสกุล,Last Name,
billing.last_name.help,,,
billing.email.label,อีเมล์,Email,
billing.email.help,,,
billing.phone.label,โทรศัพท์,Phone,
billing.phone.help,,,
billing.company.label,บริษัท,Company,
billing.company.help,,,
billing.line1.label,ที่อยู่บรรทัดที่ 1,Address Line1,
billing.line1.help,,,
billing.line2.label,ที่อยู่ Line2,Address Line2,
billing.line2.help,,,
billing.line3.label,ที่อยู่ Line3,Address Line3,
billing.line3.help,,,
billing.city.label,เมือง,City,
billing.city.help,,,
billing.zip.label,ซิป,Zip,
billing.zip.help,,,
billing.country.label,ประเทศ,Country,
billing.country.help,,,
billing.region.label,สถานะ,State,
billing.region.help,,,
billing.state_code.label,สถานะ,State,
billing.state_code.help,,,
tax.vat_number.label,หมายเลขภาษี,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,ฉันได้ลงทะเบียน GST แล้ว,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,ชื่อจริง,First Name,
shipping.first_name.help,,,
shipping.last_name.label,นามสกุล,Last Name,
shipping.last_name.help,,,
shipping.email.label,อีเมล์,Email,
shipping.email.help,,,
shipping.phone.label,โทรศัพท์,Phone,
shipping.phone.help,,,
shipping.company.label,บริษัท,Company,
shipping.company.help,,,
shipping.line1.label,ที่อยู่บรรทัดที่ 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,ที่อยู่ Line2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,ที่อยู่ Line3,Address Line3,
shipping.line3.help,,,
shipping.city.label,เมือง,City,
shipping.city.help,,,
shipping.zip.label,ซิป,Zip,
shipping.zip.help,,,
shipping.country.label,ประเทศ,Country,
shipping.country.help,,,
shipping.region.label,สถานะ,State,
shipping.region.help,,,
shipping.state_code.label,สถานะ,State,
shipping.state_code.help,,,
gift.first_name.label,ชื่อจริง,First Name,
gift.first_name.help,,,
gift.last_name.label,นามสกุล,Last Name,
gift.last_name.help,,,
gift.email.label,อีเมล์,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,เราควรบอกว่ามาจากใคร,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,วันที่,Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,เวลา,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,ชื่อจริง,First Name,
card.first_name.help,,,
card.last_name.label,นามสกุล,Last Name,
card.last_name.help,,,
card.number.label,จำนวน,Number,
card.number.help,,,
card.expiry.label,หมดอายุ,Expiry,
card.expiry.help,,,
card.expiry_year.label,หมดอายุ,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,ที่อยู่บรรทัดที่ 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,ที่อยู่ Line2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,เมือง,City,
card.billing_city.help,,,
card.billing_zip.label,ซิป,Zip,
card.billing_zip.help,,,
card.billing_country.label,ประเทศ,Country,
card.billing_country.help,,,
card.billing_region.label,สถานะ,State,
card.billing_region.help,,,
card.billing_state_code.label,สถานะ,State,
card.billing_state_code.help,,,
