key,value,reference value,description
cbjs_grp.bank,ธนาคาร,Bank,Bank
cbjs_grp.select_bank,เลือกธนาคาร,Select Bank,Select Bank
cbjs_grp.list_supported_bank,กำลังเรียกรายชื่อธนาคารที่รองรับ,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,เพิ่มรายละเอียดบัญชีของคุณ,Add your account details,Add your account details
inapp_checkout.customer.header.edit,การแก้ไขรายละเอียดบัญชี,Editing account details,Editing account details
inapp_checkout.customer.update,อัปเดต,Update,Update
inapp_checkout.customer.next,ต่อไป,Next,Next
inapp_checkout.billing_address.header,เพิ่มที่อยู่สำหรับการเรียกเก็บเงินของคุณ,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,การแก้ไขที่อยู่สำหรับการเรียกเก็บเงิน,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,อัปเดต,Update,Update
inapp_checkout.billing_address.next,ต่อไป,Next,Next
inapp_checkout.shipping_address.header,เพิ่มที่อยู่จัดส่งของคุณ,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,กำลังแก้ไขที่อยู่จัดส่ง,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,อัปเดต,Update,Update
inapp_checkout.shipping_address.next,ต่อไป,Next,Next
inapp_checkout.choose_sa.header,เลือกที่อยู่จัดส่ง,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,จัดส่งไปยังที่อยู่สำหรับการเรียกเก็บเงินของฉัน,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,เพิ่มใหม่,Add New,Add New
inapp_checkout.payment_method.choose.add,เพิ่มวิธีการชำระเงิน,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,เพิ่มรายละเอียดการชำระเงินของคุณ,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,การแก้ไขรายละเอียดการชำระเงิน,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,เลือกวิธีการจ่ายเงิน,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,เลือกวิธีการชำระเงินอื่น,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,อัปเดต,Update,Update
