key,value,reference value,description
error.column.base_money.numeric,bir sayı olmalı,should be a number,
error.invalid_expiry_info,geçersiz son kullanma bilgisi,invalid expiry info,
error.column.number.allow_negative,negatif olmamalı,should not be negative,
error.column.email.main, geçerli bir e-posta olmalı, should be a valid email,
error.column.number.range.min_max, %{min} ve %{max} aralığında olmalıdır,should be in the range %{min} & %{max},
error.column.base_money.range.max, %{max} değerini geçmemelidir,should not exceed %{max},
error.column.number.range.max, %{max} değerini geçmemelidir,should not exceed %{max},
error.column.string.length.min, en az %{min} karakter içermelidir, should have atleast %{min} characters,
error.atleast_today,Bugün en az olmalı,Should be atleast today,
error.column.base_money.range.min,en az %{min} olmalıdır,should be atleast %{min},
error.invalid_cvv,geçersiz CVV,invalid CVV,
error.column.base_money.main, geçersiz para birimi biçimi, invalid currency format,
error.column.number.range.min,en az %{min} olmalıdır,should be atleast %{min},
error.column.string.length.max, en fazla %{max} karakter içermelidir, should not have more than %{max} characters,
error.presence,boş bırakılamaz,cannot be blank,
error.wrong_format, %{regex} biçiminde olmalıdır,Should be in %{regex} format,
error.column.string.length.fixed_length, %{min} karakterden oluşmalıdır, should be of %{min} characters,
error.date_format,Geçersiz tarih biçimi,invalid date format,
error.column.string.length.min_max, %{min} ile %{max} karakter arasında olmalıdır, should be between %{min} and %{max} characters,
error.column.color.main,geçersiz onaltılık renk kodu,invalid hex color code,
error.password.format,"Şifreniz en az 8 karakter uzunluğunda olmalı ve bir tam sayı, bir alfabe ve özel bir karakter içermelidir","Your password must be at least 8 characters long and contain an integer, an alphabet, and a special character",
error.column.integer.strict_int,ondalık değerlere izin verilmez,decimal values are not allowed,
error.column.data.format_spaces, Geçersiz tarih biçimi, Invalid date format,
error.card_number,geçersiz kredi kartı numarası,invalid credit card number,
error.register_for_gst_should_be_enabled,Bu zorunludur,This is mandatory,
error.column.uniqueness, %{column_name} zaten var,%{column_name} already exists,
error.column.base_money.range.min_max, %{min} ve %{max} aralığında olmalıdır,should be in the range %{min} & %{max},
error.column.number.main,bir sayı olmalı,should be a number,
error.vat_number_cannot_be_blank,KDV Numarası boş olamaz,VAT Number cannot be empty,
