key,value,reference value,description
exceeded_allowed_coupon_code_limit,Kupon seti başına yalnızca {0} kupon koduna izin verilir.,Only {0} coupon codes allowed per coupon set.,Only {0} coupon codes allowed per coupon set.
invalid_request_with_no_applicable_coupon,kupon bulunamadı veya geçerli bir kupon değil,coupon not found or not a applicable coupon,coupon not found or not a applicable coupon
api_coupon_not_applied,{0} kuponu bu aboneliğe uygulanmadı,coupon {0} has not been applied on this subscription,coupon {0} has not been applied on this subscription
error_while_uploading_coupon_code,Yükleme sırasında hata. {0}. Satırda yinelenen kupon kodu bulundu.,Error during upload. Duplicate coupon code found at row {0}.,Error during upload. Duplicate coupon code found at row {0}.
already_redeemed,{0} kuponu bu abonelik için zaten kullanıldı,The coupon {0} is already redeemed for this subscription,The coupon {0} is already redeemed for this subscription
rec_coupon_not_supported,Yalnızca bir kerelik kuponlar desteklendiğinden {0} kuponu uygulanamaz,Coupon {0} cannot be applied as only one-time coupons are supported,Coupon {0} cannot be applied as only one-time coupons are supported
cannot_delete_archived_coupon_code,Kullanılmış kupon kodu silinemez,Cannot delete used coupon code,Cannot delete used coupon code
un_supported_file_format,Desteklenmeyen dosya formatı. Yalnızca CSV dosyalarına izin verilir,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
cannot_delete_exhausted_coupon_set,Bitmiş Kupon Seti silinemiyor,Cannot delete exhausted Coupon Set,Cannot delete exhausted Coupon Set
max_redemptions_reached,Geçilen {0} kuponu zaten {1} kez kullanıldı. Daha fazla para kullanımına izin verilmiyor,The passed coupon {0} has already been redeemed {1} times. No more redemptions are allowed,Maximum redemption count of the coupon is exceeded.
too_many_characters_in_coupon_code,{1} satırındaki kupon kodunda {0} karakterden fazla bulundu,More than {0} characters is found at coupon code in row {1},More than {0} characters is found at coupon code in row {1}
invalid_coupon,Böyle bir kupon bulunamadı,No such coupon found,No such coupon found
coupon_set_name_alreay_exists,kupon seti adı başka bir kupon için zaten mevcut.,coupon set name already exists for another coupon.,coupon set name already exists for another coupon.
applicable_item_limit_exceeded,Bir veya daha fazla kuponda {0} adet geçerli öğe var. Daha fazla ayrıntı için lütfen support@chargebee.com ile iletişime geçin.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.
invalid_subscription_state,Kuponu uygulamak / değiştirmek için geçersiz abonelik durumu,Invalid subscription state to apply/change coupon,Invalid subscription state to apply/change coupon
exceeded_allowed_coupon_set_limit,Kupon başına yalnızca {0} kupon setine izin verilir.,Only {0} coupon sets allowed per coupon.,Only {0} coupon sets allowed per coupon.
cannot_archive_redeemed_coupon_code,Kullanılmış bir kupon kodu arşivlenemez,Cannot archive a redeemed coupon code,Cannot archive a redeemed coupon code
two_coupons_of_same_type,"Bu kupon, bu abonelik için uygulanamaz. Daha fazla ayrıntı için lütfen satıcıyla iletişime geçin.",This coupon cannot be applied for this subscription. Please contact the seller for more details.,This coupon cannot be applied for this subscription. Please contact the seller for more details.
no_such_coupon,Kullanılacak böyle bir kupon {0} yok,No such coupon {0} to redeem,Coupon is not found
coupon_not_applicable,Herhangi bir öğe için geçerli olmadığından {0} kuponu uygulanamaz,Coupon {0} cannot be applied as it is not applicable to any of the items,Coupon is not applicable for any of the passed item
no_coupon_code_found,Dosyada kupon kodu bulunamadı.,No coupon codes found in the file.,No coupon codes found in the file.
coupon_expired,"Uygulanan kupon {0}, {1} tarihinde zaten sona erdi",Applied coupon {0} has already expired on {1},Applied coupon {0} has already expired on {1}
invalid_request_with_no_coupon,Bu aboneliğe kupon uygulanmadı,No coupons have been applied on this subscription,No coupons have been applied on this subscription
could_not_read_the_file,CSV dosyasındaki içerik okunamadı.,Could not able to read the content in CSV file.,Could not able to read the content in CSV file.
invalid_coupon_code,Geçersiz kupon kodu,Invalid coupon code,Invalid coupon code
coupon_code_not_applicable_for_this_coupon,Kupon kodu bu kupon için geçerli değil,Coupon code is not applicable for this coupon,Coupon code is not applicable for this coupon
coupon_code_already_exists,Kupon kodu zaten var. Yinelemeye izin verilmiyor,Coupon code already exists. Duplicate not allowed,Coupon code already exists. Duplicate not allowed
