key,value,reference value,description
minimal.card.page_heading,Ödeme yöntemi ayrıntılarınızı güncellediğiniz için teşekkür ederiz!,Thank you for updating your payment method details!,Thank you for updating your payment method details!
rhapsody.header.title,Harika abonelik hizmetim,My awesome subscription service,My awesome subscription service
minimal.checkout.page_title,Çıkış yapmak,Checkout,Checkout
elegant.checkout.page_heading,Abone olduğunuz için teşekkürler!,Thank you for subscribing!,Thank you for subscribing!
inspire.portal.page_title,müşteri portalı,Customer Portal,Customer Portal
rhapsody.footer.content,Bütün hakları saklıdır. Telif hakkı © 2015.,All Right Reserved. Copyright &copy; 2015.,All Right Reserved. Copyright &copy; 2015.
minimal.thankyou.page_title,Teşekkür ederim,Thank You,Thank You
elegant.thankyou.page_heading,Başarıyla kaydoldunuz!,You've successfully signed up!,You've successfully signed up!
elegant.customer_portal.page_title,müşteri portalı,Customer Portal,Customer Portal
rhapsody.thankyou.page_heading,Başarıyla kaydoldunuz!,You've successfully signed up!,You've successfully signed up!
elegant.checkout.aside_content,<h4> Gizliliğinize değer veriyoruz. </h4> <p> İletişim bilgilerinizi satmayacağız veya dağıtmayacağız. Gizlilik Politikamızı okuyun. </p> <hr> <h4> Faturalandırma Soruları </h4> <p> Herhangi bir sorunuz olursa destek ekibimize ulaşmaktan çekinmeyin. </p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
minimal.footer.content,Tüm hakları Saklıdır. Telif hakkı © 2015.,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.header.title,Harika abonelik hizmetim,My awesome subscription service,My awesome subscription service
rhapsody.thankyou.content,Hesap bilgileriniz e-posta adresinize gönderilmiştir.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
minimal.header.title,Harika abonelik hizmetim,My awesome subscription service,My awesome subscription service
minimal.customer_portal.page_title,müşteri portalı,Customer Portal,Customer Portal
inspire.thankyou.page_title,Teşekkür ederim,Thank You,Thank You
minimal.card.aside_content,<p> Lütfen bunun yalnızca ödeme yönteminizin bir güncellemesi olduğunu unutmayın. </p> <p> Sizi mevcut faturalandırma kurulumunuza göre faturalandıracağız. </p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
minimal.thankyou.content,Hesap bilgileriniz e-posta adresinize gönderilmiştir.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.aside_content,"<p> Lütfen bunun yalnızca ödeme yönteminizin bir güncellemesi olduğunu unutmayın. </p> <p> Sizi, mevcut faturalandırma kurulumunuza göre faturalandıracağız. </p>",<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>,<p>Please note that this is only an update of your payment method.</p><p>We will bill you as per your existing billing setup.</p>
elegant.card.page_heading,Ödeme yöntemi ayrıntılarınızı güncellediğiniz için teşekkür ederiz!,Thank you for updating your payment method details!,Thank you for updating your payment method details!
minimal.card.page_title,Ödeme yönteminizi güncelleyin,Update your payment method,Update your payment method
inspire.thankyou.content,"<div class=""text-center""> <h3> Başarıyla kaydoldunuz! </h3> <p> Hesap bilgileriniz e-posta adresinize gönderildi. </p> </div>",<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>,<div class='text-center'><h3>You've successfully signed up!</h3><p>Your account information has been sent to your email address.</p></div>
minimal.checkout.page_heading,Abone olduğunuz için teşekkürler!,Thank you for subscribing!,Thank you for subscribing!
rhapsody.card.page_title,Ödeme yönteminizi güncelleyin,Update your payment method,Update your payment method
rhapsody.checkout.page_title,Çıkış yapmak,Checkout,Checkout
rhapsody.thankyou.page_title,Teşekkür ederim,Thank You,Thank You
elegant.checkout.page_title,Çıkış yapmak,Checkout,Checkout
elegant.thankyou.content,Hesap bilgileriniz e-posta adresinize gönderilmiştir.,Your account information has been sent to your email address.,Your account information has been sent to your email address.
elegant.card.page_title,Ödeme yönteminizi güncelleyin,Update your payment method,Update your payment method
rhapsody.customer_portal.page_title,müşteri portalı,Customer Portal,Customer Portal
minimal.thankyou.page_heading,Başarıyla kaydoldunuz!,You've successfully signed up!,You've successfully signed up!
elegant.footer.content,Tüm hakları Saklıdır. Telif hakkı © 2015.,All Rights Reserved. Copyright &copy; 2015.,All Rights Reserved. Copyright &copy; 2015.
elegant.thankyou.page_title,Teşekkür ederim,Thank You,Thank You
inspire.card.page_title,Ödeme yönteminizi güncelleyin,Update your payment method,Update your payment method
inspire.header.title,Şirket Adı,Company Name,Company Name
inspire.checkout.page_title,Çıkış yapmak,Checkout,Checkout
minimal.checkout.aside_content,<h4> Gizliliğinize değer veriyoruz. </h4> <p> İletişim bilgilerinizi satmayacağız veya dağıtmayacağız. Gizlilik Politikamızı okuyun. </p> <hr> <h4> Faturalandırma Soruları </h4> <p> Herhangi bir sorunuz olursa destek ekibimize ulaşmaktan çekinmeyin. </p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>,<h4>We value your Privacy.</h4><p>We will not sell or distribute your contact information. Read our Privacy Policy.</p><hr><h4>Billing Enquiries</h4><p>Do not hesitate to reach our support team if you have any queries.</p>
