key,value,reference value,description
zero_decimal_update_gateway,Yapılandırılan para birimiyle {0} ağ geçidinin kullanılmasına izin verilmiyor.,Using {0} gateway with the configured currency is not allowed.,Using {0} gateway with the configured currency is not allowed.
paypal_not_supported,PayPal Ekspres Satın Alma'yı yapılandırdığınız için seçilen para birimi desteklenmiyor.,Selected currency is not supported since you have configured PayPal Express Checkout.,Selected currency is not supported since you have configured PayPal Express Checkout.
paypal_setup_error,PayPal'a yönlendirilirken bir hata oluştu.,An error occured while redirecting to PayPal.,An error occured while redirecting to PayPal.
currency_not_supported,"Chargebee'de yapılandırılan para birimi, {0} tarafından desteklenmiyor.",Currency configured in Chargebee is not supported by {0}.,Currency configured in Chargebee is not supported by {0}.
invalid_credential_with_message,{0},{0},{0}
gateway_credential_missing,Ödemenizi işleme koyarken sorun. Lütfen bir süre sonra deneyin.,Problem in processing your payment. Please try after some time.,Problem in processing your payment. Please try after some time.
gw_credential_verification_failed,{0},{0},{0}
gateway_down_with_message,Ağ geçidi ile iletişim kurmaya çalışırken iletişim hatası oluştu. Lütfen bir süre sonra deneyin. Olası neden: {0},Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0},Communication failure occurred when trying to contact the gateway. Please try after some time. Probable reason: {0}
wepay_not_supported,wepay ağ geçidi bu işlem için desteklenmiyor.,wepay gateway is not supported for this operation.,wepay gateway is not supported for this operation.
delete_card_error,Ödeme yöntemi silinirken sorun oluştu. Lütfen bir süre sonra deneyin.,Problem occurred while deleting the payment method. Please try after some time.,Problem occurred while deleting the payment method. Please try after some time.
gateway_in_active_state,Ödeme ağ geçidi zaten etkin durumda,Payment gateway is already in active state,Payment gateway is already in active state
zero_decimal_update_site,"Chargebee, {0} ağ geçidi ile seçilen para birimini desteklemiyor.",Chargebee doesn''t support the selected currency with {0} gateway.,Chargebee doesn''t support the selected currency with {0} gateway.
default_gateway_not_configured,Varsayılan ödeme ağ geçidi yapılandırılmamış.,Default payment gateway not configured.,Default payment gateway not configured.
remove_archived_gw_not_supported,Ödeme ağ geçidi arşivlendiği için kaldırılamaz.,Payment gateway cannot be removed as it is archived.,Payment gateway cannot be removed as it is archived.
bank_account_payment_gateway_not_configured,Banka hesabı için yapılandırılmış bir ödeme ağ geçidi olmadığından bu işlem desteklenmiyor.,This operation is not supported as there is no payment gateway configured for bank account.,This operation is not supported as there is no payment gateway configured for bank account.
empty_card_type_list,Kabul edilen Kart türleri boş bırakılamaz,Accepted Card types cannot not be empty,Accepted Card types cannot not be empty
default_gateway_not_supported,Bu ağ geçidi için varsayılan seçenek desteklenmemektedir.,Default option is not supported for this gateway.,Default option is not supported for this gateway.
gateway_not_supported,{0} öğesini yapılandırdığınız için seçilen para birimi desteklenmiyor.,Selected currency is not supported since you have configured {0}.,Selected currency is not supported since you have configured {0}.
payment_gateway_not_configured,Yapılandırılmış ödeme ağ geçidi olmadığından bu işlem desteklenmiyor.,This operation is not supported as there is no payment gateway configured.,This operation is not supported as there is no payment gateway configured.
gateway_not_supported_for_mcp,"Chargebee, {0} ağ geçidi için çoklu para birimi özelliğini desteklemez.",Chargebee doesn''t support multicurrency feature for {0} gateway.,Chargebee doesn''t support multicurrency feature for {0} gateway.
gateway_configuration_failed,{0}.,{0}.,{0}.
forbidden_to_remove,Aktif abonelikler olduğu için ödeme ağ geçidi kaldırılamaz.,Payment gateway cannot be removed as there are active subscriptions.,Payment gateway cannot be removed as there are active subscriptions.
gateway_down,Ağ geçidi ile iletişim kurmaya çalışırken iletişim hatası oluştu. Lütfen bir süre sonra deneyin,Communication failure occurred when trying to contact the gateway. Please try after some time,Communication failure occurred when trying to contact the gateway. Please try after some time
gocardless_redirect_error,GoCardless'a yeniden yönlendirilirken bir hata oluştu.,An error occured while redirecting to GoCardless.,An error occured while redirecting to GoCardless.
invalid_credential,Lütfen gönderilen kimlik bilgilerini kontrol edin. Ağ geçidine erişilemiyor.,Please check the submitted credentials. Not able to access the gateway.,Please check the submitted credentials. Not able to access the gateway.
gateway_already_configured,Bu ağ geçidi site için zaten yapılandırılmış. Olası neden: {0},This gateway is already configured for the site. Probable reason: {0},This gateway is already configured for the site. Probable reason: {0}
