key,value,reference value,description
portal.stripe_acc_status_reason.errored,Banka hesabına gönderilen son transfer başarısız oldu. Banka hesabı gelecekteki ödemeler için kullanılamaz,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments,Recent transfer sent to the bank account failed. The bank account cannot be used for future payments
portal.change_password.reenter_new_password,Parolalar uyuşmuyor,Passwords do not match,Passwords do not match
portal.change_password.new_password_not_same,Yeni şifre mevcut şifre ile aynı,New password is same as the current password,New password is same as the current password
portal.change_password.current_password.incorrect,Girdiğiniz şifre yanlış,The password you gave is incorrect,The password you gave is incorrect
portal.stripe_acc_status_reason.verification_failed,Banka hesabının çaprazlandığını doğrulamak için maksimum girişim,Max attempts to verify the bank account has been crossed,Max attempts to verify the bank account has been crossed
portal.account_details.address,Adres,Address,Address Label
portal.stripe_acc_status_reason.validated,Banka hesabı henüz doğrulanmadı,The bank account is not yet verified,The bank account is not yet verified
portal.stripe_acc_status_reason.verified,Banka hesabı doğrulandı,The bank account is verified,The bank account is verified
portal.stripe_acc_status_reason.new,Banka hesabı henüz doğrulanmadı,The bank account is not yet verified,The bank account is not yet verified
portal.change_password.recently_used,Son kullanılan şifreler tekrar kullanılamaz,Recently used passwords cannot be reused again,Recently used passwords cannot be reused again
