key,value,reference value,description
account.first_name.label,İsim,First Name,
account.first_name.help,,,
account.last_name.label,Soyadı,Last Name,
account.last_name.help,,,
account.email.label,E-posta adresi,Email,
account.email.help,,,
account.company.label,şirket,Company,
account.company.help,,,
account.phone.label,Telefon,Phone,
account.phone.help,,,
billing.first_name.label,İsim,First Name,
billing.first_name.help,,,
billing.last_name.label,Soyadı,Last Name,
billing.last_name.help,,,
billing.email.label,E-posta adresi,Email,
billing.email.help,,,
billing.phone.label,Telefon,Phone,
billing.phone.help,,,
billing.company.label,şirket,Company,
billing.company.help,,,
billing.line1.label,Adres satırı 1,Address Line1,
billing.line1.help,,,
billing.line2.label,Adres Satırı 2,Address Line2,
billing.line2.help,,,
billing.line3.label,Adres Satırı3,Address Line3,
billing.line3.help,,,
billing.city.label,Kent,City,
billing.city.help,,,
billing.zip.label,Posta Kodu,Zip,
billing.zip.help,,,
billing.country.label,Ülke,Country,
billing.country.help,,,
billing.region.label,Durum,State,
billing.region.help,,,
billing.state_code.label,Durum,State,
billing.state_code.help,,,
tax.vat_number.label,KDV Numarası,VAT Number,
tax.vat_number.help,,,
tax.registered_for_gst.label,GST'ye kaydoldum,I have registered for GST,
tax.registered_for_gst.help,,,
shipping.first_name.label,İsim,First Name,
shipping.first_name.help,,,
shipping.last_name.label,Soyadı,Last Name,
shipping.last_name.help,,,
shipping.email.label,E-posta adresi,Email,
shipping.email.help,,,
shipping.phone.label,Telefon,Phone,
shipping.phone.help,,,
shipping.company.label,şirket,Company,
shipping.company.help,,,
shipping.line1.label,Adres satırı 1,Address Line1,
shipping.line1.help,,,
shipping.line2.label,Adres Satırı 2,Address Line2,
shipping.line2.help,,,
shipping.line3.label,Adres Satırı3,Address Line3,
shipping.line3.help,,,
shipping.city.label,Kent,City,
shipping.city.help,,,
shipping.zip.label,Posta Kodu,Zip,
shipping.zip.help,,,
shipping.country.label,Ülke,Country,
shipping.country.help,,,
shipping.region.label,Durum,State,
shipping.region.help,,,
shipping.state_code.label,Durum,State,
shipping.state_code.help,,,
gift.first_name.label,İsim,First Name,
gift.first_name.help,,,
gift.last_name.label,Soyadı,Last Name,
gift.last_name.help,,,
gift.email.label,E-posta adresi,Email,
gift.email.help,,,
gift.note.label,,,
gift.note.help,,,
gift.signature.label,Kimden demeliyiz,Whom should we say it's from,
gift.signature.help,,,
gift.gift_schedule_type.label,,,
gift.gift_schedule_type.help,,,
gift.gift_schedule_at.label,Tarih (değiştir | kaynağı değiştir),Date,
gift.gift_schedule_at.help,,,
gift.gift_schedule_time.label,Zaman,Time,
gift.gift_schedule_time.help,,,
card.first_name.label,İsim,First Name,
card.first_name.help,,,
card.last_name.label,Soyadı,Last Name,
card.last_name.help,,,
card.number.label,Numara,Number,
card.number.help,,,
card.expiry.label,Son kullanma tarihi,Expiry,
card.expiry.help,,,
card.expiry_year.label,Son kullanma tarihi,Expiry,
card.expiry_year.help,,,
card.cvv.label,Cvv,Cvv,
card.cvv.help,,,
card.billing_addr1.label,Adres satırı 1,Address Line1,
card.billing_addr1.help,,,
card.billing_addr2.label,Adres Satırı 2,Address Line2,
card.billing_addr2.help,,,
card.billing_city.label,Kent,City,
card.billing_city.help,,,
card.billing_zip.label,Posta Kodu,Zip,
card.billing_zip.help,,,
card.billing_country.label,Ülke,Country,
card.billing_country.help,,,
card.billing_region.label,Durum,State,
card.billing_region.help,,,
card.billing_state_code.label,Durum,State,
card.billing_state_code.help,,,
