key,value,reference value,description
cbjs_grp.bank,,Bank,Bank
cbjs_grp.select_bank,,Select Bank,Select Bank
cbjs_grp.list_supported_bank,,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,,Add your account details,Add your account details
inapp_checkout.customer.header.edit,,Editing account details,Editing account details
inapp_checkout.customer.update,,Update,Update
inapp_checkout.customer.next,,Next,Next
inapp_checkout.billing_address.header,,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,,Update,Update
inapp_checkout.billing_address.next,,Next,Next
inapp_checkout.shipping_address.header,,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,,Update,Update
inapp_checkout.shipping_address.next,,Next,Next
inapp_checkout.choose_sa.header,,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,,Add New,Add New
inapp_checkout.payment_method.choose.add,,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,,Update,Update
inapp_checkout.payment_method.next,,Next,Next
inapp_checkout.subscription.header,,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,,Update,Update
inapp_checkout.invoice.update,,Update,Update
inapp_checkout.subscription.next,,Next,Next
inapp_checkout.invoice.next,,Next,Next
inapp_checkout.review.header,,Complete your order,Complete your order
inapp_checkout.pay_review.header,,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,,Subscribe,Subscribe
inapp_checkout.review.order.header,,Order summary,Order summary
inapp_checkout.review.account.header,,Account,Account
inapp_checkout.review.billing.header,,Billing,Billing
inapp_checkout.review.shipping.header,,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,,Payment,Payment
inapp_checkout.review.more,,Review Details,Review Details
