key,value,reference value,description
credit_note.label.credit_note,Кредитове авізо,Credit Note,The title credit note
credit_note.header.label.units,Одиниці,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.title.refunds,Повернення коштів,Refunds,Refunds
credit_note.label.sub_total,Додаткова сума,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.branding.test_label,"Це зразок кредитної ноти, створений Chargebee",This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.title.refunds_and_allocations,Повернення коштів та асигнування,Refunds & Allocations, Refunds and Allocations
credit_note.label.shipped_to,Відправлено до,Shipped To,Label - The customer's shipping address follows this label
credit_note.header.label.unit_price,Ціна за одиницю,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.fractional_correction,Дробова корекція,Fractional Correction,Fractional Correction
credit_note.label.reason_code,Кодекс причин,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text, %{amount} було повернено %{date},%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,включно,incl. ,short form for inclusive as in tax inclusive
credit_note.label.date,Дата,Date,Label date
credit_note.label.tax.vat,VAT,VAT,VAT
credit_note.label.tax.exclusive,ексклюзивний,excl. ,short form for exclusive as in tax exclusive
credit_note.header.label.price,Ціна,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,Разом,Total,Total - label the net amount of the invoice/credit note
credit_note.title.allocations,Виділення,Allocations,Allocations
credit_note.label.round_off,Округляти,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.label.refunds,Повернення коштів,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.ref_invoice,Ref рахунку,Ref Invoice,testing
credit_note.label.due,Доступна сума,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.tax.inclusive_of_vat,включно з ПДВ,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,Виставлено рахунок,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,Виділення,Allocations,Credit note label indicating the allocations
credit_note.label.amount,Сума,Amount,Label amount
credit_note.header.label.amount,Сума,Amount,Amount label
credit_note.applied_transaction.text,"Для рахунку-фактури ""%{invoice_number}"" на %{date} було виділено %{amount}.",%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,Ідентифікатор клієнта,Customer ID,Label customer id
credit_note.header.label.sub_total,Додаткова сума,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,Податковий,Tax,Tax
credit_note.header.label.discounts,Знижка,Discount,Label that lists the discounts issued
credit_note.label.tax.exclusive_of_vat,Без ПДВ,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,Опис,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,Передплата,Subscription,The label subscription - All the subscription details follow the label
