key,value,reference value,description
exceeded_allowed_coupon_code_limit,Для набору купонів дозволено лише {0} кодів купонів.,Only {0} coupon codes allowed per coupon set.,Only {0} coupon codes allowed per coupon set.
invalid_request_with_no_applicable_coupon,купон не знайдений або не застосовується купон,coupon not found or not a applicable coupon,coupon not found or not a applicable coupon
api_coupon_not_applied,купон {0} не застосовувався до цієї підписки,coupon {0} has not been applied on this subscription,coupon {0} has not been applied on this subscription
error_while_uploading_coupon_code,Помилка під час завантаження. Повторний код купона знайдено в рядку {0}.,Error during upload. Duplicate coupon code found at row {0}.,Error during upload. Duplicate coupon code found at row {0}.
already_redeemed,Купон {0} уже використаний для цієї підписки,The coupon {0} is already redeemed for this subscription,The coupon {0} is already redeemed for this subscription
rec_coupon_not_supported,"Купон {0} не можна застосувати, оскільки підтримуються лише одноразові купони",Coupon {0} cannot be applied as only one-time coupons are supported,Coupon {0} cannot be applied as only one-time coupons are supported
cannot_delete_archived_coupon_code,Не вдається видалити використаний код купона,Cannot delete used coupon code,Cannot delete used coupon code
un_supported_file_format,Непідтримуваний формат файлу. Дозволено використовувати лише файли CSV,Unsupported file format. Only CSV files are allowed,Unsupported file format. Only CSV files are allowed
cannot_delete_exhausted_coupon_set,Неможливо видалити вичерпаний набір купонів,Cannot delete exhausted Coupon Set,Cannot delete exhausted Coupon Set
max_redemptions_reached,Переданий купон {0} уже використано {1} разів. Більше не можна викуповувати,The passed coupon {0} has already been redeemed {1} times. No more redemptions are allowed,Maximum redemption count of the coupon is exceeded.
too_many_characters_in_coupon_code,У коді купона в рядку {1} ​​знайдено більше {0} символів,More than {0} characters is found at coupon code in row {1},More than {0} characters is found at coupon code in row {1}
invalid_coupon,Такого купона не знайдено,No such coupon found,No such coupon found
coupon_set_name_alreay_exists,назва купона вже існує для іншого купона.,coupon set name already exists for another coupon.,coupon set name already exists for another coupon.
applicable_item_limit_exceeded,"Один або кілька купонів містять більше ніж {0} застосовних елементів. Будь ласка, зв'яжіться з support@chargebee.com для отримання детальної інформації.",One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.,One or more coupon has more than {0} applicable items. Please contact support@chargebee.com for further details.
invalid_subscription_state,Недійсний стан підписки для застосування / зміни купона,Invalid subscription state to apply/change coupon,Invalid subscription state to apply/change coupon
exceeded_allowed_coupon_set_limit,На один купон дозволяється лише {0} набору купонів.,Only {0} coupon sets allowed per coupon.,Only {0} coupon sets allowed per coupon.
cannot_archive_redeemed_coupon_code,Не вдається заархівувати погашений код купона,Cannot archive a redeemed coupon code,Cannot archive a redeemed coupon code
two_coupons_of_same_type,"Цей купон не можна застосувати для цієї підписки. Будь ласка, зв'яжіться з продавцем для отримання детальної інформації.",This coupon cannot be applied for this subscription. Please contact the seller for more details.,This coupon cannot be applied for this subscription. Please contact the seller for more details.
no_such_coupon,Немає такого купона {0} для викупу,No such coupon {0} to redeem,Coupon is not found
coupon_not_applicable,"Купон {0} не можна застосувати, оскільки він не застосовується до жодного з предметів",Coupon {0} cannot be applied as it is not applicable to any of the items,Coupon is not applicable for any of the passed item
no_coupon_code_found,У файлі не знайдено кодів купонів.,No coupon codes found in the file.,No coupon codes found in the file.
coupon_expired,Застосований купон {0} вже закінчився {1},Applied coupon {0} has already expired on {1},Applied coupon {0} has already expired on {1}
invalid_request_with_no_coupon,Купони на цю підписку не застосовувалися,No coupons have been applied on this subscription,No coupons have been applied on this subscription
could_not_read_the_file,Не вдалося прочитати вміст у файлі CSV.,Could not able to read the content in CSV file.,Could not able to read the content in CSV file.
invalid_coupon_code,Недійсний код купона,Invalid coupon code,Invalid coupon code
coupon_code_not_applicable_for_this_coupon,Код купона не застосовується для цього купона,Coupon code is not applicable for this coupon,Coupon code is not applicable for this coupon
coupon_code_already_exists,Код купона вже існує. Не допускається копіювання,Coupon code already exists. Duplicate not allowed,Coupon code already exists. Duplicate not allowed
