key,value,reference value,description
sub_start_outside_plan_term,Дата початку підписки не може передувати розрахунковому періоду.,Subscription start date cannot be before the billing period.,Subscription start date cannot be before the billing period.
old_operation_failed,{0},{0},{0}
subscription.invalid_scheduled_date,не може бути після відміни_на дату ({0}).,cannot be after cancelled_at date ({0}).,cannot be after cancelled_at date ({0}).
line_discount_load_err,"Проблема зі знижками. Будь ласка, зв'яжіться зі службою підтримки для отримання детальної інформації.",Problem with discounts. Please contact support for further details.,Problem with discounts. Please contact support for further details.
trial_end_before_start_date,Закінчення пробного періоду не може бути раніше дати початку,Trial end cannot be before start date,Trial end cannot be before start date
scheduled_for_cancellation,"Підписку не можна оновити, оскільки її планується скасувати наприкінці поточного терміну",Subscription cannot be updated as it is scheduled for cancellation at end of current term,Subscription cannot be updated as it is scheduled for cancellation at end of current term
invalid_state_for_update,Підписку можна оновити лише у пробних версіях та активних станах,Subscription can be updated only in Trial & Active states,Subscription can be updated only in Trial & Active states
required_input_for_status,не може бути порожнім для підписки на {0},cannot be blank for {0} subscription,cannot be blank for {0} subscription
pause-subscription.cancel_end_of_term_not_supported,"Не вдається запланувати скасування, якщо передплата призупинена або запланована на паузу.",Cannot schedule cancellation if subscription is paused or scheduled to pause.,Cannot schedule cancellation if subscription is paused or scheduled to pause.
direct_debit_require_field_validation,{0} є обов’язковим для використання {1} Прямого дебету через {2},{0} is mandatory to use {1} Direct Debit via {2},{0} is mandatory to use {1} Direct Debit via {2}
addon_not_applicable,{0},{0},Plan billing period and addon billing period are incompatible
card_already_exists,{0},{0},{0}
no_charge_item_present,"По крайней мере, повинен бути присутнім один неповторюваний додаток або плата",Atleast one non recurring addon or charge item should be present,Atleast one non recurring addon or charge item should be present
tmp_token_not_supported,Підхід до тимчасового маркера картки не підтримується для цього шлюзу,Card temporary token approach not supported for this gateway,Card temporary token approach not supported for this gateway
non_compliant_eu_customer,"Помилка операції, оскільки країна ЄС, введена клієнтом на адресу виставлення рахунку, не може бути підтверджена за IP-адресою або номером коду картки.",Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.
resume-subscription.no_payment_method_for_resumption,"Неможливо відновити підписку, оскільки у вас немає активного способу оплати.",Cannot resume subscription as you do not have an active payment method.,Cannot resume subscription as you do not have an active payment method.
no_creditcard_for_create,"Не вдається створити передплату, оскільки у файлі немає дійсної картки",Cannot create the subscription as there is no valid card on file,Cannot create the subscription as there is no valid card on file
invalid_state_for_cancel,"Не вдається скасувати підписку, яка вже скасована або втратила чинність",Cannot cancel a subscription that is Cancelled or Expired already,Cannot cancel a subscription that is Cancelled or Expired already
invalid_state_for_collect,Ця операція підтримується лише для одного або декількох рахунків-фактур із статусом платеж_заплата / не_оплата,This operation is supported only for the invoices in payment_due/not_paid status,This operation is supported only for the invoices in payment_due/not_paid status
resume-subscription.invalid_resume_date,не може бути на або перед паузою_дати ({0}).,cannot be on or before pause_date ({0}).,cannot be on or before pause_date ({0}).
charge_failed,Помилка збору платежу. Причина: {0},Payment collection failed. Reason: {0},Payment collection failed. Reason: {0}
charge_item_not_supported_eot,"Елемент оплати не можна додавати до передплати, що змінюється в кінці терміну.",Charge item cannot be added to a subscription changing at end of term.,Charge item cannot be added to a subscription changing at end of term.
charge_item_not_supported,"Пункт нарахування не можна додати зараз, оскільки рахунок-фактура піднімається не відразу.",Charge item cannot be added now as invoice is not raised immediately.,Charge item cannot be added now as invoice is not raised immediately.
invalid_term_end_date,Дата не повинна бути раніше сьогоднішньої,The date should not be prior to today,The date should not be prior to today
no_scheduled_changes,Для цієї передплати не заплановано змін.,No changes are scheduled for this subscription.,No changes scheduled for the subscription on next renewal
date_outside_plan_term,{0} має бути протягом розрахункового періоду,{0} must be within the billing period,{0} must be within the billing period
self_site_change_sub_error,"Неможливо змінити підписку на вказаний план, оскільки загальний чистий дохід перевищує безкоштовну порогову суму",Cannot change the subscription to specified plan as total net revenue crosses the free threshold amount,Cannot change the subscription to specified plan as total net revenue crosses the free threshold amount
no_creditcard_for_charge,"Не вдалося здійснити зарядку, оскільки у файлі немає дійсної картки",Charge operation failed as there is no valid card on file,Charge operation failed as there is no valid card on file
self_site_change_sub_feature_error,"Неможливо змінити передплату, оскільки ця передплата має ввімкнені функції, які недоступні в новому плані",Cannot change subscription because this subscription has features enabled that are unavailable in the new plan,Cannot change subscription because this subscription has features enabled that are unavailable in the new plan
non_compliant_customer,"Не вдалося виконати операцію, оскільки країну, вказану клієнтом на адресу виставлення рахунку, неможливо перевірити за адресою IPадреси чи номером картки.",Operation failed as the country entered in billing address by customer cannot be verified against ip address or card bin number.,Operation failed as the country entered in billing address by customer cannot be verified against ip address or card bin number.
quantity_not_allowed,"Не вдається передати кількість передплати, оскільки план - {0} не дозволяє кількість.",Cannot pass subscription quantity as the plan - {0} does not allow quantity.,Cannot pass subscription quantity as the plan - {0} does not allow quantity.
param_must_be_future_date,має бути майбутньою датою.,must be a future date.,The parameter value must be a future date.
self_site_coupon_error,Для цієї підписки вже застосовано спеціальний купон.,A special coupon has already been applied for this subscription.,A special coupon has already been applied for this subscription.
not_scheduled_for_cancellation,"Помилка операції, оскільки передплата не скасовується.",Operation failed as subscription is not scheduled for cancellation.,Operation failed as subscription is not scheduled for cancellation.
hp_card_err,{0},{0},{0}
reactivate_not_supported,"Повторна активація операції не підтримується, оскільки перехід у пробний режим із стану, що не відновлюється, неможливий",Reactivate operation not supported as transition to trial from non-renewing state is not possible,Reactivate operation not supported as transition to trial from non-renewing state is not possible
invalid_state_for_reactivate,Для повторної активації підписку потрібно скасувати або не поновлювати,Subscription must be either Cancelled or Non Renewing to reactivate,Subscription must be either Cancelled or Non Renewing to reactivate
update_operation_failed,{0},{0},{0}
change_term_end_not_supported,Ця операція підтримується лише для підписок in_trial / active / non_renewing,This operation is supported only for in_trial/active/non_renewing subscriptions,This operation is supported only for in_trial/active/non_renewing subscriptions
three_d_secure_needed,"Операція не підтримується, оскільки для цієї картки потрібна безпечна 3D-перевірка",Operation not supported as 3D secure verification is needed for this card,Operation not supported as 3D secure verification is needed for this card
invalid_input_for_status,{0} не слід передавати для підписки на {1},{0} should not be passed for {1} subscription,{0} should not be passed for {1} subscription
update_card_error,Проблема під час оновлення способу оплати. Повідомлення про помилку: {0},Problem while updating the payment method. Error message : {0},Problem while updating the payment method. Error message : {0}
invalid_payment_method,Недійсний спосіб оплати,Invalid payment method,Invalid payment method
subscription.param_should_not_be_sent,"Цей параметр не слід надсилати, оскільки для цього клієнта ввімкнено функцію автоматичного збору.",This param should not be sent since Auto Collection is ON for this customer.,The parameter should not be sent.
