key,value,reference value,description
invoice.transaction.credit_applied,Кредит у розмірі %{amount} був застосований %{date}.,A credit of %{amount} was applied on %{date}.,A credit of amount was applied on date
constants.taxes.avalara_partial_tax_desc,"* Ця сума обчислюється на основі податкової суми, яка може відрізнятися залежно від податкового законодавства вашої країни.",*This amount is calculated based on the taxable amount which may vary based on the taxation laws in your country.,avalara partial tax descirption text
invoice.transaction.voided_on,Анульовано %{date}.,Voided on %{date}.,Voided on date
transaction.payment_method.by_card_null, від картки., by Card.,payment with card
transaction.payment_method.via_pm, через %{payment_method}., via %{payment_method}.,via payment method type
invoice.footer.title.adjustments,Коригування,Adjustments,Adjustments footer title
invoice.transaction.written_off, %{amount} було списано %{date}.,%{amount} was written-off on %{date}.,Amount was writted off on date
transaction.payment_method.by_card," на %{card_type} картка, що закінчується %{last4_digits}.", by %{card_type} card ending %{last4_digits}.,payment with card
invoice.transaction.refunded_initiated,Відшкодування %{amount} розпочато %{date},%{amount} refund was initiated on %{date},Amount refund was initiated on date
constants.invoice_customization.reverse_charge_msg,"ПДВ не застосовується до цього рахунку-фактури, оскільки був наданий дійсний реєстраційний номер ПДВ та застосовано механізм зворотного нарахування.",VAT is not applicable on this invoice because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.refunded_completed, %{amount} було повернено %{date},%{amount} was refunded on %{date},Amount refunded on date
invoice.footer.title.payments,Платежі,Payments,Payment footer title
constants.invoice_customization.cn_reverse_charge_msg,"ПДВ не застосовується за цим кредитним записом, оскільки був наданий дійсний реєстраційний номер ПДВ та застосовано механізм зворотного нарахування.",VAT is not applicable on this credit note because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge mesage for credit note
transaction.payment_method.offline_payment,Офлайн-оплата,Offline Payment,Payment through other channels
transaction.payment_method.to_card_null, до картки., to Card.,payment with card
constants.invoice_customization.vat_exemption_note_export_uk,"Зверніть увагу, що, оскільки Великобританія більше не є частиною ЄС, наші послуги не входять до ПДВ Великобританії.","Please note that as the UK is no longer part of the EU, our services are outside the scope of UK VAT.",VAT Export Note for UK
transaction.payment_method.to_card," до картки %{card_type}, що закінчується %{last4_digits}.", to %{card_type} card ending %{last4_digits}.,payment with card
invoice.footer.title.credits,Кредити,Credits,Credits footer title
invoice.transaction.adjustment,Коригування %{amount} було зроблено %{date}.,An adjustment of %{amount} was made on %{date}.,Adjustment of amount was made on date
constants.invoice_customization.quote_reverse_charge_msg,"ПДВ не застосовується до цього %{quote_title}, оскільки був наданий дійсний реєстраційний номер ПДВ та застосовано механізм зворотного нарахування.",VAT is not applicable on this %{quote_title} because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.chargeback_text,Повернення платежу в розмірі %{amount} було зафіксовано як відшкодування %{date},A chargeback of %{amount} has been recorded as refund on %{date},A chargeback recorded on a date
constants.invoice_customization.vat_exemption_note_export,Ця експортна операція звільняється від оподаткування ПДВ відповідно до статті 146 Директиви ЄС з ПДВ.,This export transaction is exempt from VAT as per Article 146 of the EU VAT Directive., VAT Exemption for Export
transaction.payment_method.direct_debit,ACH,ACH,Direct Debit heading
transaction.payment_method.via_card_wallet_pm," через %{payment_method} ( %{card_type} картка, що закінчується %{last4_digits}).", via  %{payment_method} ( %{card_type} card ending %{last4_digits} ).,via payment method type
transaction.payment_method.by_pm, на %{payment_method}., by %{payment_method}.,by payment method type
