key,value,reference value,description
quote.label.quote_amount,Сума пропозиції,Quote Amount,Quote amount label
quote.label.recurring_charges,Періодичні нарахування,Recurring charges,Recurring charges
quote.label.tax.inclusive,Включно,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Ціна за одиницю,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Передплата,Subscription,Subscription sub heading
quote.label.billing_cycle,Цикл платежів,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Кількість платіжних циклів,No of billing cycles,No of billing cycles
quote.term.month,місяць,month,month
quote.header.label.sub_total,Додаткова сума,Sub Total,Sub total
quote.term.months,місяців,months,months
quote.label.quote_date,Дата цитування,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Платно при пробному запуску,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,Деталі ПДВ,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,рік,year,year
quote.title.subscription_detail,Деталі передплати,Subscription Details,Subscription Detail section heading
quote.label.include,Включає в себе,Includes ,includes
quote.customer_email.request_card,Оновіть деталі способу оплати,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Включає знижки та податки,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Відправлено до,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Ціна,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Збір за прийняття,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Плата за активацію плану,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Платіж розпочато,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,Рахунок-фактура,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,Дата виставлення рахунка-проформи,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Коригування,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,12-й розрахунковий цикл,12th billing cycle,12th billing cycle
quote.billing_cycle.11,11-й розрахунковий цикл,11th billing cycle,11th billing cycle
quote.billing_cycle.10,10-й розрахунковий цикл,10th billing cycle,10th billing cycle
quote.term.weeks,тижнів,weeks,weeks
quote.billing_cycle.23,23-й розрахунковий цикл,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,22-й платіжний цикл,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,21-й розрахунковий цикл,21st billing cycle,21st billing cycle
quote.billing_cycle.20,20-й розрахунковий цикл,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Частота виставлення рахунків,Billing Frequency,Billing Frequency
quote.billing_cycle.16,16-й розрахунковий цикл,16th billing cycle,16th billing cycle
quote.billing_cycle.15,15-й розрахунковий цикл,15th billing cycle,15th billing cycle
quote.billing_cycle.14,14-й розрахунковий цикл,14th billing cycle,14th billing cycle
quote.billing_cycle.13,13-й розрахунковий цикл,13th billing cycle,13th billing cycle
quote.billing_cycle.19,19-й розрахунковий цикл,19th billing cycle,19th billing cycle
quote.billing_cycle.18,18-й розрахунковий цикл,18th billing cycle,18th billing cycle
quote.billing_cycle.17,17-й розрахунковий цикл,17th billing cycle,17th billing cycle
quote.billing_cycle.30,30-й розрахунковий цикл,30th billing cycle,30th billing cycle
quote.billing_cycle.34,34-й розрахунковий цикл,34th billing cycle,34th billing cycle
quote.billing_cycle.33,33-й розрахунковий цикл,33rd billing cycle,33rd billing cycle
quote.billing_cycle.32,32-й платіжний цикл,32nd billing cycle,32nd billing cycle
quote.billing_cycle.31,31-й розрахунковий цикл,31st billing cycle,31st billing cycle
quote.billing_cycle.27,27-й розрахунковий цикл,27th billing cycle,27th billing cycle
quote.billing_cycle.26,26-й розрахунковий цикл,26th billing cycle,26th billing cycle
quote.billing_cycle.25,25-й розрахунковий цикл,25th billing cycle,25th billing cycle
quote.billing_cycle.24,24-й розрахунковий цикл,24th billing cycle,24th billing cycle
quote.billing_cycle.29,29-й розрахунковий цикл,29th billing cycle,29th billing cycle
quote.billing_cycle.28,28-й розрахунковий цикл,28th billing cycle,28th billing cycle
quote.billing_cycle.41,41-й платіжний цикл,41st billing cycle,41st billing cycle
quote.billing_cycle.40,40-й розрахунковий цикл,40th billing cycle,40th billing cycle
quote.billing_cycle.45,45-й розрахунковий цикл,45th billing cycle,45th billing cycle
quote.billing_cycle.44,44-й розрахунковий цикл,44th billing cycle,44th billing cycle
quote.billing_cycle.43,43-й розрахунковий цикл,43rd billing cycle,43rd billing cycle
quote.billing_cycle.42,42-й платіжний цикл,42nd billing cycle,42nd billing cycle
quote.billing_cycle.38,38-й розрахунковий цикл,38th billing cycle,38th billing cycle
quote.billing_cycle.37,37-й розрахунковий цикл,37th billing cycle,37th billing cycle
quote.billing_cycle.36,36-й розрахунковий цикл,36th billing cycle,36th billing cycle
quote.billing_cycle.35,35-й платіжний цикл,35th billing cycle,35th billing cycle
quote.billing_cycle.39,39-й платіжний цикл,39th billing cycle,39th billing cycle
quote.billing_cycle.52,52-й розрахунковий цикл,52nd billing cycle,52nd billing cycle
quote.billing_cycle.51,51-й розрахунковий цикл,51st billing cycle,51st billing cycle
quote.billing_cycle.50,50-й розрахунковий цикл,50th billing cycle,50th billing cycle
quote.billing_cycle.56,56-й розрахунковий цикл,56th billing cycle,56th billing cycle
quote.billing_cycle.55,55-й розрахунковий цикл,55th billing cycle,55th billing cycle
quote.billing_cycle.54,54-й розрахунковий цикл,54th billing cycle,54th billing cycle
quote.billing_cycle.53,53-й розрахунковий цикл,53rd billing cycle,53rd billing cycle
quote.billing_cycle.49,49-й розрахунковий цикл,49th billing cycle,49th billing cycle
quote.billing_cycle.48,48-й розрахунковий цикл,48th billing cycle,48th billing cycle
quote.billing_cycle.47,47-й розрахунковий цикл,47th billing cycle,47th billing cycle
