key,value,reference value,description
cbjs_grp.bank,Банку,Bank,Bank
cbjs_grp.select_bank,Виберіть Банк,Select Bank,Select Bank
cbjs_grp.list_supported_bank,Вибір списку підтримуваних банків,Fetching list of supported banks,Fetching list of supported banks
inapp_checkout.customer.header,Додайте дані свого облікового запису,Add your account details,Add your account details
inapp_checkout.customer.header.edit,Редагування деталей облікового запису,Editing account details,Editing account details
inapp_checkout.customer.update,Оновлення,Update,Update
inapp_checkout.customer.next,Далі,Next,Next
inapp_checkout.billing_address.header,Додайте свою платіжну адресу,Add your billing address,Add your billing address
inapp_checkout.billing_address.header.edit,Редагування адреси виставлення рахунку,Editing billing address,Editing billing address
inapp_checkout.billing_address.update,Оновлення,Update,Update
inapp_checkout.billing_address.next,Далі,Next,Next
inapp_checkout.shipping_address.header,Додайте свою адресу доставки,Add your shipping address,Add your shipping address
inapp_checkout.shipping_address.header.edit,Редагування адреси доставки,Editing shipping address,Editing shipping address
inapp_checkout.shipping_address.update,Оновлення,Update,Update
inapp_checkout.shipping_address.next,Далі,Next,Next
inapp_checkout.choose_sa.header,Виберіть адресу доставки,Choose Shipping address,Choose Shipping address
inapp_checkout.billing_address.copy_to_shipping,Відправити на мою платіжну адресу,Ship to my billing address,Ship to my billing address
inapp_checkout.shipping_address.choose.add,Додати новий,Add New,Add New
inapp_checkout.payment_method.choose.add,Додати спосіб оплати,Add Payment Method,Add Payment Method
inapp_checkout.payment_method.header,Додайте свої платіжні реквізити,Add your payment details,Add your payment details
inapp_checkout.payment_method.header.edit,Редагування платіжних реквізитів,Editing payment details,Editing payment details
inapp_checkout.payment_method.header.select,Виберіть спосіб оплати,Select a payment method,Select a payment method
inapp_checkout.payment_method.footer.choose,Виберіть інший спосіб оплати,Choose a different payment method,Choose a different payment method
inapp_checkout.payment_method.update,Оновлення,Update,Update
inapp_checkout.payment_method.next,Далі,Next,Next
inapp_checkout.subscription.header,Додайте деталі передплати,Add your subscription details,Add your subscription details
inapp_checkout.invoice.header,Додайте деталі покупки,Add your purchase details,Add your purchase details
inapp_checkout.subscription.header.edit,Редагування деталей передплати,Editing Subscription Details,Editing Subscription Details
inapp_checkout.invoice.header.edit,Редагування деталей закупівлі,Editing Purchase Details,Editing Purchase Details
inapp_checkout.subscription.update,Оновлення,Update,Update
inapp_checkout.invoice.update,Оновлення,Update,Update
inapp_checkout.subscription.next,Далі,Next,Next
inapp_checkout.invoice.next,Далі,Next,Next
inapp_checkout.review.header,Заповніть замовлення,Complete your order,Complete your order
inapp_checkout.pay_review.header,Заповніть замовлення,Complete your order,Complete your order
inapp_checkout.review.subscribe_btn.current_charge_present.txt,Сплатіть %{amount} і підпишіться,Pay %{amount} & subscribe,Pay %{amount} & subscribe
inapp_checkout.review.subscribe_btn.current_charge_zero.txt,Підпишіться,Subscribe,Subscribe
inapp_checkout.review.order.header,Підсумок Замовлення,Order summary,Order summary
inapp_checkout.review.account.header,Рахунок,Account,Account
inapp_checkout.review.billing.header,Виставлення рахунків,Billing,Billing
inapp_checkout.review.shipping.header,Доставка,Shipping,Shipping
inapp_checkout.review.billing_shipping.header,Виставлення рахунків та доставка,Billing & Shipping,Billing & Shipping
inapp_checkout.review.subscription.header,Деталі передплати,Subscription Details,Subscription Details
inapp_checkout.review.invoice.header,Деталі покупки,Purchase Details,Purchase Details
inapp_checkout.review.pm.header,Оплата,Payment,Payment
inapp_checkout.review.more,Деталі огляду,Review Details,Review Details
inapp_checkout.shipping_address.header.choose,Виберіть адресу доставки,Choose Shipping Address,Choose Shipping Address
inapp_checkout.choose_pm.header,Виберіть спосіб оплати,Choose Payment Method,Choose Payment Method
inapp_checkout.coupon.apply,Подати заявку,Apply,Apply
inapp_checkout.coupon.label,Застосувати купон,Apply coupon,Apply coupon
inapp_checkout.coupon.placeholder,Введіть код купона,Enter coupon code,Enter coupon code
inapp_checkout.cart.header.edit,Редагувати замовлення,Edit order,Edit order
inapp_checkout.cart.header,Ваше замовлення,Your order,Your order
inapp_checkout.cart.next,Перейдіть до оплати,Proceed To Checkout,Proceed To Checkout
inapp_checkout.cart.remove,Видалити,Remove,Remove
inapp_checkout.cart.recommended_addon_title,Рекомендовані додатки,Recommended addons,Recommended addons
inapp_checkout.payment_method.card.display_name,Картка,Card,Card
inapp_checkout.payment_method.paypal.display_name,PayPal,PayPal,PayPal
inapp_checkout.thankyou.header,,,
inapp_checkout.thankyou.body,,,
inapp_checkout.thankyou.close,ЗАКРИТИ,CLOSE,CLOSE
inapp_checkout.otp.enter,Введіть свій шестизначний одноразовий пароль,Enter your six-digit one time password,Enter your six-digit one time password
inapp_checkout.password.enter,Введіть ваш пароль,Enter your password,Enter your password
inapp_checkout.otp.resend,Повторно надішліть одноразовий пароль,Resend the one time password,Resend the one time password
inapp_checkout.login.via_otp,Вхід через одноразовий пароль,Login via one time password,Login via one time password
inapp_checkout.otp.enter_password,Натомість введіть пароль,Enter password instead,Enter password instead
inapp_checkout.otp_resend.notify,Новий одноразовий пароль надішліть на вашу електронну адресу,New one time password send to your email address,New one time password send to your email address
inapp_checkout.checkuser.error.multiple_subscriptions_not_allowed,У вас вже є передплата у нас,You already have a subscription with us,You already have a subscription with us
inapp_checkout.otp.guest,Продовжуйте як гість,Proceed as guest,Proceed as guest
inapp_checkout.checkuser.email,"Введіть електронну адресу, щоб продовжити",Enter email to proceed,Enter email to proceed
inapp_checkout.checkuser.next,Далі,Next,Next
inapp_checkout.modal_button.confirm,Підтвердити,Confirm,Confirm
inapp_checkout.modal_button.cancel,Скасувати,Cancel,Cancel
inapp_checkout.po_number.label,Номер замовлення,PO Number,PO Number
inapp_checkout.items_in_total.custom_label,,,
inapp_checkout.discounts_applied.label,,,
inapp_checkout.payment_method.bacs.guarantee.header,Повернутися до оплати,Back to Payment,Back to Payment
inapp_checkout.payment_method.bank_account.btn.proceed_to_review,Перейдіть до огляду,Proceed to Review,Proceed to Review
inapp_checkout.payment_method.bank_account.btn.enter_iban,Введіть IBAN,Enter IBAN,Enter IBAN
inapp_checkout.payment_method.bank_account.btn.enter_local_details,Введіть реквізити місцевого банку,Enter local bank details,Enter local bank details
inapp_checkout.payment_method.bank_account.btn.enter_your_name,Введіть ім'я,Enter your name,Enter your name
inapp_checkout.payment_method.bank_account.btn.enter_company_name,Введіть назву компанії,Enter company name,Enter company name
inapp_checkout.card.billing_address,Використовуйте мою платіжну адресу як адресу картки,Use my billing address as card address,Use my billing address as card address
inapp_checkout.card.shipping_address,Використовуйте мою адресу доставки як адресу картки,Use my shipping address as card address,Use my shipping address as card address
inapp_checkout.item.breakdown.show,Див. Подробиці,See Details,See Details
inapp_checkout.item.breakdown.hide,Сховати деталі,Hide Details,Hide Details
inapp_checkout.cart.trial.info,З вас буде стягнено плату після пробного періоду %{plan_trial_period}.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.cart.note.plan.trial,З вас буде стягнено плату після пробного періоду %{plan_trial_period}.,You will be charged after the %{plan_trial_period} trial.,You will be charged after the %{plan_trial_period} trial.
inapp_checkout.review.note.plan.trial,,,
inapp_checkout.payment_method.note.plan.trial,,,
inapp_checkout.cart.note.plan.no_trial,,,
inapp_checkout.review.note.plan.no_trial,,,
inapp_checkout.payment_method.note.plan.no_trial,,,
inapp_checkout.customer.note,,,
inapp_checkout.subscription.note,,,
inapp_checkout.shipping_address.note,,,
inapp_checkout.billing_address.note,,,
inapp_checkout.cart.pay_now.label,Платити зараз,Pay now,Pay now
inapp_checkout.cart.next_charge.label,Наступне стягнення %{date},Next charge on %{date},Next charge on %{date}
inapp_checkout.order_summary.charge_now.label,Зараз платно,Chargeable now,Chargeable now
inapp_checkout.order_summary.next_charge.label,Плата за %{date},Charges on %{date},Charges on %{date}
inapp_checkout.order.edit.link,Редагувати замовлення,Edit order,Edit order
inapp_checkout.estimate_display_screen.header,Підсумок вашого замовлення,Your order summary,Your order summary
inapp_checkout.credits_applied.label,Подані кредити,Credits applied,Credits applied
inapp_checkout.non_rec_addon.tag,ОДНОГО РАЗУ,ONE-TIME,ONE-TIME
inapp_checkout.coupon.description,Застосовано купон %{amount},%{amount} coupon applied,%{amount} coupon applied
inapp_checkout.free_quantity.description, %{units} одиниць безкоштовно,%{units} units free,%{units} units free
inapp_checkout.referral.title,Зверніться до своїх друзів,Refer your friends,Refer your friends
inapp_checkout.referral.cb_reward,"Зверніться до своїх друзів, і ми дамо вам %{referral_credits}, коли вони придбають свою першу підписку.",Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.,Refer your friends and we will give you %{referral_credits} when they purchase their first subscription.
inapp_checkout.referral.custom_reward,"Зверніться до своїх друзів, і ми винагородимо вас, коли вони придбають свою першу підписку.",Refer your friends and we will reward you when they purchase their first subscription.,Refer your friends and we will reward you when they purchase their first subscription.
inapp_checkout.referral.friend_discount,Ваш друг отримає знижку %{referral_friend_discount}.,Your friend will get %{referral_friend_discount} discount.,Your friend will get %{referral_friend_discount} discount.
inapp_checkout.referral.link_label,Ваше посилання на реферал,Your referral link,Your referral link
inapp_checkout.review.threedsWarning.non_trial,Вас можуть перенаправити на сторінку вашого банку для безпечної 3D-перевірки.,You may be redirected to your bank page for 3D secure verification.,You may be redirected to your bank page for 3D secure verification.
inapp_checkout.review.threedsWarning.trial,"Вас можуть перенаправити на сторінку вашого банку для безпечної 3D-перевірки, за яку може бути стягнуто символічну суму, яка буде повністю повернена автоматично.","You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically.","You may be redirected to your bank page for 3D secure verification for which a token amount may be charged,which will be fully refunded automatically."
inapp_checkout.3ds.auth.txt,"Я уповноважую %{organisation_name} зберігати цей спосіб оплати та автоматично стягувати плату з цього способу оплати щоразу, коли з ним пов’язана підписка.",I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method whenever a subscription is associated with it.
inapp_checkout.otp_email.subject,Ваш одноразовий пароль (OTP),Your One Time Password (OTP),Your One Time Password (OTP)
inapp_checkout.otp_email.salutation,"Привіт,","Hi there,","Hi there,"
inapp_checkout.otp_email.otp_line, %{otp} - це ваш одноразовий пароль,%{otp} is your one time password,%{otp} is your one time password
inapp_checkout.otp_email.desc,Одноразовий пароль дійсний протягом 5 хвилин з моменту його створення.,The one time password is valid for 5 minutes from the time it is generated.,The one time password is valid for 5 minutes from the time it is generated.
inapp_checkout.otp_sms.body, %{otp} - це ваш одноразовий пароль. Одноразовий пароль діє протягом 5 хвилин з моменту його створення.,%{otp} is your one time password. The one time password is valid for 5 minutes from the time it is generated.,%{otp} is your one time password. The one time password is valid for 5 minutes from the time it is generated.
inapp_checkout.multi_decimal.quantity.error,Введіть дійсну кількість,Enter valid quantity,Enter valid quantity
inapp_checkout.qty,Кількість,Qty,Qty
inapp_checkout.review.opm.cash.desc,Ви можете здійснити оплату готівкою,You can make the payment by cash,You can make the payment by cash
inapp_checkout.review.opm.check.desc,Інформацію про переказ платежу можна знайти у складі рахунку-фактури,You can find the payment transfer details as part of the invoice,You can find the payment transfer details as part of the invoice
inapp_checkout.review.opm.bank_transfer.desc,"Ви можете здійснити платіж на реквізити банківського рахунку, вказані у рахунку-фактурі",You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.review.opm.ach_credit.desc,"Ви можете здійснити платіж на реквізити банківського рахунку, вказані у рахунку-фактурі",You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.review.opm.sepa_credit.desc,"Ви можете здійснити платіж на реквізити банківського рахунку, вказані у рахунку-фактурі",You can make the payment to the bank account details present in the invoice,You can make the payment to the bank account details present in the invoice
inapp_checkout.pm.consent.txt,"Я дозволяю %{organisation_name} зберігати цей спосіб оплати та автоматично стягувати плату з цього способу оплати за будь-які майбутні операції, пов’язані з ним.",I authorize %{organisation_name} to save this payment method and automatically charge this payment method for any future transactions associated with it.,I authorize %{organisation_name} to save this payment method and automatically charge this payment method for any future transactions associated with it.
inapp_checkout.pm.never.save.txt,Ваша платіжна інформація не буде збережена в нашій системі.,Your payment information will not be saved in our system.,Your payment information will not be saved in our system.
inapp_portal.recommended.addon.tag,РЕКОМЕНДОВАНО,RECOMMENDED,RECOMMENDED
inapp_portal.home.header,Керуйте підписками,Manage Subscriptions,Manage Subscriptions
inapp_portal.locale.label,Місцевість,Locale,Locale
inapp_portal.home.footer,Питання? Наша команда підтримки буде рада допомогти,Questions? Our Support Team would be glad to help,Questions? Our Support Team would be glad to help
inapp_portal.home.account.link_text,Інформація про обліковий запис,Account Information,Account Information
inapp_portal.home.address.link_text,Адреси для виставлення рахунків та доставки,Billing & Shipping Addresses,Billing & Shipping Addresses
inapp_portal.home.payment_methods.link_text,методи оплати,Payment Methods,Payment Methods
inapp_portal.home.billing_history.link_text,Історія виставлення рахунків,Billing History,Billing History
inapp_portal.back,Назад,Back,Back
inapp_portal.subscription.header,Деталі передплати,Subscription Details,Subscription Details
inapp_portal.subscription.header.edit,Редагувати деталі передплати,Edit Subscription Details,Edit Subscription Details
inapp_portal.subscription.header.review,Перегляньте зміни передплати,Review subscription changes,Review subscription changes
inapp_portal.account.header,Інформація про рахунок,Account Details,Account Details
inapp_portal.account.edit.txt,Редагування деталей облікового запису,Editing account details,Editing account details
inapp_portal.account.header.edit,Оновіть дані свого облікового запису,Update your account details,Update your account details
inapp_portal.account.header.edit.submit,Оновлення,Update,Update
inapp_portal.address.header,Адреси для виставлення рахунків та доставки,Billing & Shipping Addresses,Billing & Shipping Addresses
inapp_portal.address.billing.txt,Виставлення рахунків,Billing,Billing
inapp_portal.address.billing.edit.txt,Редагування платіжних даних,Editing billing details,Editing billing details
inapp_portal.address.billing.add.txt,Додайте свої платіжні реквізити,Add your billing details,Add your billing details
inapp_portal.address.shipping.txt,Доставка,Shipping,Shipping
inapp_portal.address.shipping.edit.txt,Редагування деталей доставки,Editing shipping details,Editing shipping details
inapp_portal.address.billing.header.edit,Оновіть свої платіжні дані,Update your billing details,Update your billing details
inapp_portal.address.billing.header.edit.submit,Оновлення,Update,Update
inapp_portal.address.shipping.header.edit,Оновіть дані про доставку,Update your shipping details,Update your shipping details
inapp_portal.address.shipping.header.edit.submit,Оновлення,Update,Update
inapp_portal.payment_method.header,методи оплати,Payment Methods,Payment Methods
inapp_portal.payment_method.link.add,Додати новий,Add New,Add New
inapp_portal.payment_method.link.add_new,Додайте спосіб оплати,Add a payment method,Add a payment method
inapp_portal.payment_method.header.add,Додайте спосіб оплати,Add a payment method,Add a payment method
inapp_portal.payment_method.header.select,Виберіть спосіб оплати,Select a payment method,Select a payment method
inapp_portal.payment_method.footer.choose,Виберіть інший спосіб оплати,Choose a different payment method,Choose a different payment method
inapp_portal.payment_method.header.add.submit,Додати,Add,Add
inapp_portal.payment_method.header.edit,Оновіть спосіб оплати,Update your payment method,Update your payment method
inapp_portal.payment_method.header.edit.submit,Оновлення,Update,Update
inapp_portal.payment_method.header.verify,Перевірте спосіб оплати,Verify payment method,Verify payment method
inapp_portal.payment_method.header.verify.submit,Перевірити,Verify,Verify
inapp_portal.billing_history.header,Історія виставлення рахунків,Billing history,Billing history
inapp_portal.billing_history.download,Завантажити,Download,Download
inapp_portal.billing_history.none,Жодного або декількох рахунків-фактур для відображення,No invoices to display,No invoices to display
inapp_portal.subscription.header.edit.submit,Огляд,Review,Review
inapp_portal.subscription.header.review.submit,Оновити передплату,Update Subscription,Update Subscription
inapp_portal.subscription.header.choose_pm,Виберіть спосіб оплати для цієї підписки,Choose your payment method for this subscription,Choose your payment method for this subscription
inapp_portal.subscription.update_sub_pm,Оновлення,Update,Update
inapp_portal.subscription.cancel.link.txt,Скасувати підписку,Cancel Subscription,Cancel Subscription
inapp_portal.subscription.next.renewing_estimate.now,З вас буде стягнено %{amount} за пропорційні витрати через,You will be charged %{amount} for prorated charges via,You will be charged %{amount} for prorated charges via
inapp_portal.subscription.next.renewing_estimate.eot.non_recurring,З вас буде стягнено %{amount},You will be charged %{amount} via,You will be charged %{amount} via
inapp_portal.subscription.next.renewing_estimate.eot,З вас буде стягнено плату в розмірі %{amount} кожного %{billing_period},You will be charged %{amount} every %{billing_period} via,You will be charged %{amount} every %{billing_period} via
inapp_portal.subscription.next.renewing_estimate.eot.with_date,Наступне стягнення %{amount} буде здійснено %{date} через,Your next charge %{amount} will be on %{date} via,Your next charge %{amount} will be on %{date} via
inapp_portal.subscription.next.credits_created.now,"За цю зміну з вас не стягуватиметься плата, і %{amount} буде додано як повернені кредити",You will not be charged for this change and %{amount} will be added as refundable credits,You will not be charged for this change and %{amount} will be added as refundable credits
