key,value,reference value,description
credit_note.label.credit_note,Ghi chú tín dụng,Credit Note,The title credit note
credit_note.header.label.units,Các đơn vị,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.title.refunds,Tiền hoàn lại,Refunds,Refunds
credit_note.label.sub_total,Tổng phụ,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.branding.test_label,Đây là thông báo tín dụng mẫu do Chargebee tạo,This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.title.refunds_and_allocations,Tiền hoàn lại & phân bổ,Refunds & Allocations, Refunds and Allocations
credit_note.label.shipped_to,Được vận chuyển đến,Shipped To,Label - The customer's shipping address follows this label
credit_note.header.label.unit_price,Đơn giá,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.fractional_correction,Hiệu chỉnh phân số,Fractional Correction,Fractional Correction
credit_note.label.reason_code,Nguyên mã,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text, %{amount} đã được hoàn lại vào %{date},%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,bao gồm,incl. ,short form for inclusive as in tax inclusive
credit_note.label.date,Ngày,Date,Label date
credit_note.label.tax.vat,VAT,VAT,VAT
credit_note.label.tax.exclusive,độc quyền,excl. ,short form for exclusive as in tax exclusive
credit_note.header.label.price,Giá bán,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,Toàn bộ,Total,Total - label the net amount of the invoice/credit note
credit_note.title.allocations,Phân bổ,Allocations,Allocations
credit_note.label.round_off,Làm tròn số,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.label.refunds,Tiền hoàn lại,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.ref_invoice,Hóa đơn giới thiệu,Ref Invoice,testing
credit_note.label.due,Số lượng có sẵn,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.tax.inclusive_of_vat,đã bao gồm VAT,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,Hóa đơn cho,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,Phân bổ,Allocations,Credit note label indicating the allocations
credit_note.label.amount,Số tiền,Amount,Label amount
credit_note.header.label.amount,Số tiền,Amount,Amount label
credit_note.applied_transaction.text, %{amount} đã được phân bổ cho hóa đơn ' %{invoice_number}' lúc %{date}.,%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,ID khách hàng,Customer ID,Label customer id
credit_note.header.label.sub_total,Tổng phụ,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,Thuế,Tax,Tax
credit_note.header.label.discounts,Giảm giá,Discount,Label that lists the discounts issued
credit_note.label.tax.exclusive_of_vat,VAT độc quyền,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,Sự miêu tả,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,Đăng ký,Subscription,The label subscription - All the subscription details follow the label
