key,value,reference value,description
hp_v3.pm.agreement.stripe_sepa,"Bằng cách cung cấp IBAN của bạn và xác nhận khoản thanh toán này, bạn đang ủy quyền cho %{merchant_name}, chủ nợ và Stripe, nhà cung cấp dịch vụ thanh toán của chúng tôi, gửi hướng dẫn đến ngân hàng của bạn để ghi nợ tài khoản của bạn và ngân hàng ghi nợ tài khoản của bạn theo các hướng dẫn đó. Bạn được hoàn lại tiền từ ngân hàng của mình theo các điều khoản và điều kiện trong thỏa thuận của bạn với ngân hàng của bạn. Khoản tiền hoàn lại phải được yêu cầu trong vòng 8 tuần kể từ ngày tài khoản của bạn bị ghi nợ.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By providing your IBAN and confirming this payment, you are authorizing %{merchant_name}, the creditor and Stripe, our payment service provider, to send instructions to your bank to debit your account and your bank to debit your account in accordance with those instructions. You are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.inapp_checkout.registered_gst_txt,Tôi đã đăng ký GST,I have registered for GST,I have registered for GST
hp_v3.direct_debit.gocardless_becs_nz_title,Hướng dẫn ghi nợ trực tiếp,Direct Debit Instruction,Direct Debit Instruction
hp_v3.bank_based_payments.owner_name,Tên,Name,Owner name for SEPA conversion in bank based payments
hp_v3.pm.agreement.gocardless_becs_nz_2_b,các điều khoản và điều kiện.,terms and conditions.,terms and conditions.
hp_v3.pm.agreement.gocardless_becs_nz_2_a,Tôi đồng ý rằng thẩm quyền này tuân theo các điều khoản và điều kiện của ngân hàng liên quan đến tài khoản của tôi và người khởi xướng cụ thể,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator,I agree that this authority is subject to my bank’s terms and conditions that relate to my account and to the specific initiator
hp_v3.pm.bancontact_desc,định kỳ qua ghi nợ trực tiếp SEPA,recurring via SEPA Direct Debit,Bancontact desc
hp_v3.payment_method.common_error,Đã xảy ra lỗi khi xử lý yêu cầu của bạn. Chọn một phương thức thanh toán khác hoặc thử lại.,An error occured while processing your request. Choose a different payment method or try again.,An error occured while processing your request. Choose a different payment method or try again.
hp_v3.portal.edit_subscription.pm_absent.warning,Bạn cần thêm phương thức thanh toán để cập nhật đăng ký của mình.,You need to add a payment method to update your subscription.,Warning if payment method is not present
hp_v3.portal.vat_error,TRỐNG,EMPTY,field empty
hp_v3.portal.ach.setup,Thiết lập ACH,Set up ACH,Set up ACH
hp_v3.direct_debit.account_type.savings,Tiết kiệm,Saving,Saving
hp_v3.pm.ideal_disclaimer,<li> Bạn sẽ được chuyển đến trang ngân hàng để xác thực khoản thanh toán qua iDeal. </li> <li> Các khoản thanh toán định kỳ của bạn sẽ được thực hiện qua Ghi nợ trực tiếp SEPA. </li>,<li>You will be directed to the bank page to authenticate the payment via iDeal.</li><li>Your recurring payments will be made via SEPA Direct Debit.</li>,iDEAL disclaimer
hp_v3.direct_debit.country,Quốc gia,Country,Country
hp_v3.portal.metered_subscription.desc_without_amount,Các khoản phí của bạn dựa trên việc sử dụng,Your charges based on usage,Metered subscription description in portal without total charges
hp_v3.pm.sofort_desc,định kỳ qua Ghi nợ trực tiếp SEPA,recurring via SEPA Direct Debit,Sofort desc
hp_v3.paynow.use_card_future_payments.info,Bạn có thể sử dụng phương thức thanh toán này cho các giao dịch trong tương lai của mình.,You can use this payment method for your future transactions.,Info while saving this card for future payments
hp_v3.pm.agreement.gocardless_bacs4,"Nếu bạn nhận được khoản tiền hoàn lại mà bạn không được hưởng, bạn phải trả khoản tiền đó khi %{merchant_name} yêu cầu bạn.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to.","If you receive a refund you are not entitled to, you must pay it back when %{merchant_name} asks you to."
hp_v3.portal.gateway_error,Không thể tiếp tục nếu không có tài khoản cổng hợp lệ,Cannot proceed without a valid gateway account,Cannot proceed without a valid gateway account
hp_v3.pm.agreement.gocardless_bacs5,Bạn có thể hủy Ghi nợ Trực tiếp bất kỳ lúc nào bằng cách chỉ cần liên hệ với ngân hàng hoặc tổ chức xây dựng của bạn. Văn bản xác nhận có thể được yêu cầu. Cũng vui lòng thông báo cho %{merchant_name}.,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.,You can cancel a Direct Debit at any time by simply contacting your bank or building society. Written confirmation may be required. Please also notify %{merchant_name}.
hp_v3.pm.agreement.gocardless_bacs2,"Nếu có bất kỳ thay đổi nào đối với số tiền, ngày hoặc tần suất Ghi nợ Trực tiếp %{merchant_name} sẽ thông báo cho bạn (thường là 3 ngày làm việc) trước khi tài khoản của bạn được ghi nợ hoặc theo thỏa thuận khác. Nếu bạn yêu cầu %{merchant_name} thu một khoản thanh toán, xác nhận về số tiền và ngày tháng sẽ được cung cấp cho bạn tại thời điểm yêu cầu.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request.","If there are any changes to the amount, date or frequency of your Direct Debit %{merchant_name} will notify you (normally 3 working days) in advance of your account being debited or as otherwise agreed. If you request %{merchant_name} to collect a payment, confirmation of the amount and date will be given to you at the time of the request."
hp_v3.pm.agreement.gocardless_bacs3,"Nếu xảy ra lỗi khi thanh toán Ghi nợ Trực tiếp của bạn, bởi %{merchant_name} hoặc ngân hàng hoặc tổ chức xây dựng của bạn, bạn được hoàn lại toàn bộ và ngay lập tức số tiền đã thanh toán từ ngân hàng hoặc tổ chức xây dựng của bạn.","If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society.","If an error is made in the payment of your Direct Debit, by %{merchant_name} or your bank or building society, you are entitled to a full and immediate refund of the amount paid from your bank or building society."
hp_v3.portal.no_account,Có vẻ như bạn không có tài khoản với chúng tôi,Looks like you don’t have an account with us,No account
hp_v3.pm.agreement.gocardless_bacs1,Bảo lãnh được cung cấp bởi tất cả các ngân hàng và hiệp hội xây dựng chấp nhận hướng dẫn thanh toán Ghi nợ Trực tiếp.,The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.,The Guarantee is offered by all banks and building societies that accept instructions to pay Direct Debits.
hp_v3.pm.agreement.gocardless_payment_descriptor, %{payment_descriptor} sẽ xuất hiện trên bảng sao kê ngân hàng của bạn.,%{payment_descriptor} will appear on your bank statement.,%{payment_descriptor} will appear on your bank statement.
hp_v3.paynow.pm.ach,ACH,ACH,ACH
hp_v3.inapp_checkout.card_expiring,sắp hết hạn,is expiring,card about to expire
hp_v3.direct_debit.last_name,Họ,Last Name,Last Name
hp_v3.common.copy,Sao chép,Copy,Copy
hp_v3.inapp_checkout.pm.direct_debit,Ghi nợ trực tiếp,Direct Debit,Direct Debit
hp_v3.direct_debit.stripe.verification_amount.description,"Bạn cần xác minh phương thức thanh toán này. 2 khoản tiền gửi nhỏ đã được phát hành vào tài khoản ngân hàng của bạn. Điều này có thể mất 1-2 ngày để xuất hiện trên bảng sao kê ngân hàng của bạn. Mô tả bảng sao kê cho các khoản tiền gửi này sẽ là <b> AMNTS: </b> Bạn cần xác nhận các số tiền này tại đây, để xác thực phương thức thanh toán này.","You need to verify this payment method. 2 micro-deposits have been issued to your bank account. This may take 1-2 days to appear on your bank statement. The statement description for these deposits will be <b>AMNTS:</b> You need to confirm these amounts here, to authenticate this payment method.","You need to verify this payment method. 2 micro-deposits have been issued to your bank account. This may take 1-2 days to appear on your bank statement. The statement description for these deposits will be <b>AMNTS:</b> You need to confirm these amounts here, to authenticate this payment method."
hp_v3.portal.more_billing_history,Tải thêm,Load More,Load more history of billing
hp_v3.pm.ideal_desc,định kỳ qua ghi nợ trực tiếp SEPA,recurring via SEPA Direct Debit,iDEAL desc
hp_v3.direct_debit.date_of_authorization,Ngày ủy quyền,Date of Authorization,Date of Authorization
hp_v3.direct_debit.stripe.verification_amount_1,Số tiền xác minh 1,Verification Amount 1,Verification Amount 1
hp_v3.direct_debit.stripe.verification_amount_2,Số tiền xác minh 2,Verification Amount 2,Verification Amount 2
hp_v3.direct_debit.authorisation_code,Mã ủy quyền,Authorisation code,Authorisation code
hp_v3.portal.term.months,tháng,months,months
hp_v3.pm.agreement.gocardless_payment_cancellation,Bạn có thể thu hồi ủy quyền này trực tiếp với ngân hàng của bạn hoặc bằng cách gửi email đến %{merchant_name} tại %{merchant_email}. Vui lòng đợi tối đa 7 ngày để hủy bỏ ủy quyền này.,This authorization can be revoked directly with your bank or by emailing %{merchant_name} at %{merchant_email}. Please allow up to 7 days for this authorization to be cancelled.,This authorization can be revoked directly with your bank or by emailing %{merchant_name} at %{merchant_email}. Please allow up to 7 days for this authorization to be cancelled.
hp_v3.inapp_checkout.coupon_error,Mã phiếu giảm giá không hợp lệ,Invalid Coupon Code,Invalid Coupon Code
hp_v3.inapp_checkout.term.week,tuần,week,week
hp_v3.direct_debit.swedish_id,Số nhận dạng Thụy Điển,Swedish Identity Number,Swedish Identity Number
hp_v3.inapp_checkout.error,Đã xảy ra lỗi khi gửi biểu mẫu,There were errors while submitting the form,There were errors while submitting the form
hp_v3.portal.metered_item.usage_tooltip,Phí được tính dựa trên mức sử dụng. Lần cập nhật sử dụng cuối cùng là vào {{date}},Charges are calculated based on usage. Last usage update was on {{date}},Metered item usage tooltip content
hp_v3.pm.agreement.gocardless_sepa,"Bằng cách ký vào biểu mẫu ủy quyền này, bạn ủy quyền cho (A) %{merchant_name} gửi hướng dẫn đến ngân hàng để ghi nợ tài khoản của bạn và (B) ngân hàng ghi nợ tài khoản của bạn theo hướng dẫn từ %{merchant_name}. Là một phần trong các quyền của bạn, bạn được hoàn lại tiền từ ngân hàng của mình theo các điều khoản và điều kiện trong thỏa thuận của bạn với ngân hàng của bạn. Khoản tiền hoàn lại phải được yêu cầu trong vòng 8 tuần kể từ ngày tài khoản của bạn bị ghi nợ.","By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","By signing this mandate form, you authorise (A) %{merchant_name} to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %{merchant_name}. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited."
hp_v3.portal.metered_subscription.unbilled_usage_disclaimer,Các khoản phí sử dụng chưa thanh toán từ đăng ký trước của bạn sẽ được tính vào chu kỳ thanh toán sắp tới.,Unbilled usage charges from your previous subscription will be charged in the upcoming billing cycle.,Unbilled usages disclaimer for a subscription in portal
hp_v3.portal.pm.ach,ACH,ACH,ACH
hp_v3.direct_debit.pending_verification,Đang chờ xác minh,Pending verification,Pending verification
hp_v3.inapp_checkout.term.days,ngày,days,days
hp_v3.direct_debit.branch_code,Mã chi nhánh,Branch Code,Branch Code
hp_v3.portal.metered_subscription.desc_with_amount,Các khoản phí dựa trên việc sử dụng cho đến ngày,Charges based on usage till date,Metered subscription description in portal with total charges
hp_v3.inapp_checkout.cart.item_text,mặt hàng,items,items
hp_v3.portal.switch_account,Sử dụng một tài khoản khác,Use a different account,Switch Account in portal
hp_v3.pm.amazon_payments,Amazon Pay,Amazon Pay,Amazon Pay
hp_v3.portal.cart.discounts.applied,Áp dụng giảm giá,discount applied,discount applied
hp_v3.portal.gocardless_redirect,Vui lòng thanh toán an toàn qua GoCardless trong cửa sổ mới mà chúng tôi đã mở.,Please pay securely via GoCardless in the new window we opened.,Please pay securely via GoCardless in the new window we opened.
hp_v3.portal.invalid_email,Email không hợp lệ,Invalid email,Invalid email
hp_v3.direct_debit.account_type.business_checking,Kiểm tra kinh doanh,Business Checking,Business Checking
hp_v3.portal.credit_card,Thẻ tín dụng,Credit card,A credit card
hp_v3.paynow.invoice_number,Số hóa đơn %{invoice_no},Invoice #%{invoice_no},Invoivce #123
hp_v3.pm.giropay,giropay,giropay,Giropay name
hp_v3.inapp_checkout.invalid_email,Email không hợp lệ,Invalid email,Invalid email
hp_v3.paynow.billing_period,Thời hạn thanh toán,Billing period,Billing period
hp_v3.portal.card_expiring,sắp hết hạn,is expiring,card about to expire
hp_v3.inapp_checkout.vat,Vui lòng nhập số VAT của bạn,Please Enter your VAT Number,Enter VAT Number
hp_v3.incl_tax.txt,thuế bao gồm,Incl tax, The displayed amount is inclusive of tax
hp_v3.portal.invalid,không hợp lệ,Invalid,card has expired
hp_v3.portal.term.weekly,hàng tuần,weekly,weekly
hp_v3.direct_debit.gocardless_pad_sub_header,Ghi nợ ủy quyền trước,Pre-Authorized Debit,Pre-Authorized Debit
hp_v3.portal.expired,Đã hết hạn,Expired,card has expired
hp_v3.inapp_checkout.pm.ach,ACH,ACH,ACH
hp_v3.portal.term.week,tuần,week,week
hp_v3.portal.billing_edit,Nhấp để chỉnh sửa địa chỉ thanh toán,Click to edit billing address,Change billing details
hp_v3.pm.agreement.gocardless.contact,"Nếu có thắc mắc, hãy gọi cho chúng tôi <b> %{merchant_phone} </b> hoặc gửi email cho chúng tôi theo địa chỉ <b> %{merchant_email} </b>",For queries call us <b>%{merchant_phone}</b> or email us at <b>%{merchant_email}</b>,For queries call us %{merchant_phone} or email us at %{merchant_email}
hp_v3.direct_debit.pad,PAD,PAD,PAD
hp_v3.direct_debit.bank_code,Mã ngân hàng,Bank Code,Bank Code
hp_v3.direct_debit.institution_number,Số tổ chức,Institution Number,Institution Number
hp_v3.inapp_checkout.select_field_default,Chọn một tùy chọn,Pick an option,select fields default prompt
hp_v3.portal.account_signup,Đã đăng ký trên,Signed up on,Account was created on
hp_v3.portal.ach.authorized,ACH Ủy quyền,ACH Authorized,ACH Authorized
hp_v3.direct_debit.gocardless_bacs.protected_prefix,Thanh toán của bạn được bảo vệ bởi,Your payments are protected by,Your payments are protected by
hp_v3.pm.agreement.gocardless_ach1, %{name} ủy quyền cho %{merchant_name} ghi nợ vào tài khoản ngân hàng được chỉ định phù hợp với hàng hóa hoặc dịch vụ do %{merchant_name} cung cấp.,%{name} authorizes %{merchant_name} to debit the bank account indicated in accordance with the goods or services provided by %{merchant_name}.,%{name} authorizes %{merchant_name} to debit the bank account indicated in accordance with the goods or services provided by %{merchant_name}.
hp_v3.pm.agreement.gocardless_ach2,"Chi tiết về các khoản thanh toán cụ thể sẽ được cung cấp qua email thông báo, 2 ngày trước khi thực hiện bất kỳ khoản thanh toán nào.","Details of specific payments will be provided via email notification, 2 days prior to any payments being taken.","Details of specific payments will be provided via email notification, 2 days prior to any payments being taken."
hp_v3.paynow.gocardless_redirect,Vui lòng thanh toán an toàn qua GoCardless trong cửa sổ mới mà chúng tôi đã mở.,Please pay securely via GoCardless in the new window we opened.,Please pay securely via GoCardless in the new window we opened.
hp_v3.pm.agreement.gocardless_autogiro9,"<b> Thời gian hiệu lực của ủy quyền, việc thu hồi </b> <br/> ủy quyền có hiệu lực cho đến khi có thông báo mới. Người trả tiền có quyền thu hồi ủy nhiệm bất kỳ lúc nào bằng cách liên hệ với người nhận tiền hoặc nhà cung cấp dịch vụ thanh toán của họ. Để ngừng các khoản thanh toán chưa được thực hiện, người thụ hưởng phải nhận được thông báo về việc thu hồi uỷ nhiệm chi chậm nhất là năm ngày làm việc của ngân hàng trước ngày đến hạn hoặc được tổ chức cung cấp dịch vụ thanh toán của người thanh toán nhận được chậm nhất là doanh nghiệp ngân hàng. ngày trước ngày đến hạn tại thời điểm được chỉ định bởi nhà cung cấp dịch vụ thanh toán.","<b>Mandate's period of validity, revocation</b><br/> The mandate is valid until further notice. The payer has the right to revoke the mandate at any time by contacting the payee or his or her payment service provider. In order to stop payments not yet carried out, the notice of the revocation of the mandate must be received by the payee no later than five banking business days before the due date or be received by the payer's payment service provider no later than the banking business day before the due date at the point in time indicated by the payment service provider.","<b>Mandate's period of validity, revocation</b><br/> The mandate is valid until further notice. The payer has the right to revoke the mandate at any time by contacting the payee or his or her payment service provider. In order to stop payments not yet carried out, the notice of the revocation of the mandate must be received by the payee no later than five banking business days before the due date or be received by the payer's payment service provider no later than the banking business day before the due date at the point in time indicated by the payment service provider."
hp_v3.pm.agreement.gocardless_autogiro3,"<b> Chung </b> <br/> Autogiro là một dịch vụ thanh toán có nghĩa là các khoản thanh toán được thực hiện từ tài khoản của người thanh toán theo sáng kiến ​​của người nhận thanh toán. Để người thanh toán có thể thanh toán qua Autogiro, người thanh toán phải cung cấp sự đồng ý của mình cho người nhận thanh toán rằng người nhận thanh toán có thể bắt đầu thanh toán từ tài khoản của người thanh toán. Ngoài ra, nhà cung cấp dịch vụ thanh toán của người thanh toán (ví dụ: ngân hàng hoặc tổ chức thanh toán) phải chấp thuận rằng tài khoản có thể được sử dụng cho Autogiro và người nhận thanh toán phải chấp thuận người thanh toán là người dùng Autogiro.","<b>General</b><br/> Autogiro is a payment service that means that payments are carried out from the payer's account on the initiative of the payee. For the payer to be able to pay through Autogiro, the payer must provide his or her consent to the payee that the payee may initiate payments from the payer's account. In addition, the payer's payment service provider (e.g. bank or payment institution) must approve that the account can be used for Autogiro and the payee must approve of the payer as a user of Autogiro.","<b>General</b><br/> Autogiro is a payment service that means that payments are carried out from the payer's account on the initiative of the payee. For the payer to be able to pay through Autogiro, the payer must provide his or her consent to the payee that the payee may initiate payments from the payer's account. In addition, the payer's payment service provider (e.g. bank or payment institution) must approve that the account can be used for Autogiro and the payee must approve of the payer as a user of Autogiro."
hp_v3.portal.coupon_error,Mã phiếu giảm giá không hợp lệ,Invalid Coupon Code,Invalid Coupon Code
hp_v3.pm.agreement.gocardless_autogiro4,"Nhà cung cấp dịch vụ thanh toán của người thanh toán không có nghĩa vụ kiểm tra việc ủy ​​quyền hoặc thông báo trước cho người thanh toán về các khoản rút tiền được yêu cầu. Các khoản rút tiền được tính vào tài khoản của người thanh toán theo các quy tắc áp dụng tại nhà cung cấp dịch vụ thanh toán của người thanh toán. Người thanh toán nhận được thông báo rút tiền từ nhà cung cấp dịch vụ thanh toán của mình. Theo yêu cầu của người thanh toán, giấy ủy nhiệm có thể được chuyển sang tài khoản khác với tổ chức cung ứng dịch vụ thanh toán hoặc sang tài khoản với tổ chức cung ứng dịch vụ thanh toán khác.","The payer's payment service provider is not obliged to check the authorisation of or notify the payer of requested withdrawals in advance. Withdrawals are charged to the payer's account in accordance with the rules that apply at the payer's payment service provider. The payer receives notification of withdrawals from his or her payment service provider. On request of the payer, the mandate can be transferred to another account with the payment service provider or to an account with another payment service provider.","The payer's payment service provider is not obliged to check the authorisation of or notify the payer of requested withdrawals in advance. Withdrawals are charged to the payer's account in accordance with the rules that apply at the payer's payment service provider. The payer receives notification of withdrawals from his or her payment service provider. On request of the payer, the mandate can be transferred to another account with the payment service provider or to an account with another payment service provider."
