key,value,reference value,description
sub_start_outside_plan_term,Ngày bắt đầu đăng ký không được trước thời hạn thanh toán.,Subscription start date cannot be before the billing period.,Subscription start date cannot be before the billing period.
old_operation_failed,{0},{0},{0}
subscription.invalid_scheduled_date,không được sau ngày cancelling_at ({0}).,cannot be after cancelled_at date ({0}).,cannot be after cancelled_at date ({0}).
line_discount_load_err,Vấn đề với giảm giá. Vui lòng liên hệ với bộ phận hỗ trợ để biết thêm chi tiết.,Problem with discounts. Please contact support for further details.,Problem with discounts. Please contact support for further details.
trial_end_before_start_date,Thời gian kết thúc dùng thử không được trước ngày bắt đầu,Trial end cannot be before start date,Trial end cannot be before start date
scheduled_for_cancellation,Không thể cập nhật đăng ký vì nó đã được lên lịch hủy vào cuối học kỳ hiện tại,Subscription cannot be updated as it is scheduled for cancellation at end of current term,Subscription cannot be updated as it is scheduled for cancellation at end of current term
invalid_state_for_update,Đăng ký chỉ có thể được cập nhật ở trạng thái Thử nghiệm & Hoạt động,Subscription can be updated only in Trial & Active states,Subscription can be updated only in Trial & Active states
required_input_for_status,không được để trống cho đăng ký {0},cannot be blank for {0} subscription,cannot be blank for {0} subscription
pause-subscription.cancel_end_of_term_not_supported,Không thể lên lịch hủy nếu đăng ký bị tạm dừng hoặc đã lên lịch để tạm dừng.,Cannot schedule cancellation if subscription is paused or scheduled to pause.,Cannot schedule cancellation if subscription is paused or scheduled to pause.
direct_debit_require_field_validation,{0} là bắt buộc để sử dụng {1} Ghi nợ Trực tiếp qua {2},{0} is mandatory to use {1} Direct Debit via {2},{0} is mandatory to use {1} Direct Debit via {2}
addon_not_applicable,{0},{0},Plan billing period and addon billing period are incompatible
card_already_exists,{0},{0},{0}
no_charge_item_present,Ít nhất một mục bổ sung hoặc tính phí không lặp lại nên có mặt,Atleast one non recurring addon or charge item should be present,Atleast one non recurring addon or charge item should be present
tmp_token_not_supported,Phương pháp mã thông báo tạm thời của thẻ không được hỗ trợ cho cổng này,Card temporary token approach not supported for this gateway,Card temporary token approach not supported for this gateway
non_compliant_eu_customer,Thao tác không thành công vì không thể xác minh quốc gia eu mà khách hàng đã nhập trong địa chỉ thanh toán dựa trên địa chỉ hoặc số thùng thẻ.,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.,Operation failed as the eu country entered in billing address by customer cannot be verified against ip address or card bin number.
resume-subscription.no_payment_method_for_resumption,Không thể tiếp tục đăng ký vì bạn không có phương thức thanh toán đang hoạt động.,Cannot resume subscription as you do not have an active payment method.,Cannot resume subscription as you do not have an active payment method.
