key,value,reference value,description
quote.label.quote_amount,Trích dẫn Số lượng,Quote Amount,Quote amount label
quote.label.recurring_charges,Phí định kỳ,Recurring charges,Recurring charges
quote.label.tax.inclusive,Bao gồm,Incl. ,Inclusive -  inclusive of all taxes
quote.header.label.unit_price,Đơn giá,Unit Price,Unit price is the heading under which the cost per unit of the product comes
quote.title.subscription,Đăng ký,Subscription,Subscription sub heading
quote.label.billing_cycle,Chu kỳ thanh toán,Billing Cycle,Billing Cycle
quote.label.no_of_billing_cycles,Không có chu kỳ thanh toán,No of billing cycles,No of billing cycles
quote.term.month,tháng,month,month
quote.header.label.sub_total,Tổng phụ,Sub Total,Sub total
quote.term.months,tháng,months,months
quote.label.quote_date,Ngày trích dẫn,Quote Date,quote date label
quote.label.chargeable_on_trial_start,Tính phí khi bắt đầu dùng thử,Chargeable on trial start,Chargeable on trial start
quote.label.vat_details,Chi tiết Vat,Vat Details,VAT details label which is shown in vat incl quotes
quote.term.year,năm,year,year
quote.title.subscription_detail,Chi tiết Đăng ký,Subscription Details,Subscription Detail section heading
quote.label.include,Bao gồm,Includes ,includes
quote.customer_email.request_card,Cập nhật chi tiết phương thức thanh toán của bạn,Update your payment method details,Email subject that prompts the customer to enter the payment method details
quote.label.includes_discounts_and_taxes,Đã bao gồm chiết khấu và thuế,Includes discounts and taxes,Includes discounts and taxes
quote.title.shipped_to,Được vận chuyển đến,Shipped To,Shipped to label - Under this comes the shipping address of the customer
quote.label.tax.vat,VAT,VAT,VAT -  is the tax description
quote.header.label.price,Giá bán,Price,Price is the heading under which the cost of the product comes
quote.label.charges_on_acceptance,Phí khi chấp nhận,Charges on acceptance,Charges on acceptance
quote.label.chargeable_on_plan_activation,Tính phí khi kích hoạt gói,Chargeable on plan activation,Chargeable on plan activation
quote.label.payment_status.initiated,Thanh toán đã bắt đầu,Payment Initiated,Payment initiated for an quote text
quote.label.proforma_invoice,Hóa đơn chiếu lệ,Proforma Invoice,proforma invoice label
quote.label.proforma_invoice_date,Ngày hóa đơn chiếu lệ,Proforma Invoice Date, proforma invoice data label
quote.label.adjustments,Điều chỉnh,Adjustments,The adjustments made to the quote 
quote.billing_cycle.12,Chu kỳ thanh toán thứ 12,12th billing cycle,12th billing cycle
quote.billing_cycle.11,Chu kỳ thanh toán thứ 11,11th billing cycle,11th billing cycle
quote.billing_cycle.10,Chu kỳ thanh toán thứ 10,10th billing cycle,10th billing cycle
quote.term.weeks,tuần,weeks,weeks
quote.billing_cycle.23,Chu kỳ thanh toán thứ 23,23rd billing cycle,23rd billing cycle
quote.billing_cycle.22,Chu kỳ thanh toán thứ 22,22nd billing cycle,22nd billing cycle
quote.billing_cycle.21,Chu kỳ thanh toán thứ 21,21st billing cycle,21st billing cycle
quote.billing_cycle.20,Chu kỳ thanh toán thứ 20,20th billing cycle,20th billing cycle
quote.label.billing_frequency,Tần suất thanh toán,Billing Frequency,Billing Frequency
quote.billing_cycle.16,Chu kỳ thanh toán thứ 16,16th billing cycle,16th billing cycle
quote.billing_cycle.15,Chu kỳ thanh toán thứ 15,15th billing cycle,15th billing cycle
quote.billing_cycle.14,Chu kỳ thanh toán thứ 14,14th billing cycle,14th billing cycle
quote.billing_cycle.13,Chu kỳ thanh toán thứ 13,13th billing cycle,13th billing cycle
