key,value,reference value,description
credit_note.label.credit_note,信用票据,Credit Note,The title credit note
credit_note.header.label.units,单位,Units,The table heading under which the product count is displayed. The number of units sold/returned/replaceed
credit_note.title.refunds,退款额,Refunds,Refunds
credit_note.label.sub_total,小计,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.branding.test_label,这是Chargebee生成的示例贷方通知单,This is a sample credit note generated by Chargebee,Chargebee logo for the sandbox site on all invoices to indicate that it is just a sample
credit_note.title.refunds_and_allocations,退款与分配,Refunds & Allocations, Refunds and Allocations
credit_note.label.shipped_to,运送至,Shipped To,Label - The customer's shipping address follows this label
credit_note.header.label.unit_price,单价,Unit Price,The table heading under which the cost of the product per unit is displayed
credit_note.label.fractional_correction,小数校正,Fractional Correction,Fractional Correction
credit_note.label.reason_code,原因码,Reason Code,Label Reason code. Why the credits were issued
credit_note.refund_transaction.text, %{amount}已于 %{date}退还,%{amount} was refunded on %{date},Amount  refunded on a date
credit_note.label.tax.inclusive,包括的,incl. ,short form for inclusive as in tax inclusive
credit_note.label.date,日期,Date,Label date
credit_note.label.tax.vat,VAT,VAT,VAT
credit_note.label.tax.exclusive,独家的,excl. ,short form for exclusive as in tax exclusive
credit_note.header.label.price,价格,Price,The table heading under which the cost of the product is displayed
credit_note.label.total,全部的,Total,Total - label the net amount of the invoice/credit note
credit_note.title.allocations,分配,Allocations,Allocations
credit_note.label.round_off,四舍五入,Round Off,Indicates that all numbers have been rounded off to a whole number
credit_note.label.refunds,退款额,Refunds,Refunds - label indicating when a part or full invoice amount is given back
credit_note.label.ref_invoice,参考发票,Ref Invoice,testing
credit_note.label.due,可用金额,Amount Available,Label to indicate the amount available for the customer to apply credits in the future
credit_note.label.tax.inclusive_of_vat,含增值税,incl. VAT,VAT Inclusive -  inclusive of all taxes
credit_note.label.billed_to,付款人,Billed To,Label - The customer's billing address follows this label
credit_note.label.allocations,分配,Allocations,Credit note label indicating the allocations
credit_note.label.amount,数量,Amount,Label amount
credit_note.header.label.amount,数量,Amount,Amount label
credit_note.applied_transaction.text, %{amount}已在 %{date}分配给发票' %{invoice_number}'。,%{amount} was allocated for invoice '%{invoice_number}' at %{date}.,Amount was allocated for invoice #123 at date.
credit_note.label.customer_id,客户ID,Customer ID,Label customer id
credit_note.header.label.sub_total,小计,Sub Total,Sub total - Label to indicate the sub total amount
credit_note.label.tax.tax,税,Tax,Tax
credit_note.header.label.discounts,折扣,Discount,Label that lists the discounts issued
credit_note.label.tax.exclusive_of_vat,增值税专享,excl. VAT,VAT Exclusive - exclusive of taxes
credit_note.header.label.description,描述,Description,The table heading under which the product description comes
credit_note.label.id,ID,ID,Id - the credit note id
credit_note.label.subscription,订阅,Subscription,The label subscription - All the subscription details follow the label
