key,value,reference value,description
gift_order_confirmed.gift_receiver.email,收件人电子邮件,Recipient email,
contract_is_renewed.contract_term.contract_period,合同期,Contract Period,
subscription_pause_reminder.subscription.resume_date,恢复日期,Resume date,
welcome_mails_in_active_state.subscriptions.subscribed_to,订阅摘要,Subscription summary,
subscription_changed_all_other_changes.subscription.next_estimate_amount,预计续订费用,Estimated charge on renewal,
credit_note_updated.credit_note.id,贷方票据编号,Credit note number,
welcome_mails_in_future_state.subscriptions.subscribed_to,订阅摘要,Subscription summary,
payments_and_credits_payment_initiated.customer_payment_method.info,付款方式,Payment method,
contract_ends_and_subscription_continues.contract_term.contract_period,合同期,Contract Period,
subscription_reactivation.subscriptions.subscribed_to,订阅摘要,Subscription summary,
payments_and_credits_successful_recurring_payments.transaction.date,支付日期,Payment date,
payment_one_time_failures.transaction.amount,开票金额,Invoiced amount,
subscription_paused.subscription.resume_date,恢复日期,Resume date,
payments_and_credits_refunded.transaction.date,退款日期,Refunded on,
subscription_changed_all_other_changes.subscriptions.subscribed_to,订阅摘要,Subscription summary,
payments_and_credits_successful_payment.transaction.amount,开票金额,Invoiced amount,
trial_started_for_future_subscriptions.subscriptions.subscribed_to,订阅摘要,Subscription summary,
gift_order_confirmed.gift.scheduled_at,通知,Notify on,
subscription_activated_from_future_state.subscriptions.subscribed_to,订阅摘要,Subscription summary,
gift_cancelled.gift.scheduled_at,通知,Notify on,
trial_expired_notification.customer_invoice_summary.not_paid_due_total_amount,预计激活费用,Estimated charge on activation,
payments_and_credits_payment_initiated.transaction.date,付款日期,Payment date,
welcome_mails_in_active_state.subscription.next_renewal_on,下次续订,Next renewal on,
subscription_changed_all_other_changes.customer_balance.unused_payments,超额付款,Excess payments,
credit_note_adjustment_created.credit_note.status,贷方通知单状态,Credit note status,
contract_is_renewed.contract_term.total_contract_value,合同总价值,Total Contract Value,
payment_offline_payments_profile_for_renewal_invoices.invoice.amount_due,开票金额,Invoiced amount,
payments_and_credits_refund_initiated.transaction.date,退款日期,Refunded on,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.refundable_credits,可退还的积分,Refundable credits,
future_subscription_reminders.subscriptions.subscribed_to,订阅摘要,Subscription summary,
order_shipment_reminder.order.shipping_date,发货日期,Shipment date,
subscription_expiry_and_cancellations_reminder.subscription.cancel_reason,取消原因,Cancellation reason,
contract_and_subscription_ends.contract_term.total_contract_value,合同总价值,Total Contract Value,
welcome_mails_in_non_renewal_state.customer_payment_method.info,付款方式,Payment method,
welcome_mails_in_trial_state.subscription.next_estimate_amount,预计激活费用,Estimated charge on activation,
subscription_resumption_reminder.subscription.resume_date,恢复日期,Resume date,
subscription_renewal_reminders.subscriptions.subscribed_to,订阅摘要,Subscription summary,
payment_terms_netd_reminders.invoice.amount,开票金额,Invoiced amount,
payment_one_time_failures.invoice.due_date,到期时间,Due since,
welcome_mails_in_future_state.subscription.start_date,订阅开始于,Subscription starts on,
payment_dunning_profiles_for_one_time_invoices.transaction.date,尝试进行先前的充电,Previous charge attempted on,
subscription_expiry_and_cancellations_expired.subscriptions.subscribed_to,订阅摘要,Subscription summary,
payment_dunning_profile_for_initial_attempt.transaction.payment_failure_reason,失败原因,Failure reason,
subscription_activated_from_future_state.subscription.next_renewal_on,下次续订,Next renewal on,
subscription_expiry_and_cancellations_reminder.customer_invoice_summary.not_paid_due_invoice_count,未付的一张或多张发票,Unpaid invoices,
payment_terms_netd_invoice_posted.invoice.amount,开票金额,Invoiced amount,
subscription_expiry_and_cancellations_cancellation_followups.customer_balance.unused_payments,超额付款,Excess payments,
payment_dunning_profile_for_initial_attempt_for_one_time_invoices.customer_payment_method.info,付款方式,Payment method,
contract_is_terminated.contract_term.total_contract_value,合同总价值,Total Contract Value,
subscription_reactivation.subscription.next_estimate_amount,下次续订的预估费用,Estimated charge on next renewal,
payment_dunning_profiles_for_one_time_invoices.transaction.amount,开票金额,Invoiced amount,
subscription_pause_reminder.subscription.pause_date,暂停日期,Pause date,
payment_authorization_succeeded.transaction.amount,授权金额,Authorized amount,
payment_dunning_profile_for_initial_attempt.transaction.amount,开票金额,Invoiced amount,
payment_one_time_failures.customer_payment_method.info,付款方式,Payment method,
subscription_paused.subscription.pause_date,暂停日期,Pause date,
payment_authorization_succeeded.customer_payment_method.info,付款方式,Payment method,
credit_note_updated.credit_note.status,贷方通知单状态,Credit note status,
subscription_changed_coupon_applied.coupon.coupons,优惠券,Coupons,
payment_method_expiry_invalidated_notification.customer_payment_method.info,付款方式,Payment method,
direct_debit_payment_reminder_for_pad.transaction.statement_descriptor,付款将在您的银行对帐单中显示为,Payments will appear in your bank statement as ,
welcome_mails_in_trial_state.subscription.trial_end,试用于,Trial ends on,
welcome_mails_in_active_state.subscription.next_estimate_amount,下次续订的预估费用,Estimated charge on next renewal,
invoice_receipt.invoice.amount_due,应付金额,Amount due,
