key,value,reference value,description
not_supported_for_moved_out_resource,我们已将该客户移至网站{0}，因此不支持更新操作,The update operations are not supported as we''ve moved this customer to the site {0},The update operations are not supported as we''ve moved this customer to the site {0}
api_authentication_param_missing,抱歉，验证失败。请求中不存在参数_jsapi_key,"Sorry,authentication failed. The parameter _jsapi_key is not present in request","Sorry,authentication failed. The parameter _jsapi_key is not present in request"
api.resource_not_found,标识符为{1}的{0}资源不存在。,{0} resource with identifier {1} does not exist.,{0} resource with identifier {1} does not exist.
api_resource_not_found,找不到{0},{0} not found,When resource is not found.
tos_not_agreed,必须同意条款才能完成结帐。,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
resource_already_exists,标识符为{1}的{0}资源已存在。,{0} resource with identifier {1} already exists.,{0} resource with identifier {1} already exists.
api_authentication_invalid_key,抱歉，身份验证失败。无效的api密钥,"Sorry, authentication failed. Invalid api key",Authentication failed due to invalid API key
api_authentication_wrong_format,抱歉，身份验证失败。基本身份验证标头的格式无效。,"Sorry,authentication failed.The basic authentication header has invalid format.","Sorry,authentication failed.The basic authentication header has invalid format."
api_forbidden,此客户不允许使用此api,This api is not allowed for this customer,This api is not allowed for this customer
api.param_not_unique,{0}个资源已经存在,{0} resource already present,{0} resource already present
not_supported_for_customer_with_noncancelled_subs,订阅取消的客户不支持该操作。,The operation is not supported for customers with non-cancelled subscriptions.,The operation is not supported for customers with non-cancelled subscriptions.
duplicate_entry,{0}中已经存在的值,The value already present in {0},The value already present in {0}
api_disabled,该网站未启用,The site is not enabled,The site is not enabled
param_not_supported_in_browser,抱歉，浏览器不支持该参数。,"Sorry, The parameter is not supported from browser. ","Sorry, The parameter is not supported from browser. "
referenced_resource_not_found,参数{1}中引用的{0}不存在,The {0} referenced in parameter {1} is not present ,The {0} referenced in parameter {1} is not present 
api_authentication_required,抱歉，验证失败。请求中不存在用于基本身份验证的授权标头,"Sorry,authentication failed. The authorization header for basic authentication not present in request","Sorry,authentication failed. The authorization header for basic authentication not present in request"
order_management_not_enabled,抱歉，请启用订单管理网站设置以使用此API。,"Sorry, Please enable order management site setting to use this API.","Sorry, Please enable order management site setting to use this API."
api_request_limit_exceeded,抱歉，已达到api请求限制。请在{0}分钟后尝试。,"Sorry, The api request limit has been reached. Please try after {0} min.",Too many API request.
api_js_lib_request_limit_exceeded,抱歉，已达到js库请求限制。请稍后再试。,"Sorry, The js library request limit has been reached. Please try after sometime. ",Too many API request.
site_merge_invalid_url,该URL不再有效。请与我们联系以获取帮助。,This URL is no longer valid. Please contact us for assistance.,This URL is no longer valid. Please contact us for assistance.
end_customer_not_supported_for_moved_out_resource,此资源无法进行更新操作。请与我们联系以获取帮助。,The update operations are no longer possible for this resource.Please contact us for assistance.,The update operations are no longer possible for this resource.Please contact us for assistance.
already_scheduled_for_deletion,抱歉，{0}资源{1}已被安排删除,"Sorry, but the {0} resource {1} is already scheduled for deletion","Sorry, but the {0} resource {1} is already scheduled for deletion"
not_supported_for_customer_already_scheduled_for_clear,已经安排进行PII清除的客户不支持该操作。,The operation is not supported for customers who has been already scheduled for PII clear.,The operation is not supported for customers who has been already scheduled for PII clear.
