key,value,reference value,description
page_url_length_exceed,抱歉，我们找不到该页面,"Sorry, we couldn''t find that page","Sorry, we couldn''t find that page"
should_be_unauth,抱歉，您必须退出当前会话才能查看此页面,"Sorry, you must be logged out of current session to view this page","Sorry, you must be logged out of current session to view this page"
web.param_not_unique,耽误！您已经订阅了。,Hold up! You have subscribed already.,Hold up! You have subscribed already.
bad_request_need_refresh,抱歉，该请求包含格式不正确的数据,"Sorry, the request contains data that are not formatted properly","Sorry, the request contains data that are not formatted properly"
operation_not_supported,{0},{0},{0}
not_authorized_post,抱歉，您无权执行此操作,"Sorry, you don''t have the permission to do this action","Sorry, you don''t have the permission to do this action"
limit_exceeds,抱歉，{0}的允许限制为{1}。,"Sorry, the allowed limit for {0} is {1}.","Sorry, the allowed limit for {0} is {1}."
user_already_exists,电子邮件已经存在,email already exists,email already exists
hosted_page_null,订单网址无效。请检查网址，然后重试。,The order URL is invalid. Please check the URL and try again.,The order URL is invalid. Please check the URL and try again.
hp_resource_not_found,该URL不再有效。,This URL is no longer valid.,This URL is no longer valid.
update_card_succeeded,您的信用卡已成功更新。,Your credit card has been already updated successfully.,Your credit card has been already updated successfully.
should_be_auth,抱歉，您必须先登录才能查看此页面,"Sorry, you must be logged in to view this page","Sorry, you must be logged in to view this page"
hosted_page_canceled,该订单已被取消。请再试一次。,This order has been canceled. Please try again.,This order has been canceled. Please try again.
lock_timeout,抱歉，发生了暂时性错误。请重试,"Sorry, a temporary error occured. Please retry","Sorry, a temporary error occured. Please retry"
service_unavailable,抱歉，由于重载，无法执行此操作。请在几分钟后重试,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes,Sorry this operation cannot be performed due to heavy load. Please retry in a few minutes
cannot_be_empty_or_null,键值不能为空或null,Key value cannot be empty or null,Key value cannot be empty or null
update_card_cancelled,该URL不再有效。,This URL is no longer valid.,This URL is no longer valid.
suffix_not_allowed,不允许使用“ {0}”后缀,"""{0}"" suffix is not allowed","""{0}"" suffix is not allowed"
currency_error,无法获取货币信息,Unable fetch currency info,Unable fetch currency info
not_authorized_get,抱歉，您无权查看此页面,"Sorry, you don''t have the permission to view this page","Sorry, you don''t have the permission to view this page"
hosted_page_expired,您的订单网址已过期。请再试一遍。,Your order URL has expired. Please try again.,Your order URL has expired. Please try again.
session_timeout,您已退出门户。请再次登录。,You are logged out of the portal. Please login again.,You are logged out of the portal. Please login again.
hosted_page_succeeded,您的订单已成功提交。,Your order has already been submitted successfully.,Your order has already been submitted successfully.
not_ajax_request,发生暂时性错误。再试一次,A temporary error occurred. Try again,A temporary error occurred. Try again
web.mul_sub_entry,[object Object],Hold up! You have subscribed already,Hold up! You have subscribed already
resource_not_found,抱歉，我们找不到该资源,"Sorry, we couldn''t find that resource","Sorry, we couldn''t find that resource"
size_exceeds,抱歉，上传的文件大小不能超过{0},"Sorry, uploaded file size cannot exceed {0}","Sorry, uploaded file size cannot exceed {0}"
bad_request,抱歉，URL或某些参数无效,"Sorry,the URL or the some of the parameters are not valid","Sorry,the URL or the some of the parameters are not valid"
record_not_found,不存在带有{1} {2}的{0}。,{0} with {1} {2} is not present.,{0} with {1} {2} is not present.
bad_data,抱歉，某些参数丢失或格式不正确,"Sorry, some of the parameters are missing or not formatted properly","Sorry, some of the parameters are missing or not formatted properly"
communication_failure,抱歉，无法与{0}通信。请过一段时间再试,"Sorry, Unable to communicate with {0}. Please retry after some time","Sorry, Unable to communicate with {0}. Please retry after some time"
site_already_exists,网站已经存在,site already exists,site already exists
invalid_state,{0},{0},{0}
db_lock_error,无法锁定操作,Unable to lock the operation,Unable to lock the operation
invalid_request_refresh_browser,您的要求无效。请刷新浏览器，然后重试。,Your request is not valid. Please refresh the browser and try again.,Your request is not valid. Please refresh the browser and try again.
round_off_not_supported,零小数货币不支持四舍五入发票金额,Rounding off of invoice amount is not supported for zero-decimal currencies,Rounding off of invoice amount is not supported for zero-decimal currencies
update_card_null,输入的用于更新信用卡的URL无效。请检查网址，然后重试。,The URL entered to update your credit card is invalid. Please check the URL and try again.,The URL entered to update your credit card is invalid. Please check the URL and try again.
hosted_page_failed,在处理过程中发生错误。请稍后再试。,An error occurred during processing. Please try again later.,An error occurred during processing. Please try again later.
not_authorized_ip,抱歉，您无权查看此页面,"Sorry, you don''t have the permission to view this page","Sorry, you don''t have the permission to view this page"
code_not_compatible,抱歉，出了一些问题。请过一段时间再试,Sorry something went wrong. Please retry after some time,Sorry something went wrong. Please retry after some time
content_type_is_not_application_json,抱歉，请求的内容类型（{0}）错误。它必须是application / json。,"Sorry, the request''s content type ({0}) is wrong. It must be application/json.","Sorry, the request''s content type ({0}) is wrong. It must be application/json."
web.invalid_credential,请检查提交的凭据。,Please check the submitted credentials.,Please check the submitted credentials.
update_card_expired,您请求的网址已过期。请再试一次。,Your requested URL has expired. Please try again. ,Your requested URL has expired. Please try again. 
tos_not_selected,必须同意条款才能完成结帐。,Agreeing to the terms is mandatory to complete the checkout.,Agreeing to the terms is mandatory to complete the checkout.
