key,value,reference value,description
line_item.coupon.non_discount_all,已将 %{disc_amt}中的 %{coupon_details}个应用于 %{line_items}个订单项。,%{coupon_details} of %{disc_amt} applied on %{line_items} line items.,The applied on text for coupon
line_item.coupon.non_discount_singular,已将 %{disc_amt}中的 %{coupon_details}应用于订单项 %{line_items}。,%{coupon_details} of %{disc_amt} applied on line item %{line_items}.,The applied on text for coupon
line_item.coupon.ao_text_singular, %{coupon_details}应用于订单项 %{line_items}- %{disc_amt} %{pdf_inv_desc}。,%{coupon_details} applied on line item %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.final_credit_correction.added,剩余积分增加,Leftover Credits Added,when amount is < than 0
line_item.plan.prorated_charges,按比例收费,Prorated Charges,Prorated Charges for plan/addon prorated charges
line_item.coupon.ao_text_all, %{coupon_details}应用于 %{line_items}个订单项- %{disc_amt} %{pdf_inv_desc}。,%{coupon_details} applied on %{line_items} line items - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.prorated_credits_for,按比例分配的积分，用于 %{date_range},Prorated Credits for %{date_range},Protated Credits for 3rd oct to 15th oct
line_item.coupon.free_quantity, 免费数量, Free Quantity,Free quantity in a coupon
line_item.coupon.ao_text_plural, %{coupon_details}应用于订单项 %{line_items}- %{disc_amt} %{pdf_inv_desc}。,%{coupon_details} applied on line items %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.stairstep_pricing, %{amount}，用于 %{unit}个单位,%{amount} for %{unit} units,Stairstep pricing description
line_item.desc.total_units,总计单位- %{unit},Total units - %{unit},Total units
line_item.final_credit_correction.removed,删除了其他积分,Additional Credits Removed,when amount is > than 0
email.line_item.coupon.text,<b> %{coupon_details}已取消 %{disc_amt} </b>，已申请 %{line_item_desc}。,<b>%{coupon_details} %{disc_amt} off</b> applied for %{line_item_desc}.,The applied on text for coupon
line_item.plan.set_up_fee,设立费,Setup Fee,Plan set up fee - description at line item level
line_item.desc.credit_adjustments,按比例分配的学分,Prorated Credits,Prorated credits given for a line item
line_item.desc.reclaimed_account_credits,促销积分退还,Promotional Credits Returned,promotional credits given for a line item
line_item.desc.account_credits,促销积分,Promotional Credits,promotional credits given for a line item
cn.discount.text,在此发票上应用的折扣或抵免额,Discounts/credits applied on this invoice,text
line_item.desc.reclaimed_credit_adjusments,按比例归还学分,Prorated Credits Returned,Prorated credits given for a line item
line_item.fractional_correction,小数校正,Fractional Correction,Fractional Correction
line_item.coupon.non_discount_plural,已将 %{disc_amt}中的 %{coupon_details}应用于订单项 %{line_items}。,%{coupon_details} of %{disc_amt} applied on line items %{line_items}.,The applied on text for coupon
line_item.desc.units,单位,units,units
